Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,15-09-2015,7867.35,7880,7799.75,7829.1,-43.15,-.55,140722007,6252.35,21.7,3.15,1.51
CNX Nifty Junior,15-09-2015,19841.5,19889.7,19584.05,19638.3,-172.2,-.87,60049446,2195.84,21.6,2.84,1.23
CNX 100,15-09-2015,8014.15,8027.25,7940.75,7968.05,-48.2,-.6,200771453,8448.19,21.68,3.1,1.46
CNX 200,15-09-2015,4138.75,4145.9,4099.8,4113.25,-25.25,-.61,420712709,10967.54,22.54,2.94,1.43
CNX 500,15-09-2015,6583.65,6595.3,6523.85,6543.25,-39.45,-.6,516459524,12233.17,23.6,2.83,1.4
NIFTY Midcap 50,15-09-2015,3124.85,3146.2,3085.7,3096.5,-26.75,-.86,130082615,1607.26,14.29,1.34,1.7
CNX Midcap,15-09-2015,12903.55,12949.4,12757.55,12785.15,-99.55,-.77,172757849,3463.6,22.28,2.26,1.28
CNX Smallcap,15-09-2015,5112.55,5138.6,5054.5,5062,-40.7,-.8,137799240,1089.01,100.03,1.17,1.21
CNX Nifty Dividend,15-09-2015,-,-,-,81.75,0,-,-,-,-,-,-
CNX Auto,15-09-2015,7889,7893.6,7753,7766.2,-124.55,-1.58,25877655,1388.61,47.18,6.03,.79
CNX Bank,15-09-2015,16905.8,16919.45,16681.55,16739.55,-172.25,-1.02,62041195,2006.14,17.56,2.32,1.18
CNX Energy,15-09-2015,7613.1,7645.55,7575.2,7633.6,18.2,.24,22606009,583.6,11.89,1.36,2.21
CNX Finance,15-09-2015,6899.8,6909.5,6825.3,6846.25,-65.3,-.94,51631202,1844.07,18.58,2.77,1.24
CNX FMCG,15-09-2015,19501.5,19710.3,19491.1,19681.95,185.15,.95,8504109,541.23,37.9,11.36,1.46
CNX IT,15-09-2015,11524.4,11545.3,11475.25,11536.35,16.05,.14,8281022,847.96,21.67,6.08,1.82
CNX Media,15-09-2015,2359.2,2365.7,2341.8,2348.7,-7,-.3,4998002,146.71,48.81,5.49,.76
CNX Metal,15-09-2015,1817.4,1820.9,1768.4,1772.1,-42.7,-2.35,45010816,659.17,12.05,.85,4.54
CNX MNC,15-09-2015,9582.25,9627.7,9501.3,9526.3,-20.7,-.22,16507284,901.64,42.17,6.87,1.1
CNX Pharma,15-09-2015,12519.8,12562.95,12432.1,12478.8,-16.4,-.13,8288293,866.92,72.71,8.2,.43
CNX PSU Bank,15-09-2015,3064.05,3092.25,3023.9,3038.35,-30.2,-.98,43981370,740.98,11.39,.89,1.97
CNX Realty,15-09-2015,168.45,170.55,166.85,167.6,-.8,-.48,48208261,327.14,28.41,.79,1.16
CNX Consumption,15-09-2015,3384.65,3394.9,3360.85,3372.55,-7.9,-.23,32365125,1641.63,28,4.81,1.12
CNX Commodities,15-09-2015,2337.6,2339.5,2307.85,2314.4,-21.45,-.92,75966449,1612.09,13.65,1.38,2.75
