Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,23-09-2015,7737.35,7882.9,7723.25,7845.95,33.95,.43,151196367,6869.26,21.75,3.16,1.51
CNX Nifty Junior,23-09-2015,19173.55,19425.05,19107.05,19356.35,-42.45,-.22,90851345,3300.75,21.29,2.8,1.25
CNX 100,23-09-2015,7859.05,7998.95,7843.3,7963.55,26,.33,242047712,10170.01,21.67,3.09,1.46
CNX 200,23-09-2015,4061.15,4133.05,4052.95,4115.7,14.85,.36,585156606,12843.92,22.55,2.94,1.43
CNX 500,23-09-2015,6468.15,6576.6,6457.25,6553.9,25.35,.39,710694708,14484.99,23.64,2.83,1.4
NIFTY Midcap 50,23-09-2015,3073.95,3155.45,3070.25,3149.35,31.05,1,245572373,1943.24,14.53,1.36,1.67
CNX Midcap,23-09-2015,12530.8,12762.2,12506.95,12735.4,80.25,.63,311114539,4596.75,22.19,2.25,1.29
CNX Smallcap,23-09-2015,5076.55,5153.9,5056.3,5138.3,21.55,.42,161189516,1149.52,101.54,1.18,1.19
CNX Nifty Dividend,23-09-2015,-,-,-,82.23,0,-,-,-,-,-,-
CNX Auto,23-09-2015,7620.5,7743.8,7611.5,7705.55,-4.3,-.06,51018069,2092.18,46.78,5.98,.8
CNX Bank,23-09-2015,16783.8,17309.7,16759,17255.3,224.15,1.32,62555647,2058.16,18.1,2.4,1.14
CNX Energy,23-09-2015,7489.25,7591.6,7480.55,7571.45,27.65,.37,21823681,593.88,11.79,1.35,2.23
CNX Finance,23-09-2015,6832.15,7005.25,6820.35,6981.55,57.45,.83,50228985,1857.78,18.95,2.82,1.21
CNX FMCG,23-09-2015,18995.75,19384.55,18991.95,19259.6,79.5,.41,12983601,623.96,37.09,11.12,1.5
CNX IT,23-09-2015,11659.9,11753.6,11586.9,11694,-11.55,-.1,7367175,769.07,21.97,6.16,1.79
CNX Media,23-09-2015,2317.55,2359.3,2305.15,2349.6,4.05,.17,5340638,140.35,48.83,5.49,.76
CNX Metal,23-09-2015,1685.6,1723.5,1674.8,1713.15,1.45,.08,41048327,585.8,11.65,.82,4.7
CNX MNC,23-09-2015,9380.9,9457.45,9331.85,9416.9,-25.35,-.27,14045975,1008.73,41.69,6.79,1.11
CNX Pharma,23-09-2015,12588.25,12774.9,12482.3,12731.55,68.75,.54,7749285,836.89,74.19,8.37,.42
CNX PSU Bank,23-09-2015,3053.9,3163.1,3042.95,3135.35,36.25,1.17,86406795,1113.94,11.76,.92,1.91
CNX Realty,23-09-2015,165.5,169.65,165.25,169.05,1.4,.84,65870541,259.5,28.66,.8,1.15
CNX Consumption,23-09-2015,3319.2,3363.4,3313.35,3346.7,.25,.01,36873270,1994.49,27.79,4.78,1.12
CNX Commodities,23-09-2015,2244.25,2282.8,2242.65,2277.45,8.5,.37,68893305,1641.51,13.43,1.36,2.79
CNX Dividend Opportunities,23-09-2015,1814.6,1849.4,1814.6,1844.05,9.15,.5,135206688,2210.28,13.63,1.93,3.12
CNX Infrastructure,23-09-2015,2791.9,2831.4,2775.45,2813.4,-9.25,-.33,148984642,1333.12,18.98,1.92,1.36
CNX PSE,23-09-2015,2976.4,3017.65,2973.95,3011.4,6.4,.21,40318117,799.96,10.94,1.68,3.55
CNX Service Sector,23-09-2015,10144.75,10339.9,10123.7,10291.7,43.7,.43,98663486,3589.7,18.93,3.01,1.5
CNX Nifty Shariah,23-09-2015,-,-,-,1777.46,.76,.04,28506618,2099.94,19.89,2.74,1.41
