Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,23-01-2014,6325.95,6355.6,6316.4,6345.65,6.7,.11,120054602,5278.88,18.49,3,1.48
CNX Nifty Junior,23-01-2014,12483.5,12504.8,12449.15,12479.45,-29.55,-.24,76869995,1922.44,15.4,2.25,1.43
CNX 100,23-01-2014,6209.9,6234.55,6201.05,6226.05,3.4,.05,196924597,7201.33,17.94,2.86,1.47
CNX 200,23-01-2014,3146.45,3157.45,3142.6,3153.25,.55,.02,330489461,8630.57,17.9,2.65,1.5
CNX 500,23-01-2014,4894.25,4909.95,4892.55,4903.5,-.45,-.01,427727014,9697.58,18.72,2.46,1.51
NIFTY Midcap 50,23-01-2014,2237.5,2247.55,2231.25,2232.45,-10.55,-.47,98828479,1258.77,12.65,1.27,1.73
CNX Midcap,23-01-2014,7809.3,7827.25,7794.6,7800.1,-30.1,-.38,139382242,2217,14.42,1.65,1.77
CNX Smallcap,23-01-2014,3368.1,3385.6,3355.15,3358.05,-24.65,-.73,86046470,697.91,45.17,.95,1.79
CNX Nifty Dividend,23-01-2014,-,-,-,85.58,0,-,-,-,-,-,-
CNX Auto,23-01-2014,5302.2,5306.5,5248.1,5256.05,-54.85,-1.03,28508181,728.98,28.16,4.46,1.24
CNX Bank,23-01-2014,11183.75,11221.1,11122.35,11199,-8.35,-.07,21112012,1237.21,12.74,1.94,1.63
CNX Energy,23-01-2014,7716.45,7754,7712.1,7733.6,-41.9,-.54,21850007,614.8,11.26,1.6,2.1
CNX Finance,23-01-2014,4682.7,4725.6,4668.35,4714.05,17.4,.37,42454750,1763.3,14.51,2.35,1.57
CNX FMCG,23-01-2014,17036.5,17158.2,16984.85,17113.85,39.8,.23,15251648,534.97,34.6,11.45,1.6
CNX IT,23-01-2014,10116.6,10123.95,10008.55,10086.35,-26.45,-.26,14921463,1267.15,23.5,6.92,1.02
CNX Media,23-01-2014,1793.55,1798.7,1769.9,1785.2,-5.7,-.32,7112979,99.39,32.54,3.92,.98
CNX Metal,23-01-2014,2442.05,2450.05,2429.4,2436.85,-11.05,-.45,19517037,438.8,14.99,1.25,2
CNX MNC,23-01-2014,6129.65,6155.2,6121.7,6134.2,-7.15,-.12,19556388,361.42,39.78,5.67,1.58
CNX Pharma,23-01-2014,7902.8,7957.35,7899.1,7921.45,26.25,.33,7334605,468.59,51.02,6.27,.65
CNX PSU Bank,23-01-2014,2419.75,2436.75,2416.5,2428.7,-4.55,-.19,17750503,482.21,6.67,.81,3.68
CNX Realty,23-01-2014,172.9,173.3,171.9,172.8,-.4,-.23,29637861,148.53,28.68,.81,1.1
CNX Consumption,23-01-2014,2522.05,2522.3,2508.95,2520.5,-3.7,-.15,41762817,1442.07,26.53,4.2,1.33
CNX Commodities,23-01-2014,2231.2,2234.7,2226.15,2227.65,-10.65,-.48,44681817,1145.91,11.37,1.47,2.28
CNX Dividend Opportunities,23-01-2014,1579.05,1579.05,1573.6,1574.9,-8.35,-.53,79328096,1551.99,10.66,1.92,3.45
CNX Infrastructure,23-01-2014,2328.5,2360.8,2328.5,2352.7,23.4,1,74663356,1244.31,16.24,1.81,1.54
CNX PSE,23-01-2014,2590.3,2592.5,2582.5,2587.25,-9.8,-.38,35723117,550.88,8.4,1.55,3.63
CNX Service Sector,23-01-2014,7826.7,7865.35,7801.4,7848.95,11.25,.14,71998820,3276.86,16.6,2.82,1.4
CNX Nifty Shariah,23-01-2014,-,-,-,1459.43,-5.74,-.39,22663992,1624.13,19.09,3.45,1.25
CNX 500 Shariah,23-01-2014,-,-,-,1534.77,-6.01,-.39,71638819,2789.31,20.07,3.66,1.22
CNX Low Volatility,23-01-2014,-,-,-,4728.86,-11.34,-.24,46929527,2500.7,19.27,3.14,1.51
CNX Alpha Index,23-01-2014,-,-,-,4979.39,-43.07,-.86,71019347,2676.93,23.04,4.03,.71
CNX High Beta,23-01-2014,-,-,-,1297.73,-5.74,-.44,148064694,2375.16,13.58,.79,2.42
CNX DEFTY,23-01-2014,-,-,-,3547.1,-.14,0,-,-,-,-,-
CNX 100 Equal Weight,23-01-2014,-,-,-,7224.11,-8.63,-.12,196924597,7201.33,13.53,1.97,1.81
LIX 15,23-01-2014,2566.55,2585.95,2566.05,2580.95,4.9,.19,56108092,1552.91,13.37,1.41,1.57
