Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,28-01-2014,6131.85,6163.6,6085.95,6126.25,-9.6,-.16,184111740,7710.08,17.82,2.9,1.53
CNX Nifty Junior,28-01-2014,11914.5,12011.05,11847.65,11893.2,-17.85,-.15,96378976,2146.34,14.74,2.16,1.49
CNX 100,28-01-2014,6005.35,6035.85,5963.4,5999.1,-9.35,-.16,280490716,9856.42,17.28,2.76,1.52
CNX 200,28-01-2014,3038.4,3054.55,3018.25,3036,-3.9,-.13,476774428,11285.57,17.16,2.55,1.56
CNX 500,28-01-2014,4723.25,4748.3,4694,4720.6,-5,-.11,557172172,11941.34,18,2.37,1.56
NIFTY Midcap 50,28-01-2014,2094.95,2116.95,2073.35,2092.3,-3.6,-.17,171333124,1560.22,11.9,1.2,1.83
CNX Midcap,28-01-2014,7439.8,7506.5,7399.3,7435.1,-6.5,-.09,188373680,2121.29,13.82,1.58,1.86
CNX Smallcap,28-01-2014,3171,3210.35,3162.75,3177.6,6.2,.2,97503023,583.77,41.54,.9,1.89
CNX Nifty Dividend,28-01-2014,-,-,-,86.21,0,-,-,-,-,-,-
CNX Auto,28-01-2014,4986.35,5068.4,4986.35,5010.2,11.5,.23,38648517,1728.09,26.82,4.25,1.3
CNX Bank,28-01-2014,10541.5,10708,10333.4,10507.6,-32.8,-.31,46674753,2408.77,11.96,1.82,1.74
CNX Energy,28-01-2014,7550.95,7616.7,7531.7,7543.45,.4,.01,25924715,617.98,11,1.56,2.15
CNX Finance,28-01-2014,4487.55,4558,4435.1,4483.9,-5.2,-.12,40158996,2186.66,13.75,2.24,1.65
CNX FMCG,28-01-2014,16841.85,16942.3,16622.1,16899.85,73.15,.43,20441923,807.02,34.13,11.31,1.63
CNX IT,28-01-2014,9906.5,9929.75,9807.7,9837.95,-100.7,-1.01,12787699,1418.54,22.88,6.75,1.05
CNX Media,28-01-2014,1697.2,1717.05,1673.15,1700.05,-.75,-.04,8701756,138.29,31.64,3.69,1.03
CNX Metal,28-01-2014,2300.55,2352.1,2293.15,2343.8,42.7,1.86,26825937,606.69,14.42,1.2,2.08
CNX MNC,28-01-2014,5900.75,5911.05,5804.6,5824.4,-61.85,-1.05,30005719,1635.24,37.77,5.39,1.66
CNX Pharma,28-01-2014,7752.55,7800.1,7656.1,7665.9,-77.05,-1,11138364,558.61,49.77,6.07,.67
CNX PSU Bank,28-01-2014,2264,2312.25,2229.9,2254,-3.5,-.16,38596601,973.14,6.23,.76,3.93
CNX Realty,28-01-2014,154.9,159.3,154.2,156.95,2.05,1.32,73239372,279.76,26.05,.74,1.21
CNX Consumption,28-01-2014,2454.95,2460.7,2437.9,2444.1,-8.4,-.34,60373197,2717.15,25.74,4.07,1.38
CNX Commodities,28-01-2014,2137.8,2156.65,2129.5,2150.45,11.2,.52,62108368,1404.2,10.99,1.42,2.36
CNX Dividend Opportunities,28-01-2014,1524.9,1533.8,1515.65,1524.7,.65,.04,89980719,1758.27,10.32,1.87,3.56
CNX Infrastructure,28-01-2014,2237.8,2253.45,2218.7,2232.45,-3.65,-.16,126036909,1249.35,15.31,1.72,1.63
CNX PSE,28-01-2014,2506.55,2529.9,2500.6,2509.3,.95,.04,47297167,619.71,8.14,1.5,3.75
CNX Service Sector,28-01-2014,7560.4,7609.35,7479.7,7523.8,-44.1,-.58,104914773,4707.06,15.89,2.71,1.46
CNX Nifty Shariah,28-01-2014,-,-,-,1427.52,-7.3,-.51,30884890,2624.16,18.68,3.38,1.28
CNX 500 Shariah,28-01-2014,-,-,-,1498.14,-4.5,-.3,71131626,3520.9,19.59,3.57,1.25
CNX Low Volatility,28-01-2014,-,-,-,4617.01,-11.97,-.26,62188509,3945.53,18.84,3.07,1.54
CNX Alpha Index,28-01-2014,-,-,-,4861.53,41.92,.87,65705157,2442.82,22.24,3.94,.73
CNX High Beta,28-01-2014,-,-,-,1180.98,4.38,.37,280200226,3719.02,12.39,.72,2.64
CNX DEFTY,28-01-2014,-,-,-,3369.99,-20.1,-.59,-,-,-,-,-
CNX 100 Equal Weight,28-01-2014,-,-,-,6887.74,-4.28,-.06,280490716,9856.42,12.96,1.89,1.89
LIX 15,28-01-2014,2416.1,2453.5,2404.35,2413.4,-4.65,-.19,101918902,3220.96,12.53,1.32,1.67
