Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,27-06-2014,7514.2,7538.75,7482.3,7508.8,15.6,0.21,126673395,6688.8,20.37,3.43,1.31
CNX Nifty Junior,27-06-2014,16149.55,16245.85,16053.4,16156.55,65.9,0.41,89610082,2729.9,21.44,2.68,1.16
CNX 100,27-06-2014,7465.75,7492.7,7432.65,7461.65,17.7,0.24,216283477,9418.7,20.52,3.29,1.28
CNX 200,27-06-2014,3848.2,3862.35,3830.8,3847.45,10.15,0.26,609132063,12872.12,20.5,3.13,1.28
CNX 500,27-06-2014,6083.3,6105.8,6055.35,6082.1,16.3,0.27,810695865,14857.36,21.41,2.95,1.27
NIFTY Midcap 50,27-06-2014,3276.55,3299.4,3246.85,3281.1,16.85,0.52,250854185,2984.69,18.27,1.76,1.22
CNX Midcap,27-06-2014,10843.85,10896.1,10783.7,10858.15,45.45,0.42,301204199,3894.38,19.2,2.38,1.26
CNX Smallcap,27-06-2014,5279.7,5307.25,5226.9,5288.1,21.25,0.4,199191257,1799.95,20.55,1.41,1.36
CNX Nifty Dividend,27-06-2014,-,-,-,42.29,0,-,-,-,-,-,-
CNX Auto,27-06-2014,6796.05,6798.1,6739.25,6750.4,-45.9,-0.68,41869566,795.44,31.99,5.64,0.96
CNX Bank,27-06-2014,15092.25,15117.15,14946.85,14992.35,-57.65,-0.38,20185412,1549.65,16.55,2.41,1.3
CNX Energy,27-06-2014,9802.85,9860.9,9726.9,9795.7,21.25,0.22,39063809,1003.84,13.8,1.94,1.68
CNX Finance,27-06-2014,6183.4,6213.9,6125.35,6141.55,-19.8,-0.32,32885412,2044.76,17.93,2.85,1.3
CNX FMCG,27-06-2014,17204.7,17321.9,17161.25,17270.15,72.45,0.42,19420061,697.74,33.07,11.78,1.44
CNX IT,27-06-2014,9619.45,9828.95,9607.6,9819.95,240.55,2.51,16071389,1498.51,20.98,6.11,1.41
CNX Media,27-06-2014,2091.35,2093.9,2062.15,2083.5,-1.65,-0.08,8469359,99.23,41.48,4.45,0.75
CNX Metal,27-06-2014,3316.85,3330.55,3260.8,3265.75,-45.25,-1.37,31958751,761.3,16.35,1.67,1.51
CNX MNC,27-06-2014,7557.35,7595.1,7510.35,7527.95,-16.15,-0.21,11843043,576.39,42.12,7.06,1.02
CNX Pharma,27-06-2014,8210.7,8377.5,8210.7,8361,225.1,2.77,13389442,902.43,41.66,6.55,0.57
CNX PSU Bank,27-06-2014,3776.3,3801.4,3730,3747.5,-23.4,-0.62,23310906,846.87,12.55,1.28,1.96
CNX Realty,27-06-2014,261.55,262.5,255,261.85,2.05,0.79,135257046,946.79,38.29,1.34,0.71
CNX Consumption,27-06-2014,2926.8,2926.8,2901.1,2909.55,-14,-0.48,44660219,1747.99,29.02,4.87,1.06
CNX Commodities,27-06-2014,3016.85,3029.1,2974,2986.55,-20.15,-0.67,75233978,2048.37,16.62,1.97,1.69
CNX Dividend Opportunities,27-06-2014,2053.8,2062.35,2032.9,2042.25,-7.1,-0.35,127975445,2296.69,14.75,2.35,2.52
CNX Infrastructure,27-06-2014,3306.15,3310.9,3262.6,3291.05,-4.9,-0.15,171984848,2069.62,22.04,2.54,1.1
CNX PSE,27-06-2014,3713.85,3727.55,3659.15,3684.55,-11.85,-0.32,84271300,1432.64,12.51,2.18,2.56
CNX Service Sector,27-06-2014,9125.15,9161.55,9097.95,9141.5,47.75,0.53,91433089,4285.02,18.19,3.12,1.34
CNX Nifty Shariah,27-06-2014,-,-,-,1675.29,13.64,0.82,27563736,2264.66,19.97,3.78,1.08
CNX 500 Shariah,27-06-2014,-,-,-,1831.16,15.65,0.86,82705024,3818.71,22.04,4.11,1.04
CNX Low Volatility,27-06-2014,-,-,-,5745.83,19.79,0.35,57759402,3333.1,23.14,4.18,1.33
CNX Alpha Index,27-06-2014,-,-,-,6382.77,78.28,1.24,61098427,2880.18,22.54,3.87,0.68
CNX High Beta,27-06-2014,-,-,-,2023.21,6.65,0.33,337887549,4832.64,14.99,1.15,1.45
CNX DEFTY,27-06-2014,-,-,-,4329.43,13.73,0.32,-,-,-,-,-
CNX 100 Equal Weight,27-06-2014,-,-,-,9373.06,22.65,0.24,216283477,9418.7,19.69,2.61,1.35
LIX 15,27-06-2014,3501.35,3508.2,3468.7,3477.9,-24.1,-0.69,41253915,1935.06,19.98,2.15,0.91
CPSE,27-06-2014,2621.9,2631.7,2577.3,2591.65,-20.45,-0.78,19783665,772.99,11.41,2.66,2.55
NV 20,27-06-2014,-,-,-,3541.31,3.29,0.09,37446198,2987.73,15.87,2.61,1.73
LIX15 Midcap,27-06-2014,-,-,-,2915.48,-21.46,-0.73,119590052,1337.36,13.71,1.7,1.31
CNX Shariah25,27-06-2014,-,-,-,2660.23,22.64,0.86,26602587,2372.9,22.28,5.43,1.13
India VIX,27-06-2014,17.7025,18.37,17.375,17.63,-0.08,-0.42,-,-,-,-,-
NI15,27-06-2014,4054,4098.55,4053.25,4094.9,52.9,1.31,22316325,2148.41,26,7.99,1.3
GSEC10 NSE Index,27-06-2014,-,-,-,1232.52,-1.14,-0.09,-,-,-,-,-
GSECBM NSE Index,27-06-2014,-,-,-,1187.24,-0.82,-0.07,-,-,-,-,-
