Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,10-08-2015,8577,8621.55,8497.8,8525.6,-39,-.46,127194886,5780.49,23.54,3.48,1.41
CNX Nifty Junior,10-08-2015,21597.9,21730.8,21459.7,21524.5,4.2,.02,63742674,2750.11,24.35,3.13,1.11
CNX 100,10-08-2015,8734.85,8781.15,8662.25,8686.25,-32.85,-.38,190937560,8530.6,23.67,3.41,1.36
CNX 200,10-08-2015,4519.85,4544,4481.8,4494.5,-17.4,-.39,469260916,11523.14,24.58,3.26,1.33
CNX 500,10-08-2015,7197.3,7233.75,7138.35,7157.55,-26.3,-.37,693133942,14368.09,25.66,3.13,1.3
NIFTY Midcap 50,10-08-2015,3541.6,3563.6,3494.5,3508.6,-31.3,-.88,177412905,1886.21,17.14,1.51,1.5
CNX Midcap,10-08-2015,14159.8,14237.6,14058.85,14100.75,-14.2,-.1,236444396,4340,24.88,2.52,1.16
CNX Smallcap,10-08-2015,5898.75,5928.9,5827.15,5848.7,-38.3,-.65,178011783,1372.31,91.66,1.35,1.05
CNX Nifty Dividend,10-08-2015,-,-,-,70.45,0,-,-,-,-,-,-
CNX Auto,10-08-2015,8762.55,8837.35,8712.5,8745.6,-57.4,-.65,32909769,1439.37,54.31,6.89,.71
CNX Bank,10-08-2015,18926.1,19071.35,18781.3,18875,-18.55,-.1,43121213,1446.95,19.85,2.63,1.04
CNX Energy,10-08-2015,8680.85,8718.6,8510.1,8537.25,-125.45,-1.45,19599946,703.19,13.89,1.53,2
CNX Finance,10-08-2015,7718.05,7797.2,7662.6,7700.6,5.2,.07,40326895,1543.54,20.99,3.11,1.1
CNX FMCG,10-08-2015,20936.55,21038.8,20731.75,20789.55,-111.4,-.53,8826157,653.25,40.05,12.01,1.38
CNX IT,10-08-2015,11623.1,11696.85,11500.4,11573.9,-23.15,-.2,5893113,681,21.75,6.12,1.81
CNX Media,10-08-2015,2491.95,2520.75,2478.8,2492.95,1.4,.06,9814511,241.79,51.18,5.73,.72
CNX Metal,10-08-2015,2144.7,2144.7,2100.8,2109.8,-22.15,-1.04,39801781,678.11,11.89,1.01,4.63
CNX MNC,10-08-2015,10557.3,10600.95,10526.75,10555.6,20.4,.19,9959512,748.33,46.81,7.67,.98
CNX Pharma,10-08-2015,12718.55,12784.35,12588.15,12638.6,-2.45,-.02,6966054,831.55,57.8,8.51,.41
CNX PSU Bank,10-08-2015,3580.9,3622.75,3550.95,3576.3,-3.05,-.09,38867761,823.75,13.6,1.05,1.67
CNX Realty,10-08-2015,183.2,186.3,182.8,183.65,.9,.49,92541657,390.56,29,.86,1.08
CNX Consumption,10-08-2015,3711,3726.35,3689.75,3697.15,-7.95,-.21,34189880,1704.71,30.71,5.52,.99
CNX Commodities,10-08-2015,2648.6,2653.5,2602.1,2612.35,-26.45,-1,64859179,1921.22,15.56,1.55,2.59
CNX Dividend Opportunities,10-08-2015,2074.95,2080.8,2047.6,2053.9,-16.1,-.78,85894314,2152,15.69,2.19,2.98
CNX Infrastructure,10-08-2015,3316.55,3339.05,3278.8,3294.1,-23.55,-.71,103181924,1408.8,22.38,2.33,1.06
CNX PSE,10-08-2015,3522.7,3535.75,3468.05,3477.9,-32.05,-.91,49474639,1405.73,13.26,1.98,3.47
CNX Service Sector,10-08-2015,11046.8,11124.9,10959.75,10995.35,-20.55,-.19,81615610,2952.77,20.28,3.25,1.4
