Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,01/09/2014,7990.35,8035,7984,8027.7,73.35,0.92,139328061,6944.65,20.99,3.49,1.26
CNX Nifty Junior,01/09/2014,16804.9,17145.35,16804.9,17136.05,371.35,2.22,85970003,2455.57,20.83,2.76,1.08
CNX 100,01/09/2014,7913.6,7974.3,7913.6,7968.05,87.65,1.11,225298064,9400.22,20.97,3.36,1.24
CNX 200,01/09/2014,4053.05,4087.7,4053.05,4084.55,48.5,1.2,523334244,12402.9,20.81,3.19,1.23
CNX 500,01/09/2014,6388.1,6441.55,6388.1,6438.45,77.7,1.22,674009057,14006.07,21.61,3.01,1.23
NIFTY Midcap 50,01/09/2014,3142.8,3228.05,3142.65,3224.8,93.4,2.98,217014000,2555.31,17.51,1.71,1.14
CNX Midcap,01/09/2014,11151.2,11340.6,11151.2,11334.9,220.85,1.99,231618958,3514.37,18.59,2.45,1.21
CNX Smallcap,01/09/2014,5031.15,5096.3,5031.15,5092.95,87.8,1.75,142851776,1329.15,18.15,1.36,1.34
CNX Nifty Dividend,01/09/2014,-,-,-,82.65,0,-,-,-,-,-,-
CNX Auto,01/09/2014,7711.3,7806.95,7711.3,7789.35,105.75,1.38,40335826,1388.03,36.92,6.12,0.87
CNX Bank,01/09/2014,15790.25,16060.2,15790.25,16012.8,272.4,1.73,23685389,1701.46,17.18,2.48,1.13
CNX Energy,01/09/2014,9684.4,9824.35,9653,9810.35,181.35,1.88,35796501,1099.6,13.42,1.93,1.69
CNX Finance,01/09/2014,6506.5,6558.4,6494.55,6543.3,63.15,0.97,32094085,1958.45,18.67,2.9,1.18
CNX FMCG,01/09/2014,19399.25,19411.7,19150.25,19172.9,-135.7,-0.7,14439912,460.73,35.63,12.02,1.45
CNX IT,01/09/2014,10712.5,10753.3,10695.05,10705.3,25.65,0.24,9069676,677.78,20.81,6.27,1.35
CNX Media,01/09/2014,1893.95,1937.1,1889.7,1934.15,42,2.22,8143969,134.3,52.49,4.68,0.87
CNX Metal,01/09/2014,3098.5,3186.15,3083.55,3169.1,88.6,2.88,52914585,1371.4,14.39,1.47,1.81
CNX MNC,01/09/2014,8198.95,8318.95,8198.95,8310.95,133.15,1.63,11062523,622.63,39.46,6.11,1.07
CNX Pharma,01/09/2014,10121.85,10155.1,10059.45,10099.05,16.75,0.17,6267902,568.81,31.38,7.37,0.66
CNX PSU Bank,01/09/2014,3505.35,3580.9,3505.35,3570.75,85.55,2.45,26045228,909.4,11.96,1.12,1.63
CNX Realty,01/09/2014,221.6,226.7,220.65,226.25,5.95,2.7,114483422,617.53,34.1,1.16,0.83
CNX Consumption,01/09/2014,3134.75,3172.65,3134.75,3169.15,45.1,1.44,41904587,1945.74,31.12,5.03,1.03
CNX Commodities,01/09/2014,2930.25,2984.3,2928.05,2980,67.55,2.32,92996180,2787.18,15.57,1.87,1.79
CNX Dividend Opportunities,01/09/2014,2048.95,2073.75,2048.95,2071.2,31.75,1.56,88970563,2078.09,14.47,2.28,2.44
CNX Infrastructure,01/09/2014,3125.1,3197.65,3125.1,3194.65,81.2,2.61,151486683,2046.76,21.68,2.45,1.1
CNX PSE,01/09/2014,3656.95,3704.9,3652.9,3701.55,67.15,1.85,54572254,1285.71,11.76,2.19,2.55
CNX Service Sector,01/09/2014,9677.55,9760.3,9675.65,9747.65,104.65,1.09,80880101,3436.4,18.82,3.2,1.25
CNX Nifty Shariah,01/09/2014,-,-,-,1794.86,26.13,1.48,26315300,2049.22,18.88,3.31,1.03
CNX 500 Shariah,01/09/2014,-,-,-,1973.32,28.67,1.47,88489871,3631.16,21.45,3.72,0.98
CNX Low Volatility,01/09/2014,-,-,-,6250.2,69.9,1.13,47080148,3257.26,23.71,4.5,1.35
CNX Alpha Index,01/09/2014,-,-,-,7075.29,105.39,1.51,50259114,1511.23,26.48,3.63,0.68
CNX High Beta,01/09/2014,-,-,-,1873.04,55.82,3.07,305041502,4794.37,13.95,1.03,1.52
CNX DEFTY,01/09/2014,-,-,-,4599.68,42.1,0.92,-,-,-,-,-
CNX 100 Equal Weight,01/09/2014,-,-,-,9874.47,172.73,1.78,225298064,9400.22,19.74,2.73,1.26
LIX 15,01/09/2014,3613.4,3672.65,3613.4,3669.45,69.6,1.93,70437985,2788.81,19.64,2.03,0.98
CPSE,01/09/2014,2544.65,2591.35,2543.15,2588.35,64.85,2.57,17632786,692.76,10.96,2.66,2.55
NV 20,01/09/2014,-,-,-,3780.03,48.85,1.31,43829329,3164.41,16.25,2.66,1.58
LIX15 Midcap,01/09/2014,-,-,-,2876.78,88.58,3.18,120927120,1241.79,12.43,1.66,1.31
CNX Shariah25,01/09/2014,-,-,-,2912.95,36.5,1.27,23379088,1993.43,23.06,5.31,1.1
India VIX,01/09/2014,13.0675,13.675,12.8575,13.53,0.46,3.54,-,-,-,-,-
NI15,01/09/2014,4616.55,4623.35,4599.4,4606.15,11.2,0.24,14561557,1564,27.58,8.41,1.23
GSEC10 NSE Index,01/09/2014,-,-,-,1249.87,-0.59,-0.05,-,-,-,-,-
GSECBM NSE Index,01/09/2014,-,-,-,1209.15,1.01,0.08,-,-,-,-,-
