Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,30-10-2013,6230.8,6269.2,6222.6,6251.7,30.8,.5,177583848,6861.84,18.04,2.97,1.47
CNX Nifty Junior,30-10-2013,12065.65,12112.45,12013.9,12086.3,70.7,.59,90831732,2141.57,14.41,2.19,1.46
CNX 100,30-10-2013,6098.95,6134.2,6089,6117.9,31,.51,268415580,9003.41,17.38,2.82,1.47
CNX 200,30-10-2013,3075.8,3092.7,3070.85,3084.35,15.15,.49,429947986,10481.97,17.24,2.61,1.5
CNX 500,30-10-2013,4751.05,4775.8,4745.6,4764.3,23.2,.49,537298099,11317.48,17.61,2.41,1.52
NIFTY Midcap 50,30-10-2013,2051.1,2056.45,2039.8,2046.5,3.4,.17,112532687,1319.49,10.35,1.2,1.93
CNX Midcap,30-10-2013,7441.8,7456.25,7406.3,7425.2,10,.13,131009083,1907.15,13.62,1.62,1.77
CNX Smallcap,30-10-2013,3025.5,3046.85,3025.5,3033.1,20.4,.68,121488448,725.77,24.04,.83,2.09
CNX Nifty Dividend,30-10-2013,-,-,-,78.34,0,-,-,-,-,-,-
CNX Auto,30-10-2013,5173.1,5189.1,5129.85,5155.85,2.3,.04,19481831,668.9,24.97,4.36,1.16
CNX Bank,30-10-2013,11284.85,11366.45,11211.5,11249.35,7.7,.07,35825448,2132.89,12.63,1.93,1.64
CNX Energy,30-10-2013,7981.65,8017.7,7941.05,7976.05,7.8,.1,19002486,463.26,10.5,1.64,2.04
CNX Finance,30-10-2013,4741.45,4781.1,4729.2,4748.75,25.1,.53,46881823,2437.41,14.72,2.37,1.56
CNX FMCG,30-10-2013,17435.15,17583,17321.05,17568.2,204.25,1.18,17499570,699.31,37.58,11.69,1.54
CNX IT,30-10-2013,8803.25,8853.3,8784.9,8835.15,13.05,.15,17727549,982.51,22.34,6.22,1.17
CNX Media,30-10-2013,1739.9,1750.85,1730.4,1739.35,4.7,.27,6830356,68.06,30.16,4.71,1.08
CNX Metal,30-10-2013,2250.1,2255.65,2230.85,2245.2,.25,.01,24334548,507.9,13.97,1.16,1.97
CNX MNC,30-10-2013,6002.35,6020.1,5983.45,6010.15,9.05,.15,23341393,716.27,37.14,5.57,1.61
CNX Pharma,30-10-2013,7512.85,7616.25,7505.2,7605.75,97.45,1.3,13540251,786.4,46.93,5.96,.66
CNX PSU Bank,30-10-2013,2360.85,2372.1,2305.45,2311.45,-36.8,-1.57,21464662,597.48,5.58,.75,3.95
CNX Realty,30-10-2013,171.9,173.95,170.35,171,.55,.32,36876356,229.71,27.7,.8,.87
CNX Consumption,30-10-2013,2571.65,2596,2568.4,2591.9,27.1,1.06,69031161,2429.25,28.03,4.32,1.21
CNX Commodities,30-10-2013,2226.4,2234.75,2211.95,2223.55,1.25,.06,53255261,1212.27,10.41,1.49,2.23
CNX Dividend Opportunities,30-10-2013,1567.95,1572.1,1558.65,1566.15,3.7,.24,66531344,1307.06,9.54,1.85,3.35
CNX Infrastructure,30-10-2013,2340.75,2377.1,2340.75,2365.2,25.05,1.07,132271395,1899.51,16.11,1.79,1.52
CNX PSE,30-10-2013,2569.55,2579.1,2551.35,2569.5,10.4,.41,41369079,482.78,7.19,1.54,3.59
CNX Service Sector,30-10-2013,7558,7630,7551.25,7588.3,40.9,.54,110943197,4780.56,16.36,2.74,1.45
CNX Nifty Shariah,30-10-2013,-,-,-,1446.92,14.36,1,41190215,2227.7,19.57,3.43,1.23
CNX 500 Shariah,30-10-2013,-,-,-,1499.15,13.74,.93,79973679,3159.13,20.49,3.59,1.21
CNX Low Volatility,30-10-2013,-,-,-,4737.58,4.49,.09,47063789,2838.04,17.83,2.94,1.6
CNX Alpha Index,30-10-2013,-,-,-,4702.35,26.07,.56,61382881,2371.14,27.86,4.08,.64
CNX High Beta,30-10-2013,-,-,-,1213.99,-1.22,-.1,250252926,3688.63,12.93,.7,2.46
CNX DEFTY,30-10-2013,-,-,-,3523.04,15.99,.46,-,-,-,-,-
CNX 100 Equal Weight,30-10-2013,-,-,-,7010.21,27.13,.39,268415580,9003.41,11.73,1.83,1.86
LIX 15,30-10-2013,2513.1,2520.4,2485.65,2491.25,-11.8,-.47,87518925,2211.09,12.08,1.36,1.61
