Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,10-10-2013,6001.05,6033.95,5979.8,6020.95,13.5,.22,159607329,6163.68,17.66,2.86,1.53
CNX Nifty Junior,10-10-2013,11739.6,11833.2,11739.6,11808.9,84.6,.72,75525136,2046.49,14.14,2.09,1.49
CNX 100,10-10-2013,5883.1,5916.4,5868.3,5904.9,17.65,.3,235132465,8210.17,17.01,2.71,1.53
CNX 200,10-10-2013,2970.75,2987.7,2964.55,2981.7,9.15,.31,407667602,9381.39,16.87,2.51,1.55
CNX 500,10-10-2013,4589.8,4617,4582.85,4607.5,15.05,.33,499752037,10013.24,17.25,2.32,1.58
NIFTY Midcap 50,10-10-2013,1999.95,2011.7,1994.3,1999.2,2.75,.14,122795221,1123.81,10.03,1.15,1.98
CNX Midcap,10-10-2013,7302.05,7346.9,7302.05,7321.55,28.15,.39,147641763,1717.4,13.48,1.57,1.79
CNX Smallcap,10-10-2013,2928.45,2964.6,2928.45,2952.3,25.15,.86,92997806,599.48,24.55,.8,2.14
CNX Nifty Dividend,10-10-2013,-,-,-,73.34,0,-,-,-,-,-,-
CNX Auto,10-10-2013,4922.45,5017.9,4918.55,5006.3,89.3,1.82,34235796,1077.03,24.3,4.23,1.19
CNX Bank,10-10-2013,10309.2,10372.05,10199.55,10288.95,-46,-.45,31795087,1868.32,11.76,1.77,1.79
CNX Energy,10-10-2013,7732.25,7754.2,7677.7,7744.65,.6,.01,22255427,494.48,10.46,1.61,2.12
CNX Finance,10-10-2013,4391.35,4410.05,4352.2,4394.25,-9.4,-.21,32457550,1745.7,13.82,2.19,1.69
CNX FMCG,10-10-2013,17804.5,17973.8,17776.55,17833.6,-5.55,-.03,11349207,639.17,38.11,11.9,1.52
CNX IT,10-10-2013,8585.75,8643.45,8549.15,8603.8,39.35,.46,15222169,1412.36,22.81,6.05,1.2
CNX Media,10-10-2013,1650.8,1665,1643.8,1652.6,-.55,-.03,5749307,63.07,31.57,4.63,1.03
CNX Metal,10-10-2013,2179.95,2216.05,2179.95,2195.95,12.75,.58,34321138,638.49,13.54,1.12,2.02
CNX MNC,10-10-2013,5818.4,5877.1,5818.4,5837.15,19.15,.33,29743327,608.62,35.97,5.41,1.66
CNX Pharma,10-10-2013,7726.7,7753.75,7707.85,7731.55,20.95,.27,11609724,660.81,48.2,6.06,.65
CNX PSU Bank,10-10-2013,2200.8,2230.4,2200.8,2220.65,19,.86,15346263,520.22,5.36,.72,4.11
CNX Realty,10-10-2013,168.85,171.45,168.6,169.45,.9,.53,49215100,300.91,27.45,.8,.87
CNX Consumption,10-10-2013,2518.4,2539,2518.4,2526.45,7.15,.28,41143709,1782.26,27.6,4.05,1.23
CNX Commodities,10-10-2013,2178.85,2199.05,2178.85,2189.55,9.35,.43,64716894,1403.58,10.39,1.46,2.26
CNX Dividend Opportunities,10-10-2013,1546.4,1557.1,1546.4,1549.25,3.5,.23,59695594,1255.88,9.02,1.68,3.31
CNX Infrastructure,10-10-2013,2247.4,2266.3,2241,2252.4,2.3,.1,117860423,1069.65,15.12,1.66,1.59
CNX PSE,10-10-2013,2523.45,2539.1,2518.05,2532.9,9.3,.37,37343103,444.23,7.08,1.55,3.66
CNX Service Sector,10-10-2013,7184.05,7217.05,7144.5,7193.9,2.35,.03,85290233,3999.3,15.85,2.57,1.52
CNX Nifty Shariah,10-10-2013,-,-,-,1415.27,-.56,-.04,21227030,1541.23,19.47,3.3,1.25
CNX 500 Shariah,10-10-2013,-,-,-,1465.92,3.6,.25,67082150,2600.24,20.44,3.49,1.25
CNX Low Volatility,10-10-2013,-,-,-,4717.86,12.08,.26,36987691,2223.59,19,3.34,1.63
CNX Alpha Index,10-10-2013,-,-,-,4650.21,38.43,.83,61713960,2355.42,29.36,3.8,.63
CNX High Beta,10-10-2013,-,-,-,1150,1.93,.17,256805808,3464.95,16.79,.63,2.3
CNX DEFTY,10-10-2013,-,-,-,3357.45,-4.44,-.13,-,-,-,-,-
CNX 100 Equal Weight,10-10-2013,-,-,-,6805.77,36.76,.54,235132465,8210.17,11.45,1.76,1.92
LIX 15,10-10-2013,2341.05,2374.75,2341.05,2367.95,27.45,1.17,101158810,2838.42,12.03,1.27,1.69
