Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,06-06-2013,5895,5956.55,5869.5,5921.4,-2.45,-.04,114174694,4961.54,17.89,3.12,1.4
CNX Nifty Junior,06-06-2013,12400.75,12481.05,12382,12421.85,-46.7,-.37,84895568,1857.48,19.35,2.33,1.29
CNX 100,06-06-2013,5842.95,5899.85,5820.6,5866.6,-5.45,-.09,199070262,6819.02,18.1,2.97,1.38
CNX 200,06-06-2013,2983.75,3012.3,2973.05,2996.2,-2.3,-.08,381048420,8064.16,17.86,2.75,1.4
CNX 500,06-06-2013,4634.55,4676.6,4619.05,4653.4,-3.1,-.07,458826906,8681.32,17.85,2.56,1.42
NIFTY Midcap 50,06-06-2013,2046.55,2073,2041.7,2066.75,7.85,.38,175715854,1587.58,13.01,1.26,1.65
CNX Midcap,06-06-2013,7836.45,7886,7823,7864.8,-8.05,-.1,189823721,2018.49,18.19,1.75,1.52
CNX Smallcap,06-06-2013,3149.4,3177.7,3140.15,3169.85,7.45,.24,97940884,534.5,23.63,1.13,1.55
CNX Nifty Dividend,06-06-2013,-,-,-,31.26,0,-,-,-,-,-,-
CNX Auto,06-06-2013,4684.85,4729.4,4671.4,4713.15,-.15,0,13765235,499.46,24.06,4.37,1.52
CNX Bank,06-06-2013,12225.35,12475.05,12184.05,12398.4,109.05,.89,15573395,1412.26,14.51,2.54,1.19
CNX Energy,06-06-2013,7791.7,7796.85,7720.5,7750,-75.55,-.97,21391630,596.82,11.13,1.75,1.66
CNX Finance,06-06-2013,5008.4,5107.4,4989.7,5063.4,26.6,.53,27988904,1851.87,16.57,2.99,1.21
CNX FMCG,06-06-2013,17366.35,17452.75,17255.65,17378,-16.7,-.1,11385215,634.92,37.74,13.45,1.15
CNX IT,06-06-2013,6433.85,6484.55,6417.95,6451.55,-22.45,-.35,7174033,608.34,16.86,5.23,1.77
CNX Media,06-06-2013,1705.55,1731.2,1703.95,1717.5,3.15,.18,10014314,105.55,39.68,5.23,.88
CNX Metal,06-06-2013,2154.1,2175.2,2141.55,2163.15,-8.15,-.38,23346919,438.77,10.16,1,2.52
CNX MNC,06-06-2013,5829.1,5881.8,5821.7,5858.75,12.9,.22,10390291,408.48,31.44,5.84,1.42
CNX Pharma,06-06-2013,6835.3,6841,6752.65,6774.75,-83.6,-1.22,5404958,381.15,42.58,5.87,.71
CNX PSU Bank,06-06-2013,3007,3086.15,2999.3,3067.3,38.15,1.26,14828022,798.25,7.16,1.16,2.48
CNX Realty,06-06-2013,213.35,218.85,213.2,216.9,1,.46,73273774,439.05,29.48,.9,.62
CNX Consumption,06-06-2013,2448.15,2457.75,2437.1,2448.3,-11.3,-.46,66944391,1882.84,26.92,4.26,1.08
CNX Commodities,06-06-2013,2209.05,2227.05,2196.2,2217.1,-4.95,-.22,55263309,1227.01,13.53,1.48,1.99
CNX Dividend Opportunities,06-06-2013,1690.05,1702.75,1682.85,1696.3,-.95,-.06,55476068,1236.35,12.09,2.18,2.55
CNX Infrastructure,06-06-2013,2343.85,2362.2,2336,2346.7,-10.85,-.46,100646345,1385.67,15.63,1.87,1.32
CNX PSE,06-06-2013,2826.6,2832.1,2808.55,2819.7,-22.8,-.8,25510939,472.6,9.92,1.84,2.82
CNX Service Sector,06-06-2013,7125.5,7226.9,7101.55,7176.15,7.65,.11,93004986,3394.89,16.15,2.88,1.37
CNX Nifty Shariah,06-06-2013,-,-,-,1249.23,-5.9,-.47,27814697,1556.2,16.36,2.74,1.4
CNX 500 Shariah,06-06-2013,-,-,-,1350.28,-6.81,-.5,82165163,2637.43,18.19,2.93,1.41
S&P ESG India,06-06-2013,-,-,-,3655.06,5.97,.16,-,-,-,-,-
CNX Low Volatility,06-06-2013,-,-,-,4773.8,-20.55,-.43,38211767,2569.99,20.94,4.08,1.43
CNX Alpha Index,06-06-2013,-,-,-,4684.16,-12.03,-.26,28275373,1287.24,26.01,4.47,.53
CNX High Beta,06-06-2013,-,-,-,1353.49,8.99,.67,255016303,2796.57,21.09,.76,1.42
CNX DEFTY,06-06-2013,-,-,-,3607.88,-29.97,-.82,-,-,-,-,-
