Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,06-11-2012,5694.1,5730.8,5693.65,5724.4,20.2,.35,115018796,4677.92,18.66,3.07,1.43
CNX Nifty Junior,06-11-2012,11061.3,11106.55,11044.1,11095.5,31.1,.28,68680622,1667.51,18.92,2.11,1.42
CNX 100,06-11-2012,5577.35,5610.8,5577.35,5605.25,19.15,.34,183699418,6345.43,18.7,2.88,1.43
CNX 200,06-11-2012,2875.1,2892.15,2875.1,2889.5,10.3,.36,361488705,7977.97,18.38,2.68,1.44
S&P CNX 500,06-11-2012,4505.45,4531.65,4505.45,4528.3,17,.38,462702841,8772.46,18.73,2.52,1.45
NIFTY Midcap 50,06-11-2012,2207.95,2218.3,2200.55,2214.35,5.85,.26,142167740,1356.09,14.18,1.44,1.62
CNX Midcap,06-11-2012,7838.5,7875.7,7829.85,7869.15,29.3,.37,180224780,1820.89,19.07,1.73,1.62
CNX Smallcap,06-11-2012,3433,3471.25,3431.85,3467.25,29.5,.86,64486994,597.22,42.22,1.28,1.4
S&P CNX Nifty Dividend,06-11-2012,-,-,-,75.4,0,-,-,-,-,-,-
CNX Auto,06-11-2012,4449.3,4458.9,4424.7,4445,-18.85,-.42,29829541,717.72,22.28,4.1,1.63
CNX Bank,06-11-2012,11427.95,11568.45,11427.95,11539.05,63.9,.56,14244357,1106.28,14.22,2.31,1.3
CNX Energy,06-11-2012,7795.8,7849.35,7776.75,7837.1,29.2,.37,21080921,630.79,15.42,1.77,1.63
CNX Finance,06-11-2012,4718,4780.4,4718,4770.8,32.65,.69,25495880,1391.99,16.92,2.81,1.29
CNX FMCG,06-11-2012,14663.85,14764.1,14613.6,14687.85,17.7,.12,12673458,784.09,33.88,12.73,1.35
CNX IT,06-11-2012,6144.5,6187.9,6128.1,6139.5,-4.7,-.08,7741593,503.61,16.7,5.02,1.77
CNX Media,06-11-2012,1570.45,1586.5,1566.05,1578,5.35,.34,12723336,91.74,36.24,4.64,.95
CNX Metal,06-11-2012,2674.8,2688.8,2661.75,2681.55,-2.55,-.1,22761503,501.48,11.34,1.16,2.01
CNX MNC,06-11-2012,5717.35,5755.35,5710.85,5747.9,14.85,.26,9518400,463.01,39.4,5.09,1.22
CNX Pharma,06-11-2012,5783.6,5807.85,5762.1,5798.65,42.15,.73,13492984,646.16,48.19,5.25,.77
CNX PSU Bank,06-11-2012,3203.5,3249.95,3194.8,3245.95,27.1,.84,19615176,730.96,7.25,1.21,2.38
CNX Realty,06-11-2012,238.6,244.2,238,243.95,5.05,2.11,64581541,463.93,24.61,.97,.56
CNX Consumption,06-11-2012,2155.75,2167.75,2155.75,2165,5,.23,38376397,1544.62,24.54,3.77,1.21
CNX Commodities,06-11-2012,2444.1,2460.8,2443.25,2457.85,8.65,.35,66390975,1455,18.5,1.64,1.76
CNX Dividend Opportunities,06-11-2012,1629,1638.7,1627.5,1636.9,5.85,.36,66761177,1393.73,12.58,2.22,2.58
CNX Infrastructure,06-11-2012,2531.1,2541.35,2521.65,2538.3,6.65,.26,85656517,973.72,18.84,2.09,1.11
CNX PSE,06-11-2012,2882.85,2904.8,2880.15,2901.15,16.55,.57,34383747,501.2,15.55,1.94,2.71
CNX Service Sector,06-11-2012,6716.15,6776.05,6716.15,6767.85,32.6,.48,55943044,2297.49,16.28,2.74,1.44
S&P CNX Nifty Shariah,06-11-2012,-,-,-,1217.31,3.54,.29,38768549,2190.24,18.19,3.48,1.53
S&P CNX 500 Shariah,06-11-2012,-,-,-,1309.98,3.7,.28,72495910,2993.26,19.1,3.6,1.48
S&P ESG India,06-11-2012,-,-,-,3680.66,2.83,.08,-,-,-,-,-
