Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,13-11-2012,5689.7,5698.25,5660.35,5666.95,-16.75,-.29,16516842,680.72,17.9,3.02,1.45
CNX Nifty Junior,13-11-2012,11344.5,11384.95,11332.55,11347.8,5.15,.05,21131021,641.23,16.39,2.12,1.41
CNX 100,13-11-2012,5594.35,5599.1,5569.15,5575.55,-13.65,-.24,37647863,1321.95,17.66,2.84,1.44
CNX 200,13-11-2012,2885.55,2888.25,2875.4,2879.1,-4,-.14,90599147,1935.51,17.5,2.65,1.45
S&P CNX 500,13-11-2012,4522.7,4527.35,4513.1,4518.1,-1.15,-.03,193937920,2657.91,17.53,2.5,1.46
NIFTY Midcap 50,13-11-2012,2230,2240.65,2229.6,2233.8,4.05,.18,36414052,277.74,13.8,1.47,1.6
CNX Midcap,13-11-2012,7909.5,7976.6,7909.5,7961.35,52.05,.66,54504876,595.85,16.29,1.75,1.6
CNX Smallcap,13-11-2012,3495.05,3547.7,3495.05,3544.6,59.4,1.7,82505102,579.44,44.59,1.31,1.37
S&P CNX Nifty Dividend,13-11-2012,-,-,-,75.4,0,-,-,-,-,-,-
CNX Auto,13-11-2012,4491.45,4504.2,4474.3,4478.55,-12.3,-.27,6587611,95.58,21.09,4.12,1.62
CNX Bank,13-11-2012,11585.3,11598.25,11513.4,11533.9,-49.95,-.43,2504897,229.34,14.13,2.32,1.3
CNX Energy,13-11-2012,7657.95,7683.35,7630.35,7660.9,20.05,.26,4492814,114.4,11.97,1.74,1.64
CNX Finance,13-11-2012,4788.5,4796.55,4753.6,4763.3,-25.75,-.54,4311087,268.08,16.64,2.78,1.3
CNX FMCG,13-11-2012,14896.55,14906.35,14824.75,14893.45,54.5,.37,7532404,700.33,34.67,11.87,1.35
CNX IT,13-11-2012,6135.2,6142.3,6094.75,6106.1,-32.55,-.53,1497945,83.65,16.64,4.97,1.77
CNX Media,13-11-2012,1549.4,1574.25,1549.4,1571.45,27.05,1.75,17186296,69.78,37.45,4.62,.96
CNX Metal,13-11-2012,2640.8,2647.9,2637.65,2642.05,8.35,.32,3044989,69.77,11.26,1.14,2.04
CNX MNC,13-11-2012,5709.65,5730.55,5702.4,5712,2.9,.05,914708,49.36,37.33,4.85,1.19
CNX Pharma,13-11-2012,5763.2,5771.7,5737.7,5744.6,-6.3,-.11,578014,40.15,42.59,5.16,.79
CNX PSU Bank,13-11-2012,3301.05,3307.15,3267.5,3278.15,-23.45,-.71,2281895,118.36,7.2,1.22,2.36
CNX Realty,13-11-2012,253.8,255.9,252.55,254.2,-.4,-.16,20392910,172.21,23.91,1.01,.54
CNX Consumption,13-11-2012,2193.55,2203.35,2191.25,2199.95,8.75,.4,16898564,837.73,24.9,3.82,1.19
CNX Commodities,13-11-2012,2413.25,2416.5,2406,2409.2,-1.05,-.04,11055781,207.2,14.15,1.61,1.78
CNX Dividend Opportunities,13-11-2012,1636.75,1640.05,1631.4,1632.75,-2.1,-.13,11668326,169.64,11.52,2.19,2.6
CNX Infrastructure,13-11-2012,2505.65,2513.1,2503.45,2506.55,2.05,.08,25038905,221.43,18.8,2.02,1.16
CNX PSE,13-11-2012,2852.65,2870.8,2848.45,2851.35,2.2,.08,4723570,62.46,9.55,1.87,2.78
CNX Service Sector,13-11-2012,6781.85,6791.65,6741.6,6753.1,-29.95,-.44,14793525,406.62,16.09,2.74,1.45
S&P CNX Nifty Shariah,13-11-2012,-,-,-,1199.98,-3.21,-.27,3466642,216.09,18.12,3.42,1.54
S&P CNX 500 Shariah,13-11-2012,-,-,-,1297.06,-.78,-.06,8994618,334.01,19.08,3.55,1.48
S&P ESG India,13-11-2012,-,-,-,3658.83,-4.66,-.13,-,-,-,-,-
