Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,21-11-2012,5582.5,5620.2,5561.4,5614.8,43.25,.78,105148728,4228.47,17.74,2.99,1.46
CNX Nifty Junior,21-11-2012,11078.3,11137.15,11042.35,11128.2,52.7,.48,84989291,1609.03,16.12,2.09,1.41
CNX 100,21-11-2012,5485.05,5520.2,5465.3,5515.7,40.05,.73,190138019,5837.51,17.48,2.81,1.45
CNX 200,21-11-2012,2827.55,2845.65,2817.15,2843.6,20.4,.72,361459660,7532.97,17.31,2.62,1.46
S&P CNX 500,21-11-2012,4434.65,4461.45,4419.5,4458.45,30.05,.68,477557759,8685.41,17.31,2.47,1.48
NIFTY Midcap 50,21-11-2012,2152.85,2171.2,2138.6,2168,15.9,.74,144787833,1372.7,13.45,1.42,1.62
CNX Midcap,21-11-2012,7714.65,7763.95,7683.85,7756.65,42.85,.56,196479039,1966.99,15.92,1.71,1.64
CNX Smallcap,21-11-2012,3459.6,3474.7,3440.3,3470.35,15.55,.45,86214717,935.55,42.81,1.28,1.4
S&P CNX Nifty Dividend,21-11-2012,-,-,-,75.4,0,-,-,-,-,-,-
CNX Auto,21-11-2012,4448.15,4456.9,4421.6,4437.45,-2.35,-.05,27839678,539.7,20.9,4.09,1.64
CNX Bank,21-11-2012,11352.2,11477.35,11303.75,11465.35,147.05,1.3,15898274,1299.67,14.04,2.31,1.3
CNX Energy,21-11-2012,7512,7533.25,7479.2,7518.25,8.7,.12,17804058,433.96,11.74,1.7,1.67
CNX Finance,21-11-2012,4702.3,4733.05,4679.65,4730.05,38.75,.83,24242360,1577.08,16.54,2.78,1.3
CNX FMCG,21-11-2012,14611.8,14848.1,14570.6,14821.65,201.35,1.38,16372983,886.23,34.49,11.82,1.35
CNX IT,21-11-2012,6004.05,6050.8,6001.4,6043.6,52.75,.88,6142403,474.18,16.47,4.92,1.79
CNX Media,21-11-2012,1579.75,1609.2,1568.1,1604.3,26.3,1.67,19387441,182.72,38.52,4.71,.94
CNX Metal,21-11-2012,2558.2,2574.55,2540.8,2567.8,18.25,.72,13797379,348.05,10.94,1.1,2.06
CNX MNC,21-11-2012,5625.9,5645.7,5598.6,5641.9,20.45,.36,7360418,346.21,36.87,4.79,1.2
CNX Pharma,21-11-2012,5644.05,5706.7,5629.95,5689.3,58.25,1.03,6625386,357.26,42.18,5.11,.8
CNX PSU Bank,21-11-2012,3125.75,3148.55,3095,3138.15,16.45,.53,12943495,728.65,6.89,1.17,2.46
CNX Realty,21-11-2012,242.45,249.65,241,248.65,6.25,2.58,65483268,503.04,26.36,.98,.55
CNX Consumption,21-11-2012,2192.8,2207.85,2187.35,2205.9,13.8,.63,61033585,1833.4,24.98,3.82,1.19
CNX Commodities,21-11-2012,2340.8,2347.5,2327.15,2345.5,9.8,.42,47619317,921.58,13.78,1.56,1.81
CNX Dividend Opportunities,21-11-2012,1593,1601.5,1587.95,1599,5.45,.34,53368732,1000.4,11.22,2.15,2.65
CNX Infrastructure,21-11-2012,2488.65,2490.85,2468.35,2483.45,-.05,0,105990501,1044,18.71,2,1.17
CNX PSE,21-11-2012,2812.4,2818.85,2796.65,2801.9,-10.8,-.38,28567416,409.24,9.31,1.84,2.83
CNX Service Sector,21-11-2012,6687.9,6724.85,6663.75,6719.55,45.25,.68,62442368,2438.26,16.06,2.73,1.45
S&P CNX Nifty Shariah,21-11-2012,-,-,-,1182.32,7.93,.68,26476556,1490.77,17.72,3.37,1.58
S&P CNX 500 Shariah,21-11-2012,-,-,-,1275.79,6.66,.52,57341650,2326.99,18.62,3.5,1.53
S&P ESG India,21-11-2012,-,-,-,3586.39,19.22,.54,-,-,-,-,-
CNX Low Volatility,21-11-2012,-,-,-,4322.99,12.4,.29,65790100,2079.38,19.55,3.19,1.51
CNX Alpha Index,21-11-2012,-,-,-,4445.09,31.97,.72,41049642,1854.47,21.4,4.16,.83
CNX High Beta,21-11-2012,-,-,-,1486.11,17.93,1.22,210632996,2322.81,18.48,.94,1.37
