Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,16-11-2012,5624.8,5650.15,5559.8,5574.05,-56.95,-1.01,121900570,4996.15,17.62,2.97,1.47
CNX Nifty Junior,16-11-2012,11363.7,11440.2,11214.35,11241.6,-124.05,-1.09,96834569,2335.82,16.24,2.1,1.42
CNX 100,16-11-2012,5541.4,5566.7,5477.2,5489.95,-56.75,-1.02,218735139,7331.97,17.4,2.8,1.46
CNX 200,16-11-2012,2862.75,2875.85,2828.65,2835.45,-29.8,-1.04,432165021,9289.34,17.25,2.61,1.47
S&P CNX 500,16-11-2012,4493.45,4513.45,4441.95,4451.1,-45.9,-1.02,614541692,11081.69,17.28,2.46,1.48
NIFTY Midcap 50,16-11-2012,2233.35,2247.25,2190.75,2200.05,-33.65,-1.51,164489764,1440.7,13.64,1.44,1.63
CNX Midcap,16-11-2012,7939.4,7992.65,7831.2,7855.45,-84.35,-1.06,230415699,2182.96,16.11,1.73,1.62
CNX Smallcap,16-11-2012,3571.55,3590.75,3509.1,3518.45,-42.3,-1.19,139580609,1461.37,44.25,1.3,1.38
S&P CNX Nifty Dividend,16-11-2012,-,-,-,75.4,0,-,-,-,-,-,-
CNX Auto,16-11-2012,4440.75,4457.2,4359.9,4374.1,-66.95,-1.51,31239867,550.56,20.6,4.03,1.66
CNX Bank,16-11-2012,11487.55,11537.15,11306.05,11335.5,-185.9,-1.61,13780382,1273.35,13.88,2.28,1.32
CNX Energy,16-11-2012,7628.85,7671.9,7554.7,7575.55,-56.3,-.74,22413594,589.84,11.83,1.72,1.66
CNX Finance,16-11-2012,4760.3,4771.65,4679.6,4690.55,-85.85,-1.8,29235086,1750.87,16.39,2.74,1.32
CNX FMCG,16-11-2012,14736.45,14831.8,14463.7,14510.35,-203.6,-1.38,21607131,1537.46,33.77,11.57,1.38
CNX IT,16-11-2012,6002.5,6117,5993.4,6030.5,30,.5,7957863,699.89,16.43,4.91,1.8
CNX Media,16-11-2012,1643.1,1659,1595.55,1603.25,-35.7,-2.18,40042171,280.52,38.2,4.71,.94
CNX Metal,16-11-2012,2603.1,2628.1,2582.1,2588.05,-13.5,-.52,27333696,569.91,11.03,1.12,2.09
CNX MNC,16-11-2012,5703.5,5716.7,5603.5,5628.35,-84.7,-1.48,6598428,290.94,36.79,4.78,1.21
CNX Pharma,16-11-2012,5661.4,5711.8,5643.85,5658.85,-25,-.44,4259607,284.74,41.95,5.09,.8
CNX PSU Bank,16-11-2012,3261.15,3287.85,3180,3189.2,-73.95,-2.27,11552818,587.37,7.01,1.19,2.42
CNX Realty,16-11-2012,259.55,262.7,248.4,250.45,-9.55,-3.67,74602655,548.22,26.73,.99,.54
CNX Consumption,16-11-2012,2203.25,2215,2175.1,2181.3,-21.4,-.97,70409947,2555.39,24.69,3.79,1.2
CNX Commodities,16-11-2012,2382.45,2397.4,2359.5,2366.1,-16.75,-.7,59227299,1300.6,13.9,1.58,1.81
CNX Dividend Opportunities,16-11-2012,1622.4,1631.2,1603.2,1606.75,-16.3,-1,61090955,1172.19,11.34,2.16,2.64
CNX Infrastructure,16-11-2012,2518.15,2548.8,2494,2503.8,-19.25,-.76,115360263,1347.71,18.78,2.02,1.16
CNX PSE,16-11-2012,2833.7,2861,2826.45,2835.5,-4.95,-.17,31740372,537.56,9.49,1.86,2.8
CNX Service Sector,16-11-2012,6735.4,6777.5,6665.2,6683.3,-65.9,-.98,79683865,3058.99,15.92,2.71,1.46
S&P CNX Nifty Shariah,16-11-2012,-,-,-,1182.01,-6.18,-.52,30525022,1934.02,17.85,3.37,1.56
S&P CNX 500 Shariah,16-11-2012,-,-,-,1278.51,-7.06,-.55,64203873,2738.78,18.8,3.5,1.51
S&P ESG India,16-11-2012,-,-,-,3594.88,-42.02,-1.16,-,-,-,-,-
