Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,27-09-2013,5905.55,5909.2,5819.3,5833.2,-49.05,-.83,163067913,5303.31,17.11,2.82,1.56
CNX Nifty Junior,27-09-2013,11373.7,11448.55,11331.35,11357.85,20,.18,78048074,2199.64,13.6,2.03,1.53
CNX 100,27-09-2013,5775.85,5781.8,5703.3,5714.5,-39.25,-.68,241115987,7502.95,16.46,2.66,1.55
CNX 200,27-09-2013,2912.8,2916.3,2878.8,2884.2,-18.2,-.63,376395645,8684.72,16.32,2.47,1.57
CNX 500,27-09-2013,4497.65,4502.8,4448.8,4455.95,-26.35,-.59,460650998,9172.43,16.68,2.28,1.61
NIFTY Midcap 50,27-09-2013,1921.55,1933.45,1907.3,1910.55,-4.45,-.23,121168916,1205.28,9.59,1.1,2.01
CNX Midcap,27-09-2013,7068.85,7105.05,7043.15,7052.5,-1.25,-.02,135547710,1805.1,12.98,1.53,1.83
CNX Smallcap,27-09-2013,2780.25,2793.35,2766.55,2769.95,-4.9,-.18,69662068,416.71,23.03,.76,2.32
CNX Nifty Dividend,27-09-2013,-,-,-,73.34,0,-,-,-,-,-,-
CNX Auto,27-09-2013,4773.8,4796.4,4738.9,4748.75,-17.9,-.38,15370929,546.76,23.05,4,1.46
CNX Bank,27-09-2013,10131.65,10131.65,9883.95,9899.75,-198.5,-1.97,34271212,1789.9,11.32,1.7,1.86
CNX Energy,27-09-2013,7678.4,7722.4,7605.5,7630.15,-7.05,-.09,32384069,808.31,10.31,1.59,2.14
CNX Finance,27-09-2013,4340.3,4340.3,4239.85,4251.8,-73.35,-1.7,35420101,1717.54,13.37,2.17,1.68
CNX FMCG,27-09-2013,17898.15,18008.75,17733.8,17872.8,39,.22,14274379,980.25,38.19,13.44,1.37
CNX IT,27-09-2013,8176.4,8249,8147.75,8166.55,8.75,.11,12821340,821.45,21.65,5.77,1.26
CNX Media,27-09-2013,1634.45,1643.4,1617.3,1625.1,-7.55,-.46,6913223,96.6,31.04,4.58,1.04
CNX Metal,27-09-2013,2156.4,2169.85,2113.7,2122.35,-34.05,-1.58,30150879,609.91,13.08,1.09,2.06
CNX MNC,27-09-2013,5793.4,5810.85,5723,5736.5,-38.65,-.67,20040836,508.35,35.35,5.32,1.68
CNX Pharma,27-09-2013,7395.35,7445.2,7356.5,7364.6,1.75,.02,7522806,418.47,45.91,5.81,.68
CNX PSU Bank,27-09-2013,2223.75,2229.8,2168.85,2180.25,-35.2,-1.59,18416731,580.95,5.26,.71,4.19
CNX Realty,27-09-2013,156.35,156.85,153,153.45,-2.05,-1.32,41842504,249.69,24.86,.72,.96
CNX Consumption,27-09-2013,2498.7,2503.8,2479.55,2484.65,-5.3,-.21,43944512,1974.52,27.14,4.03,1.22
CNX Commodities,27-09-2013,2146.8,2156.75,2119.15,2126.9,-12.45,-.58,73156092,1668.91,10.09,1.43,2.3
CNX Dividend Opportunities,27-09-2013,1528.8,1533.25,1516.05,1519.05,-4.7,-.31,60839792,1299.51,8.85,1.65,3.37
CNX Infrastructure,27-09-2013,2235.4,2235.4,2179,2187.05,-36.3,-1.63,116735515,1186.52,14.69,1.66,1.56
CNX PSE,27-09-2013,2537.9,2548.5,2508.9,2519.8,-9.1,-.36,55166237,892.91,7.05,1.55,3.66
CNX Service Sector,27-09-2013,7024.4,7024.4,6906.75,6922.4,-76.35,-1.09,89160805,3479.55,15.25,2.51,1.55
CNX Nifty Shariah,27-09-2013,-,-,-,1370.39,-5.11,-.37,26514033,1411.12,18.86,3.2,1.29
CNX 500 Shariah,27-09-2013,-,-,-,1415.7,-2.97,-.21,66225567,2194.77,19.74,3.39,1.29
S&P ESG India,27-09-2013,-,-,-,3566.01,-31.69,-.88,-,-,-,-,-
CNX Low Volatility,27-09-2013,-,-,-,4613.59,2.95,.06,41393736,2304.07,18.58,3.31,1.65
CNX Alpha Index,27-09-2013,-,-,-,4436.55,20.05,.45,58760068,2357.97,28.01,3.7,.61
CNX High Beta,27-09-2013,-,-,-,1072.95,-16.32,-1.5,223665309,2860.83,15.66,.59,2.35
CNX DEFTY,27-09-2013,-,-,-,3269.98,-5.49,-.17,-,-,-,-,-
CNX 100 Equal Weight,27-09-2013,-,-,-,6535.23,-30.02,-.46,241115987,7502.95,10.97,1.72,1.98
LIX 15,27-09-2013,2300.4,2308.15,2263.55,2271.2,-22.85,-1,89234068,2343.73,11.54,1.22,1.84
