Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,20-05-2013,6198,6229.45,6146.05,6156.9,-30.4,-.49,122252978,5589.97,18.37,3.25,1.35
CNX Nifty Junior,20-05-2013,12760,12798.05,12578.55,12598.3,-139.25,-1.09,99570719,2302.73,19.34,2.36,1.27
CNX 100,20-05-2013,6122.95,6151.6,6066.3,6076.7,-35.65,-.58,221823697,7892.7,18.51,3.07,1.34
CNX 200,20-05-2013,3127.5,3142.5,3099.85,3105.05,-16.95,-.54,420675161,9498.44,18.22,2.85,1.35
CNX 500,20-05-2013,4854.95,4877.65,4815,4821.95,-25.15,-.52,517751037,10155.65,18.18,2.65,1.37
NIFTY Midcap 50,20-05-2013,2177.75,2195.7,2154.55,2160.7,-11.2,-.52,194439033,1843.66,12.8,1.31,1.58
CNX Midcap,20-05-2013,8199.65,8242.65,8118.75,8130.35,-56.3,-.69,215847754,2644.33,17.98,1.81,1.47
CNX Smallcap,20-05-2013,3380.6,3399.75,3353.45,3358.95,-13.95,-.41,106978642,568.27,25.54,1.19,1.47
CNX Nifty Dividend,20-05-2013,-,-,-,4.77,0,-,-,-,-,-,-
CNX Auto,20-05-2013,4769.65,4893.35,4769.65,4802.85,41.85,.88,26508034,805.02,22.77,4.45,1.5
CNX Bank,20-05-2013,13332.7,13414.3,13150.3,13181.5,-135.6,-1.02,15518644,1546.59,15.21,2.7,1.12
CNX Energy,20-05-2013,8240.75,8293.15,8122.65,8140.75,-76.4,-.93,29499451,674.15,11.7,1.83,1.58
CNX Finance,20-05-2013,5444.35,5473.1,5381.55,5395,-45.8,-.84,31487813,2073.74,17.39,3.19,1.13
CNX FMCG,20-05-2013,17240.4,17450.85,17128,17152.85,-84.05,-.49,13323568,720.39,38.31,13.27,1.17
CNX IT,20-05-2013,6323.9,6382.1,6323.9,6358.75,27.7,.44,6497790,517.87,16.65,5.16,1.8
CNX Media,20-05-2013,1791,1817.85,1770.4,1784.85,1.7,.1,11040273,143.63,44.45,5.44,.85
CNX Metal,20-05-2013,2240.2,2261.8,2229.65,2232.65,1.2,.05,24655394,428.95,9.96,1.03,2.44
CNX MNC,20-05-2013,5939.05,5955.75,5904.95,5910.05,-30.7,-.52,19060070,546.63,29.23,5.89,1.41
CNX Pharma,20-05-2013,6905.2,6905.2,6750.35,6759.25,-125.9,-1.83,9392193,671.6,40.94,5.86,.71
CNX PSU Bank,20-05-2013,3482.05,3531.55,3449.55,3458.45,-8.2,-.24,15867255,834.36,7.77,1.31,2.2
CNX Realty,20-05-2013,260.5,263.5,256.15,257.35,-1.7,-.66,73918959,528.63,25.94,1.07,.52
CNX Consumption,20-05-2013,2479.45,2494.35,2459,2462.95,-13.15,-.53,51830572,1890.99,27.02,4.28,1.07
CNX Commodities,20-05-2013,2348.7,2360.55,2327.35,2331.15,-10.2,-.44,66504285,1382.88,13.83,1.55,1.89
CNX Dividend Opportunities,20-05-2013,1754.35,1762.35,1741.6,1743.3,-8.3,-.47,72818006,1615.2,12.28,2.24,2.49
CNX Infrastructure,20-05-2013,2564,2575.75,2525.75,2534.2,-20.65,-.81,138488444,1673.98,16.82,2,1.22
CNX PSE,20-05-2013,2985.15,2985.2,2934.4,2940.95,-30.05,-1.01,32635219,588.24,10.39,1.92,2.71
CNX Service Sector,20-05-2013,7543.75,7582.35,7476.7,7491.1,-43.75,-.58,85413082,3420.84,16.71,3,1.31
CNX Nifty Shariah,20-05-2013,-,-,-,1289.12,-3.94,-.3,31460431,1989.57,17.36,3.57,1.54
CNX 500 Shariah,20-05-2013,-,-,-,1375.66,-6.88,-.5,70285936,3014.27,18.58,3.72,1.47
S&P ESG India,20-05-2013,-,-,-,3837.7,-29.21,-.76,-,-,-,-,-
CNX Low Volatility,20-05-2013,-,-,-,4770.91,-39.82,-.83,47641717,2945.34,20.93,4.07,1.43
CNX Alpha Index,20-05-2013,-,-,-,4827.35,-21.09,-.44,37070319,1820.58,28.26,4.61,.52
CNX High Beta,20-05-2013,-,-,-,1502.26,-7.73,-.51,266741973,3414.61,19.72,.84,1.28
CNX DEFTY,20-05-2013,-,-,-,3876.24,-29.81,-.76,-,-,-,-,-
