Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,05-02-2014,6004.25,6028.05,5962.05,6022.4,21.5,.36,166627311,5572.13,17.41,2.85,1.56
CNX Nifty Junior,05-02-2014,11940.35,12011.45,11915.35,11980.85,65.55,.55,74255043,2075.54,14.84,2.18,1.48
CNX 100,05-02-2014,5901.05,5924.95,5864.25,5919.2,22.85,.39,240882354,7647.67,16.96,2.72,1.54
CNX 200,05-02-2014,2990.8,3003.55,2973.75,3000.6,12.25,.41,389085165,9080.67,16.89,2.52,1.58
CNX 500,05-02-2014,4656.35,4676.25,4632.9,4671.85,19.35,.42,480236553,10210.82,17.73,2.35,1.58
NIFTY Midcap 50,05-02-2014,2107.6,2120.75,2100.95,2116.7,9.75,.46,125611630,1482.49,11.95,1.21,1.81
CNX Midcap,05-02-2014,7489.95,7539.55,7489.45,7526.65,42.7,.57,144328908,2046.83,14.19,1.6,1.83
CNX Smallcap,05-02-2014,3167.75,3192.55,3167.75,3187.35,18.95,.6,92376781,850.52,40,.9,1.88
CNX Nifty Dividend,05-02-2014,-,-,-,88.72,0,-,-,-,-,-,-
CNX Auto,05-02-2014,4938.4,5036.15,4918.25,5021.85,83.25,1.69,30628215,807.48,26.55,4.23,1.29
CNX Bank,05-02-2014,10215.65,10254.05,10112.5,10231.65,40.45,.4,27701842,1356.39,11.78,1.77,1.79
CNX Energy,05-02-2014,7437.15,7485.4,7363.9,7461.3,14.7,.2,28400554,634.97,10.8,1.55,2.18
CNX Finance,05-02-2014,4351.5,4361.7,4307.55,4355,12.65,.29,31340840,1391.61,13.45,2.17,1.7
CNX FMCG,05-02-2014,16770.3,16829.2,16600.5,16679.4,-170.35,-1.01,13040723,592.25,33.38,11.16,1.65
CNX IT,05-02-2014,9677.9,9729.75,9585.25,9718.45,106.8,1.11,12385558,1315.9,22.6,6.67,1.06
CNX Media,05-02-2014,1716.8,1726.85,1696.2,1705.9,-6.15,-.36,4505919,82.44,31.74,3.7,1.02
CNX Metal,05-02-2014,2199.05,2242.3,2192.9,2237.55,40,1.82,27633625,540.99,12.97,1.14,2.17
CNX MNC,05-02-2014,5788.3,5806.65,5750.6,5803.1,20.35,.35,32784280,937.96,33.78,5.37,1.67
CNX Pharma,05-02-2014,7752.6,7767.25,7727.95,7741.05,4,.05,19729892,882.74,50.1,6.13,.67
CNX PSU Bank,05-02-2014,2168.1,2182.3,2139.5,2166.2,1.1,.05,21505060,556,6.22,.73,4.09
CNX Realty,05-02-2014,151.9,155.7,151.9,155,2.65,1.74,50497100,230.32,26.25,.73,1.23
CNX Consumption,05-02-2014,2447.3,2453.05,2429.1,2451.65,2.85,.12,36202459,1405.87,25.16,4.08,1.37
CNX Commodities,05-02-2014,2091.05,2110.6,2078.8,2107.8,16.6,.79,60130814,1414.71,10.62,1.39,2.41
CNX Dividend Opportunities,05-02-2014,1515.65,1525.45,1504.75,1522.85,8.4,.55,74131897,1440.91,10.4,1.86,3.57
CNX Infrastructure,05-02-2014,2252.25,2262.55,2234.8,2259.05,4.35,.19,107905279,1256.26,15.15,1.74,1.61
CNX PSE,05-02-2014,2502.1,2535.45,2486.1,2529.35,27.75,1.11,56371019,813.24,8.15,1.51,3.72
CNX Service Sector,05-02-2014,7378.2,7401,7324.1,7392.4,39.55,.54,79656184,3403.68,15.58,2.66,1.49
CNX Nifty Shariah,05-02-2014,-,-,-,1416.58,4.69,.33,32857784,1753.59,18.21,3.35,1.29
CNX 500 Shariah,05-02-2014,-,-,-,1500.38,7.3,.49,75992379,3010.12,19.35,3.57,1.25
CNX Low Volatility,05-02-2014,-,-,-,4627.44,20.01,.43,52010818,2454.8,18.95,3.07,1.54
CNX Alpha Index,05-02-2014,-,-,-,4951.41,28.35,.58,62509452,2826.68,21.92,3.98,.72
CNX High Beta,05-02-2014,-,-,-,1156,9.13,.8,206325597,2776.22,12.3,.71,2.69
CNX DEFTY,05-02-2014,-,-,-,3341.37,24.1,.73,-,-,-,-,-
CNX 100 Equal Weight,05-02-2014,-,-,-,6882.75,38.22,.56,240882354,7647.67,13.04,1.89,1.89
LIX 15,05-02-2014,2332.55,2360.1,2324.1,2357.35,22.4,.96,75878566,1832.67,12.09,1.29,1.71
