Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,26-02-2014,6202.45,6245.95,6202.1,6238.8,38.75,.62,181663811,6641.33,17.57,2.95,1.5
CNX Nifty Junior,26-02-2014,12062.95,12085.55,12018.8,12035.55,-12.25,-.1,78584504,1912.71,14.72,2.19,1.47
CNX 100,26-02-2014,6075.4,6109.65,6075.4,6103.65,31.35,.52,260248315,8554.04,17.08,2.81,1.5
CNX 200,26-02-2014,3081.7,3097.9,3081.7,3095.45,15.5,.5,458395577,10351.92,16.84,2.6,1.53
CNX 500,26-02-2014,4796.9,4819.4,4796.9,4816.4,22.5,.47,563905542,11547.04,17.71,2.42,1.53
NIFTY Midcap 50,26-02-2014,2147.65,2152.9,2137,2147.05,1.45,.07,187490509,1891.28,12.52,1.22,1.76
CNX Midcap,26-02-2014,7707.15,7723.65,7692.55,7711.55,14.35,.19,201829028,2536.79,13.43,1.63,1.79
CNX Smallcap,26-02-2014,3265,3275.45,3263.65,3269.3,10.75,.33,100371231,887.1,43.45,.92,1.83
CNX Nifty Dividend,26-02-2014,-,-,-,92.16,0,-,-,-,-,-,-
CNX Auto,26-02-2014,5335.7,5405.55,5330.8,5396.35,50.35,.94,36403410,856.47,24.67,4.54,1.2
CNX Bank,26-02-2014,10659.2,10758.65,10659.2,10730.4,63.65,.6,20144486,1373.59,11.94,1.87,1.69
CNX Energy,26-02-2014,7443.2,7469.1,7416.1,7452.3,14.85,.2,46799078,927.32,11.3,1.54,2.18
CNX Finance,26-02-2014,4543.25,4576.9,4543.25,4570.75,31,.68,33097878,1689.63,13.61,2.28,1.62
CNX FMCG,26-02-2014,16714.45,16904.8,16705.8,16867.8,179.2,1.07,14563464,640.45,33.74,11.31,1.63
CNX IT,26-02-2014,10167.1,10212.6,10155.3,10200.85,37.95,.37,35244443,1806.3,23.24,7.02,1
CNX Media,26-02-2014,1697.35,1714.15,1689.2,1699,5.7,.34,11715120,192.82,30.9,3.67,1.03
CNX Metal,26-02-2014,2180.25,2181.25,2132.65,2142.55,-35.8,-1.64,53289389,996.12,11.21,1.1,2.27
CNX MNC,26-02-2014,5854.05,5878.75,5845.75,5862.15,2.3,.04,33382913,754.67,33.41,5.43,1.65
CNX Pharma,26-02-2014,8034.25,8125.85,8031.5,8085.3,83.55,1.04,8616156,617.7,47.69,6.41,.64
CNX PSU Bank,26-02-2014,2124.6,2147.65,2118.45,2134.55,12.25,.58,17341376,733.61,6.86,.77,3.88
CNX Realty,26-02-2014,154.45,155.1,152.9,154,-.6,-.39,53036345,176.52,32.12,.73,1.24
CNX Consumption,26-02-2014,2452.8,2463.6,2451,2459.05,8.1,.33,45988484,1617.19,25.77,4.06,1.35
CNX Commodities,26-02-2014,2114.5,2117.35,2094.85,2103.8,-10.65,-.5,113701158,2109.25,10.59,1.39,2.41
CNX Dividend Opportunities,26-02-2014,1510.1,1519.35,1507.3,1517.6,6.8,.45,84508721,1583.94,10.04,1.85,3.58
CNX Infrastructure,26-02-2014,2284.65,2297.7,2281.4,2293.2,9.65,.42,137901256,1508.94,16,1.77,1.58
CNX PSE,26-02-2014,2501.45,2517.45,2486.6,2511.45,8.9,.36,73610736,999.32,8.23,1.5,3.74
CNX Service Sector,26-02-2014,7593,7634.1,7593,7624.9,37.2,.49,93869636,3807.7,15.74,2.74,1.44
CNX Nifty Shariah,26-02-2014,-,-,-,1434.91,7.25,.51,32785164,2149.43,18.38,3.39,1.28
CNX 500 Shariah,26-02-2014,-,-,-,1527.89,5.75,.38,78054576,3309.98,19.47,3.64,1.22
CNX Low Volatility,26-02-2014,-,-,-,4708.06,15.56,.33,62482784,2868.93,19.49,3.13,1.51
CNX Alpha Index,26-02-2014,-,-,-,5198.35,7.75,.15,56638270,2816.66,22.55,4.18,.68
CNX High Beta,26-02-2014,-,-,-,1163.9,-1.64,-.14,238194763,2961.28,13.09,.71,2.67
CNX DEFTY,26-02-2014,-,-,-,3490.17,23.81,.69,-,-,-,-,-
CNX 100 Equal Weight,26-02-2014,-,-,-,7004.03,12.4,.18,260248315,8554.04,13.34,1.93,1.86
LIX 15,26-02-2014,2413.75,2421.05,2401,2405.35,-9.65,-.4,77600319,2340.5,12.21,1.31,1.67
