Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,12-07-2013,6000.5,6019,5951.15,6009,73.9,1.25,127707078,6591.27,18.31,3.08,1.38
CNX Nifty Junior,12-07-2013,11915.45,11956.9,11853.8,11943.5,69.9,.59,79381746,1988.02,17.48,2.17,1.37
CNX 100,12-07-2013,5895.85,5913.5,5851.2,5905,67,1.15,207088824,8579.29,18.18,2.9,1.37
CNX 200,12-07-2013,2990.55,2998.1,2968.7,2994,30.95,1.04,359832623,9590.92,17.83,2.66,1.41
CNX 500,12-07-2013,4626.05,4636.7,4595.35,4630.95,44.5,.97,416783633,10001.67,18.02,2.48,1.43
NIFTY Midcap 50,12-07-2013,1948.3,1956.1,1927.85,1946.75,5.95,.31,158601771,1632.28,12.81,1.16,1.81
CNX Midcap,12-07-2013,7461.45,7482.5,7412.05,7459.7,21.6,.29,155165261,1942.78,16.6,1.6,1.66
CNX Smallcap,12-07-2013,2971.65,2983.9,2954.15,2961.85,-3.8,-.13,72418685,350.7,30.33,1.04,1.72
CNX Nifty Dividend,12-07-2013,-,-,-,50.71,0,-,-,-,-,-,-
CNX Auto,12-07-2013,4496.35,4504.2,4452.85,4492.95,3.15,.07,26282959,704.96,23.09,4.18,1.55
CNX Bank,12-07-2013,11733.05,11743.25,11589.45,11722.8,67.5,.58,16006244,1214.83,13.86,2.21,1.4
CNX Energy,12-07-2013,7963.05,8017,7897.3,7992.9,72.45,.91,33716470,743.66,11.86,1.8,1.61
CNX Finance,12-07-2013,4873.5,4885.15,4814.95,4870.7,24.75,.51,35377518,1692.18,15.91,2.76,1.31
CNX FMCG,12-07-2013,17964.1,17964.1,17764.75,17874.75,-78.95,-.44,10385152,661.07,38.7,13.83,1.12
CNX IT,12-07-2013,7173.45,7361,7157.25,7249.4,449.9,6.62,18449503,2689.16,19.21,5.03,1.44
CNX Media,12-07-2013,1671.95,1684,1659.95,1677.75,10.5,.63,6915107,67.62,37.53,5.12,.92
CNX Metal,12-07-2013,1952.6,1958.65,1931.25,1948.95,.7,.04,19280346,356.24,9.69,.89,2.64
CNX MNC,12-07-2013,5747.7,5758.15,5705.95,5749.15,-1.6,-.03,15512460,412.02,30.94,5.68,1.3
CNX Pharma,12-07-2013,7204.4,7266.65,7138.1,7251.45,77.15,1.08,5568924,433.02,45.58,6.28,.66
CNX PSU Bank,12-07-2013,2703,2712.6,2656,2679.7,-14,-.52,11021731,489.09,6.35,.92,3.18
CNX Realty,12-07-2013,195.1,196.05,191.2,193.25,-1.05,-.54,51003228,231.26,25.86,.81,.68
CNX Consumption,12-07-2013,2466.9,2469.15,2446.45,2465.95,3.6,.15,40498775,1633.25,27.67,4.28,1.07
CNX Commodities,12-07-2013,2149.05,2151.9,2125,2142.85,1.1,.05,77898377,1381.02,12.38,1.42,2.01
CNX Dividend Opportunities,12-07-2013,1615.05,1615.75,1600.05,1610.5,1.2,.07,54312215,1092.54,10.8,1.9,2.82
CNX Infrastructure,12-07-2013,2330.6,2363.05,2307.95,2359.1,39.2,1.69,99166959,1141.93,15.77,1.9,1.3
CNX PSE,12-07-2013,2656.2,2657.75,2616.95,2638.85,-3.35,-.13,33540768,548.83,9.04,1.72,3.02
CNX Service Sector,12-07-2013,7207.2,7245.5,7158,7232.5,154.2,2.18,93510028,5042.92,16.41,2.74,1.37
CNX Nifty Shariah,12-07-2013,-,-,-,1331.73,15.04,1.14,26468787,1595.89,17.5,2.91,1.27
CNX 500 Shariah,12-07-2013,-,-,-,1400.75,12.57,.91,62029397,2690.92,19.58,3.09,1.26
S&P ESG India,12-07-2013,-,-,-,3612.86,36.99,1.03,-,-,-,-,-
CNX Low Volatility,12-07-2013,-,-,-,4737.58,9.54,.2,45011809,2745.51,18.8,3.62,1.44
CNX Alpha Index,12-07-2013,-,-,-,4512.33,16.66,.37,42704696,1872.96,32.29,3.91,.56
CNX High Beta,12-07-2013,-,-,-,1210.7,-8.47,-.69,212429310,2402.69,17.14,.67,2.01
CNX DEFTY,12-07-2013,-,-,-,3476.22,28.13,.82,-,-,-,-,-
CNX 100 Equal Weight,12-07-2013,-,-,-,6830.38,37.32,.55,207088824,8579.29,15.35,1.93,1.64
LIX 15,12-07-2013,2405.35,2411.6,2384.3,2403.4,5.2,.22,72225585,1907.82,13.41,1.44,1.45
