Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,19-07-2013,6057.2,6066.85,6020.25,6029.2,-8.85,-.15,163311714,7987.75,18.3,3.09,1.37
CNX Nifty Junior,19-07-2013,12037.45,12045.65,11886.1,11909.9,-83.85,-.7,95181677,2085.12,17.46,2.16,1.37
CNX 100,19-07-2013,5952.2,5955.2,5911.35,5919.4,-13.55,-.23,258493391,10072.88,18.17,2.9,1.37
CNX 200,19-07-2013,3015.95,3017.6,2993,2997.05,-9.35,-.31,436552528,11403.5,17.8,2.67,1.4
CNX 500,19-07-2013,4661.8,4662.2,4627.15,4632.75,-14.8,-.32,498270797,11839.98,18.01,2.48,1.43
NIFTY Midcap 50,19-07-2013,1947.1,1949.5,1922.35,1928.15,-10,-.52,164461258,1631.38,12.71,1.15,1.83
CNX Midcap,19-07-2013,7487.35,7487.35,7394.5,7408.1,-60.2,-.81,193484528,2158.55,16.55,1.59,1.67
CNX Smallcap,19-07-2013,2936.45,2944.8,2906.1,2908.45,-17.15,-.59,59352225,318.28,34.51,1.02,1.74
CNX Nifty Dividend,19-07-2013,-,-,-,55.7,0,-,-,-,-,-,-
CNX Auto,19-07-2013,4466.4,4575.6,4466.4,4536.5,74.2,1.66,27210931,983.16,23.3,4.22,1.54
CNX Bank,19-07-2013,11223.8,11237.9,10934.25,10973.9,-213.8,-1.91,28778059,2061.87,12.81,2.07,1.49
CNX Energy,19-07-2013,8261.6,8291.8,8212.65,8276.45,38.25,.46,32300053,745.93,12.28,1.86,1.55
CNX Finance,19-07-2013,4689.15,4699.5,4557.95,4583.05,-93.15,-1.99,45427092,2611.79,14.83,2.6,1.39
CNX FMCG,19-07-2013,19179.85,19306.05,19035.25,19100.85,-32.7,-.17,19280481,1161.09,41.36,14.78,1.05
CNX IT,19-07-2013,7400.35,7545.1,7400.35,7503.7,197.35,2.7,23178626,1957.69,19.72,5.21,1.39
CNX Media,19-07-2013,1701.3,1710.7,1673.05,1678.15,-18.7,-1.1,9702712,110.31,37.54,5.12,.92
CNX Metal,19-07-2013,1896.3,1916.35,1878.75,1891.25,-4.75,-.25,21384592,380.22,9.41,.86,2.72
CNX MNC,19-07-2013,6137.5,6152.15,6033.6,6063.85,-48.25,-.79,21508656,835.33,32.63,5.99,1.23
CNX Pharma,19-07-2013,7297.85,7302.85,7230.2,7241.3,-60.3,-.83,5443435,433.8,45.51,6.27,.66
CNX PSU Bank,19-07-2013,2600.85,2600.85,2543.8,2562,-29.7,-1.15,15636608,516.01,6.08,.88,3.33
CNX Realty,19-07-2013,190.75,190.85,185.8,186.5,-3.65,-1.92,55059127,278.48,25.25,.79,.71
CNX Consumption,19-07-2013,2576.75,2594.35,2564.6,2574.3,2.1,.08,61094682,2644.39,28.89,4.47,1.03
CNX Commodities,19-07-2013,2165.05,2166.25,2147.25,2159.2,-1.65,-.08,73013121,1459.83,12.47,1.43,2
CNX Dividend Opportunities,19-07-2013,1645.25,1646,1632.65,1636.6,-3.8,-.23,102980460,2335.48,10.98,1.93,2.77
CNX Infrastructure,19-07-2013,2384.05,2384.05,2339.8,2355.4,-25.4,-1.07,111495766,1461.95,15.75,1.89,1.31
CNX PSE,19-07-2013,2670.65,2670.8,2645.7,2656.55,-6,-.23,39188916,698.59,9.1,1.73,3
CNX Service Sector,19-07-2013,7146.15,7155.1,7058.55,7078.15,-30.3,-.43,111272873,5420.69,15.95,2.68,1.4
CNX Nifty Shariah,19-07-2013,-,-,-,1393.5,14.96,1.09,51887014,3269.82,18.31,3.04,1.21
CNX 500 Shariah,19-07-2013,-,-,-,1448.8,7.17,.5,102420425,4357.83,20.23,3.2,1.22
S&P ESG India,19-07-2013,-,-,-,3590.04,-6.66,-.19,-,-,-,-,-
CNX Low Volatility,19-07-2013,-,-,-,4784.56,-9.65,-.2,58932167,4298.76,19,3.66,1.42
CNX Alpha Index,19-07-2013,-,-,-,4494.81,-27.75,-.61,58893298,2329.28,31.8,3.91,.56
CNX High Beta,19-07-2013,-,-,-,1170.94,-16.98,-1.43,254060955,3488.88,16.58,.65,2.08
CNX DEFTY,19-07-2013,-,-,-,3493.8,-9.98,-.28,-,-,-,-,-
CNX 100 Equal Weight,19-07-2013,-,-,-,6794.2,-31.76,-.47,258493391,10072.88,15.28,1.92,1.65
LIX 15,19-07-2013,2364.05,2369.4,2328.4,2337.25,-19.15,-.81,78589637,2140,13.04,1.4,1.49
