Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,30-07-2013,5836.05,5861.3,5747.6,5755.05,-76.6,-1.31,181489174,6006.91,17.11,2.85,1.46
CNX Nifty Junior,30-07-2013,11386.5,11409.65,11128.5,11150,-236,-2.07,89069197,1945.17,16.76,2.08,1.43
CNX 100,30-07-2013,5719.1,5739.8,5627.3,5633.75,-81.65,-1.43,270558371,7952.07,17.05,2.7,1.46
CNX 200,30-07-2013,2887.85,2896.8,2838.35,2841.7,-44.1,-1.53,454210385,9112.69,16.66,2.48,1.5
CNX 500,30-07-2013,4462.5,4471.95,4386.65,4390.35,-69.55,-1.56,536961572,9785.7,16.87,2.31,1.53
NIFTY Midcap 50,30-07-2013,1864.7,1867.1,1805.5,1807.75,-54.8,-2.94,180228227,1705.73,12.85,1.16,1.83
CNX Midcap,30-07-2013,7034,7034.95,6855.3,6858.15,-170.9,-2.43,202149166,2085.51,15.78,1.52,1.76
CNX Smallcap,30-07-2013,2740.35,2745.35,2672.25,2676.8,-63.05,-2.3,80001645,459.79,30.82,.94,1.89
CNX Nifty Dividend,30-07-2013,-,-,-,59.23,0,-,-,-,-,-,-
CNX Auto,30-07-2013,4538.3,4544.5,4427.8,4441.4,-94,-2.07,16939049,539.12,22.82,4.13,1.57
CNX Bank,30-07-2013,10339.1,10449.7,10195.5,10209.55,-121.45,-1.18,35138744,2193.81,11.8,1.87,1.71
CNX Energy,30-07-2013,7950.15,7965.2,7627.85,7641.45,-293.2,-3.7,28387868,648.57,10.89,1.64,1.7
CNX Finance,30-07-2013,4383.2,4434.35,4343.5,4354.55,-25.55,-.58,46653684,2345.72,13.93,2.4,1.54
CNX FMCG,30-07-2013,18173.7,18247.45,17846.75,17898,-360.85,-1.98,16961590,702.67,38.44,13.31,1.12
CNX IT,30-07-2013,7694.55,7762.2,7689.75,7718.85,45.55,.59,9837874,847.56,20.57,5.49,1.31
CNX Media,30-07-2013,1663.05,1671.4,1598.55,1616.8,-44.95,-2.7,30774606,185.16,35.81,4.93,.95
CNX Metal,30-07-2013,1731.5,1737.95,1690.35,1704.7,-32.05,-1.85,32243270,452.55,8.48,.78,3.02
CNX MNC,30-07-2013,5615.8,5625.05,5522.15,5547.45,-94.85,-1.68,13420185,339.45,30.27,4.87,1.37
CNX Pharma,30-07-2013,7157.1,7186.95,7024.3,7056.1,-76.65,-1.07,6093787,505.22,45.01,6.11,.68
CNX PSU Bank,30-07-2013,2397.1,2428.3,2341.5,2346.4,-46.2,-1.93,23826825,872.53,5.58,.81,3.63
CNX Realty,30-07-2013,177.4,178.25,170.8,171.85,-6.15,-3.46,59210880,293.57,23.99,.72,.77
CNX Consumption,30-07-2013,2511.75,2513.05,2456.3,2461.45,-49.55,-1.97,37032008,1466.3,27.25,4.27,1.08
CNX Commodities,30-07-2013,2033.8,2034,1973.35,1977.75,-56.2,-2.76,78234141,1372.88,11.17,1.3,2.18
CNX Dividend Opportunities,30-07-2013,1559.8,1559.8,1516.05,1517.55,-42.35,-2.71,74277649,1333.09,10.04,1.74,3.04
CNX Infrastructure,30-07-2013,2210.7,2212.6,2158,2160.1,-48.05,-2.18,137725620,1234.03,14.5,1.74,1.42
CNX PSE,30-07-2013,2518.25,2518.9,2412.1,2417.55,-99.1,-3.94,32288005,552.79,8.28,1.58,3.29
CNX Service Sector,30-07-2013,6946.3,7004.9,6877.95,6890.5,-48.5,-.7,89952675,3899.82,15.51,2.59,1.47
CNX Nifty Shariah,30-07-2013,-,-,-,1327.77,-23.86,-1.77,24687551,1582.08,16.78,2.75,1.3
CNX 500 Shariah,30-07-2013,-,-,-,1381.6,-25.44,-1.81,68451097,2565.49,18.1,2.85,1.3
S&P ESG India,30-07-2013,-,-,-,3369.79,-72.33,-2.1,-,-,-,-,-
CNX Low Volatility,30-07-2013,-,-,-,4587.67,-68.19,-1.46,40626601,2519.54,18.21,3.51,1.48
CNX Alpha Index,30-07-2013,-,-,-,4211.21,-69.22,-1.62,51464559,1926.76,28.97,3.71,.6
CNX High Beta,30-07-2013,-,-,-,1028.05,-41.99,-3.92,295322556,3211.66,14.38,.57,2.37
CNX DEFTY,30-07-2013,-,-,-,3333.11,-74.59,-2.19,-,-,-,-,-
CNX 100 Equal Weight,30-07-2013,-,-,-,6333.05,-137.01,-2.12,270558371,7952.07,14.27,1.79,1.77
LIX 15,30-07-2013,2182.3,2205.1,2138.8,2143.65,-37.15,-1.7,113453526,2370.73,11.42,1.28,1.62
