Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,16-08-2012,5385.95,5390.65,5356.65,5362.95,-17.4,-.32,133996943,5285.5,17.97,2.99,1.51
CNX Nifty Junior,16-08-2012,10237.2,10282.55,10192.25,10207.1,-27.7,-.27,58504027,1476.24,15.24,2.17,1.46
CNX 100,16-08-2012,5258.6,5263.75,5230.9,5237.2,-16.55,-.32,192500970,6761.73,17.5,2.83,1.5
CNX 200,16-08-2012,2705.25,2708.05,2691.6,2694.6,-8.45,-.31,336315156,8164.97,17.36,2.62,1.52
S&P CNX 500,16-08-2012,4237.7,4242.35,4218.45,4222.65,-11.85,-.28,463293871,9349.08,17.68,2.46,1.54
NIFTY Midcap 50,16-08-2012,2119.75,2125.45,2111.55,2113.7,-5.15,-.24,87533211,874.81,13.65,1.31,2.08
CNX Midcap,16-08-2012,7304.35,7325.55,7280.7,7286.25,-17.2,-.24,149187104,1547.93,15.37,1.66,1.88
CNX Smallcap,16-08-2012,3296.6,3320.7,3295.65,3309.5,16.8,.51,85220834,871.07,21.67,1.36,1.6
S&P CNX Nifty Dividend,16-08-2012,-,-,-,62.26,0,-,-,-,-,-,-
CNX Auto,16-08-2012,3963.7,4006.25,3958.15,3988.45,33.5,.85,26730623,711.98,19.89,3.94,2.13
CNX Bank,16-08-2012,10537.95,10551.05,10405.7,10426.75,-92.4,-.88,14740860,1337,13.3,2.27,1.31
CNX Energy,16-08-2012,7906.6,7972.4,7879.15,7947.35,54.7,.69,21951522,746.67,15.69,1.88,1.55
CNX Finance,16-08-2012,4370.15,4381.7,4336.55,4343.4,-14.5,-.33,38396502,2025.97,15.91,2.78,1.33
CNX FMCG,16-08-2012,13384.6,13422.55,13112.55,13136,-270.15,-2.02,19915953,900.12,32.25,11.98,1.45
CNX IT,16-08-2012,5935.1,5935.1,5887.8,5915.9,-20.45,-.34,11805822,483.8,16.77,4.79,1.89
CNX Media,16-08-2012,1373.45,1388.4,1372.1,1377.5,4.5,.33,18764895,110.13,41.71,3.94,1.05
CNX Metal,16-08-2012,2812.6,2821,2778.85,2786.05,-36.4,-1.29,26974683,634.16,13.28,1.33,1.55
CNX MNC,16-08-2012,5510.7,5521.75,5472.7,5480.35,-30.55,-.55,17678191,520.14,39.18,4.19,1.17
CNX Pharma,16-08-2012,5503.5,5537.2,5486.65,5500.7,4.65,.08,7355942,398.41,52.6,5.02,.84
CNX PSU Bank,16-08-2012,2861.55,2877.55,2842.55,2847.55,-5.7,-.2,9963764,685.13,6.36,1.18,2.52
CNX Realty,16-08-2012,221.6,222.8,220.3,220.8,-.5,-.23,29784013,232.83,21.2,.91,.67
CNX Consumption,16-08-2012,1964.2,1972.6,1955.6,1957.25,-5.35,-.27,52052669,1673.22,22.47,3.39,1.54
CNX Commodities,16-08-2012,2442.9,2446.1,2425.85,2429.05,-14.4,-.59,62786643,1562.77,16.55,1.71,1.63
CNX Dividend Opportunities,16-08-2012,1544.95,1548.5,1533.5,1535.4,-8.3,-.54,52473151,1224.78,11.48,2.47,2.68
CNX Infrastructure,16-08-2012,2391.15,2401.25,2387.25,2393.15,4.2,.18,70968434,899.88,17.99,2.01,1.22
CNX PSE,16-08-2012,2955.7,2957.65,2927.25,2932.55,-24.55,-.83,23257084,450.54,12.97,2.16,2.46
CNX Service Sector,16-08-2012,6325.3,6331.55,6283.7,6291.95,-23.25,-.37,67927911,2800.23,15.67,2.71,1.49
S&P CNX Nifty Shariah,16-08-2012,-,-,-,1178.45,1.47,.12,33892562,1769.14,17.84,3.42,1.61
S&P CNX 500 Shariah,16-08-2012,-,-,-,1257.65,.27,.02,73851155,2751.52,18.9,3.58,1.52
S&P ESG India,16-08-2012,-,-,-,3462.71,-10.32,-.3,-,-,-,-,-
