Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,23-08-2012,5426.15,5448.6,5393.85,5415.35,2.5,.05,127995889,5462.34,18.17,2.95,1.53
CNX Nifty Junior,23-08-2012,10163.65,10218.75,10102.65,10131.7,-35.45,-.35,66755220,1441.67,17.92,2.14,1.47
CNX 100,23-08-2012,5286.35,5307.6,5255.15,5274.9,-.65,-.01,194751109,6904.01,18.13,2.79,1.52
CNX 200,23-08-2012,2717.25,2728.3,2701.25,2711.25,-1.05,-.04,353534814,8275.56,17.96,2.59,1.54
S&P CNX 500,23-08-2012,4256.8,4274.05,4233.4,4248.05,-1.6,-.04,485159043,9272.03,18.28,2.44,1.55
NIFTY Midcap 50,23-08-2012,2080.5,2094.6,2069.6,2077,-4.6,-.22,107082604,1103.27,13.52,1.29,2.12
CNX Midcap,23-08-2012,7256.4,7301.85,7228.6,7249.05,-8.85,-.12,165796659,1616.5,18.77,1.65,1.89
CNX Smallcap,23-08-2012,3323.5,3349.3,3304.7,3316.7,-6.1,-.18,78542538,728.87,22.36,1.36,1.6
S&P CNX Nifty Dividend,23-08-2012,-,-,-,62.58,0,-,-,-,-,-,-
CNX Auto,23-08-2012,4079.6,4088.4,4030.2,4042.25,-35.45,-.87,22316128,527.13,20.47,3.97,2.11
CNX Bank,23-08-2012,10508.75,10560.85,10413.3,10457.7,-14.5,-.14,15610245,1359.53,13.33,2.11,1.43
CNX Energy,23-08-2012,7911.55,7926.8,7784.9,7824.55,-77.85,-.99,20907168,614.45,15.45,1.85,1.57
CNX Finance,23-08-2012,4400.1,4419.1,4352.4,4367.75,-16.05,-.37,30060054,1931.89,15.98,2.6,1.41
CNX FMCG,23-08-2012,13370.15,13488.3,13370.15,13466.8,108.95,.82,16734969,798.93,33.06,12.28,1.41
CNX IT,23-08-2012,6101.65,6213.55,6100.1,6207.6,108.5,1.78,15174157,886.01,17.62,5.05,1.8
CNX Media,23-08-2012,1362.55,1369.95,1349.35,1351.85,-9.55,-.7,12930389,81.25,39.34,3.87,1.07
CNX Metal,23-08-2012,2768.35,2799.6,2751.55,2771.85,15.2,.55,26728414,664.74,13.3,1.31,1.66
CNX MNC,23-08-2012,5574.8,5612.65,5566.85,5596.35,35.3,.63,18267064,602.51,40.28,4.21,1.22
CNX Pharma,23-08-2012,5576.5,5640.05,5576.5,5603.3,51.8,.93,8484436,476.74,53.58,5.11,.82
CNX PSU Bank,23-08-2012,2845.5,2869.55,2829.6,2843.25,1.95,.07,8648875,580.8,6.35,1.08,2.7
CNX Realty,23-08-2012,217.65,218.5,215.3,216.85,-.5,-.23,28586688,236.5,20.83,.89,.68
CNX Consumption,23-08-2012,1967,1975.55,1962.1,1967.05,-.15,-.01,55842711,1478.23,22.4,3.4,1.53
CNX Commodities,23-08-2012,2421.2,2431.2,2400.35,2413.45,-2.85,-.12,61991235,1464.58,19.33,1.7,1.68
CNX Dividend Opportunities,23-08-2012,1542.5,1549.05,1535,1539.8,-1.8,-.12,36324859,868.79,12.86,2.46,2.67
CNX Infrastructure,23-08-2012,2357.25,2363.9,2336.15,2339.45,-16.75,-.71,92078563,1066.66,17.65,1.97,1.25
CNX PSE,23-08-2012,2946.4,2956.65,2919.95,2931.45,-15.4,-.52,20680429,424.39,15.99,2.16,2.47
CNX Service Sector,23-08-2012,6373.95,6418.45,6353.65,6378.2,17.1,.27,72029578,3240.69,15.87,2.64,1.52
S&P CNX Nifty Shariah,23-08-2012,-,-,-,1198.55,4.61,.39,36544266,2148,18.15,3.47,1.59
S&P CNX 500 Shariah,23-08-2012,-,-,-,1275.13,4.27,.34,94130491,3155.19,19.14,3.64,1.49
S&P ESG India,23-08-2012,-,-,-,3466.16,-4.61,-.13,-,-,-,-,-
