Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,08-05-2012,5114.7,5119.95,4983.6,4999.95,-114.2,-2.23,164262546,6233.26,17.15,2.93,1.6
CNX Nifty Junior,08-05-2012,10063.8,10134.05,9837.95,9883.4,-177.85,-1.77,72924162,1413.42,16.9,2.16,1.47
CNX 100,08-05-2012,5020.05,5028.6,4894.7,4910.95,-108.45,-2.16,237186708,7646.68,17.11,2.78,1.58
CNX 200,08-05-2012,2592.5,2598.45,2529.05,2537.45,-54.75,-2.11,488560062,9287.66,16.89,2.57,1.6
S&P CNX 500,08-05-2012,4075.4,4085.55,3979.85,3992.55,-82.4,-2.02,577271083,10092.13,17.12,2.42,1.61
NIFTY Midcap 50,08-05-2012,2148.4,2166.2,2093.2,2104.1,-43.8,-2.04,166958277,1192.58,12.52,1.34,2.07
CNX Midcap,08-05-2012,7240.35,7301.65,7105.75,7132.9,-107.2,-1.48,253640586,1892.56,15.55,1.67,1.89
CNX Smallcap,08-05-2012,3365.35,3382.6,3298.15,3308.6,-51.6,-1.54,78487217,792.06,16.03,1.37,1.75
S&P CNX Nifty Dividend,08-05-2012,-,-,-,.16,0,-,-,-,-,-,-
CNX Auto,08-05-2012,4241.2,4268.9,4130.9,4142.25,-86.65,-2.05,32133220,869.17,20.81,4.12,1.96
CNX Bank,08-05-2012,9909.4,9924.15,9526.65,9588.75,-287.6,-2.91,19242393,1659.27,13.91,2.26,1.34
CNX Energy,08-05-2012,7254.75,7268.15,7138.55,7153.1,-72.1,-1,23468029,665.19,13.7,1.79,1.7
CNX Finance,08-05-2012,4033,4039.8,3893.4,3915.85,-100.6,-2.5,38558814,2045.96,16.29,2.67,1.34
CNX FMCG,08-05-2012,11897.95,12074.35,11499.7,11580.5,-298.9,-2.52,16555714,522.23,31.17,10.65,1.65
CNX IT,08-05-2012,5965.95,5965.95,5855.05,5901.45,-187.75,-3.08,16983723,1206.14,18.08,5.39,1.94
CNX Media,08-05-2012,1200.8,1211,1182,1184.1,-16.8,-1.4,6241684,56.4,40.66,3.44,1.42
CNX Metal,08-05-2012,2880.2,2894.05,2807.9,2825.2,-46.6,-1.62,36423175,800.84,11.15,1.35,1.53
CNX MNC,08-05-2012,5176,5202,5094.4,5109.15,-54.05,-1.05,14079238,452.22,33.5,3.91,1.18
CNX Pharma,08-05-2012,5172.55,5201.8,5096.7,5112,-49.25,-.95,5168369,230.26,49.67,4.48,1.2
CNX PSU Bank,08-05-2012,3149.65,3173.8,3008.6,3043.25,-93.7,-2.99,13492984,875.12,8.17,1.43,2.35
CNX Realty,08-05-2012,218.05,221.85,212.2,213.95,-3.6,-1.65,53571288,374.76,18.38,.89,.66
CNX Consumption,08-05-2012,1905.65,1915.25,1866.35,1870.7,-29.05,-1.53,51664658,1395.3,21.89,3.35,1.58
CNX Commodities,08-05-2012,2334.6,2343.5,2283.85,2296.1,-32.1,-1.38,79653799,1658,14.63,1.66,1.72
CNX Dividend Opportunities,08-05-2012,1481.8,1491.75,1450.2,1455.7,-22.3,-1.51,75506899,1530.5,12.26,2.58,2.75
CNX Infrastructure,08-05-2012,2324.3,2329.1,2243.9,2252.6,-66.35,-2.86,143999582,1114.58,16.99,1.89,1.29
CNX PSE,08-05-2012,2751.2,2769.4,2717.9,2726.75,-16.5,-.6,35978625,689.15,14.45,2,2.65
CNX Service Sector,08-05-2012,6103.4,6103.4,5942.5,5967.55,-153.45,-2.51,72948353,3557.61,16.27,2.75,1.51
S&P CNX Nifty Shariah,08-05-2012,-,-,-,1112.16,-19.39,-1.71,50542419,2587.11,16.59,3.24,1.78
S&P CNX 500 Shariah,08-05-2012,-,-,-,1186.71,-17.59,-1.46,87125030,3383.08,17.49,3.46,1.65
S&P ESG India,08-05-2012,-,-,-,3350.11,-80.14,-2.34,-,-,-,-,-
