Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,20-03-2015,8627.90,8627.90,8553.00,8570.90,-63.75,-0.74,179982752.00,8484.23,22.98,3.65,1.28
CNX Nifty Junior,20-03-2015,19896.35,19896.35,19532.75,19576.85,-304.05,-1.53,89072087.00,4139.62,20.96,2.96,0.97
CNX 100,20-03-2015,8666.65,8666.65,8579.40,8596.30,-75.00,-0.86,269054839.00,12623.85,22.63,3.52,1.23
CNX 200,20-03-2015,4483.95,4483.95,4436.55,4444.85,-40.00,-0.89,667788752.00,16581.57,23.10,3.38,1.28
CNX 500,20-03-2015,7096.20,7096.20,7016.05,7028.20,-68.55,-0.97,844259401.00,18682.62,24.29,3.22,1.26
NIFTY Midcap 50,20-03-2015,3431.80,3436.20,3361.40,3370.25,-59.40,-1.73,213332082.00,2484.34,15.53,1.81,1.21
CNX Midcap,20-03-2015,13234.20,13234.20,12998.40,13012.90,-194.40,-1.47,306364668.00,4685.66,21.25,2.51,1.50
CNX Smallcap,20-03-2015,5690.00,5690.70,5522.15,5531.95,-152.35,-2.68,229004926.00,1950.77,104.93,1.47,1.50
CNX Nifty Dividend,20-03-2015,-,-,-,119.25,0.00,-,-,-,-,-,-
CNX Auto,20-03-2015,8698.15,8698.30,8572.70,8585.95,-133.60,-1.53,28094300.00,1949.10,53.26,6.49,0.82
CNX Bank,20-03-2015,18778.80,18782.95,18541.50,18606.35,-204.80,-1.09,62962667.00,2394.26,19.43,2.92,0.96
CNX Energy,20-03-2015,8390.10,8404.95,8314.85,8355.25,-81.55,-0.97,35330827.00,818.50,12.19,1.57,2.08
CNX Finance,20-03-2015,7746.10,7763.00,7686.10,7707.10,-53.70,-0.69,74220071.00,3201.33,21.57,3.42,1.00
CNX FMCG,20-03-2015,20453.75,20453.75,19966.60,19999.80,-430.85,-2.11,20399292.00,885.06,34.75,12.80,1.45
CNX IT,20-03-2015,12306.60,12392.85,12274.35,12363.50,88.30,0.72,22332970.00,1817.41,22.33,7.00,1.16
CNX Media,20-03-2015,2262.35,2262.35,2200.95,2215.30,-46.40,-2.05,6265614.00,140.18,52.97,5.25,0.83
CNX Metal,20-03-2015,2390.60,2403.35,2357.80,2366.00,-22.35,-0.94,37253876.00,755.67,13.73,1.19,4.14
CNX MNC,20-03-2015,10046.90,10046.90,9885.65,9906.85,-128.70,-1.28,11630562.00,1446.63,41.63,6.99,0.97
CNX Pharma,20-03-2015,12845.95,13007.90,12555.30,12622.25,-177.55,-1.39,11563115.00,1507.24,51.99,8.70,0.52
CNX PSU Bank,20-03-2015,3630.50,3638.45,3575.30,3589.60,-43.10,-1.19,41795487.00,797.14,11.64,1.12,1.62
CNX Realty,20-03-2015,226.45,227.25,217.05,218.05,-8.80,-3.88,116370256.00,544.53,29.53,1.06,0.93
CNX Consumption,20-03-2015,3455.15,3455.15,3380.75,3388.40,-66.75,-1.93,51837220.00,2442.85,28.52,5.01,1.02
CNX Commodities,20-03-2015,2659.50,2659.50,2627.05,2635.00,-32.25,-1.21,82146720.00,2197.92,14.43,1.60,2.51
CNX Dividend Opportunities,20-03-2015,2054.30,2054.30,2029.70,2033.00,-30.05,-1.46,116854503.00,2373.49,13.57,2.11,3.06
CNX Infrastructure,20-03-2015,3221.50,3242.05,3190.25,3203.70,-38.15,-1.18,151447313.00,1904.75,20.42,2.24,1.10
CNX PSE,20-03-2015,3484.50,3484.50,3440.65,3460.85,-48.65,-1.39,51646782.00,1124.30,12.31,1.98,3.49
CNX Service Sector,20-03-2015,11195.35,11226.65,11141.05,11177.80,-36.40,-0.32,133703078.00,5310.04,20.64,3.59,1.09
CNX Nifty Shariah,20-03-2015,-,-,-,1853.42,-17.73,-0.95,34018745.00,2680.20,19.68,3.13,1.01
CNX 500 Shariah,20-03-2015,-,-,-,2158.71,-24.75,-1.13,144973968.00,5757.95,23.56,3.83,0.91
CNX Low Volatility,20-03-2015,-,-,-,7350.26,-62.91,-0.85,83003698.00,6636.61,25.64,4.69,1.26
CNX Alpha Index,20-03-2015,-,-,-,8992.27,-150.29,-1.64,76579621.00,2747.32,28.89,4.94,1.75
CNX High Beta,20-03-2015,-,-,-,1767.85,-41.62,-2.30,333829599.00,5072.09,14.24,0.92,1.46
CNX DEFTY,20-03-2015,-,-,-,4752.29,-40.83,-0.85,-,-,-,-,-
CNX 100 Equal Weight,20-03-2015,-,-,-,10628.64,-141.95,-1.32,269054839.00,12623.85,19.30,2.46,1.34
LIX 15,20-03-2015,3823.85,3823.85,3772.60,3783.35,-48.10,-1.26,78330897.00,2735.63,20.04,1.97,1.04
CPSE,20-03-2015,2393.70,2394.75,2355.85,2373.55,-17.35,-0.73,13574624.00,547.15,12.99,2.40,4.01
NV 20,20-03-2015,-,-,-,3781.44,-48.85,-1.28,94670471.00,3833.84,15.97,2.54,1.60
LIX15 Midcap,20-03-2015,-,-,-,3042.26,-55.17,-1.78,121100205.00,1349.96,11.42,1.63,1.46
CNX Shariah25,20-03-2015,-,-,-,3244.32,-35.49,-1.08,31601383.00,3091.94,25.64,5.29,0.97
India VIX,20-03-2015,15.20,15.36,13.08,14.26,-0.94,-6.17,-,-,-,-,-
NI15,20-03-2015,5187.85,5191.40,5115.60,5124.20,-55.55,-1.07,27204705.00,2912.33,30.24,9.36,1.12
NIFTY TR 1X Inverse,20-03-2015,409.20,412.70,409.20,411.90,2.85,0.70,-,-,-,-,-
NIFTY TR 2X Leverage,20-03-2015,4480.60,4480.60,4403.10,4421.40,-61.20,-1.37,-,-,-,-,-
NIFTY PR 1X Inverse,20-03-2015,438.60,442.40,438.60,441.50,3.35,0.76,-,-,-,-,-
NIFTY PR 2x Leverage,20-03-2015,3902.05,3902.05,3834.50,3850.45,-58.50,-1.50,-,-,-,-,-
NSE Quality 30,20-03-2015,-,-,-,2207.71,-15.91,-0.72,48520623.00,3944.50,33.92,8.19,1.32
GSEC10 NSE Index,20-03-2015,-,-,-,1387.54,1.07,0.08,-,-,-,-,-
GSECBM NSE Index,20-03-2015,-,-,-,1329.78,1.12,0.08,-,-,-,-,-
NSE GSECBM Clean Price Index,20-03-2015,-,-,-,945.27,0.59,0.06,-,-,-,-,-
