Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,02-11-2015,8054.55,8060.7,7995.6,8050.8,-15,-.19,140323983,6552.67,21.98,3.22,1.42
CNX Nifty Junior,02-11-2015,19782.25,19785.2,19610.95,19768,34.4,.17,80129113,2141.19,21.12,2.8,1.64
CNX 100,02-11-2015,8169.55,8174.65,8109.2,8165.45,-10.4,-.13,220453096,8693.86,21.83,3.15,1.45
CNX 200,02-11-2015,4231.05,4232.4,4198.2,4227.85,-6.05,-.14,511475654,11393.44,22.74,3,1.42
CNX 500,02-11-2015,6747.4,6747.65,6695.4,6740.9,-10.05,-.15,650924369,13016.63,23.53,2.87,1.39
NIFTY Midcap 50,02-11-2015,3309.75,3312.7,3272.1,3300.8,-6.5,-.2,208119213,2173.04,18.71,1.29,2.36
CNX Midcap,02-11-2015,13254.4,13256.65,13105.8,13206.55,-31.95,-.24,238575420,3292.44,25.48,2.24,1.48
CNX Smallcap,02-11-2015,5368.35,5369.25,5305.05,5352.4,-10.05,-.19,198852582,1309.99,22,1.03,1.44
CNX Nifty Dividend,02-11-2015,-,-,-,92.97,0,-,-,-,-,-,-
CNX Auto,02-11-2015,8132.6,8164.5,8066.8,8097.1,5.15,.06,39793227,1562.1,46.86,6.16,.81
CNX Bank,02-11-2015,17351.45,17372.25,17208.95,17340.6,-13.9,-.08,48711521,1592.49,17.96,2.43,1.13
CNX Energy,02-11-2015,8107.9,8165.45,8040,8153.65,54.3,.67,20078232,593.3,12.1,1.46,1.86
CNX Finance,02-11-2015,7195.7,7214.9,7094.85,7145.7,-55.95,-.78,42710621,1894.8,19.26,2.98,1.17
CNX FMCG,02-11-2015,20085.25,20238.75,19946.3,20214.5,96.2,.48,11643910,576.17,38.89,11.63,1.43
CNX IT,02-11-2015,11497.95,11560.6,11428.1,11546.25,59.35,.52,8710084,815.06,20.19,6.24,2.29
CNX Media,02-11-2015,2420.5,2420.5,2385.45,2414.15,8.9,.37,6882769,195.05,45.59,5.87,.77
CNX Metal,02-11-2015,1807.2,1810.05,1753.2,1768.1,-37.95,-2.1,37845705,480.54,12.26,.66,3.88
