Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,20-11-2015,7841.9,7906.95,7817.8,7856.55,13.8,.18,156610433,7298.01,21.24,3.16,1.45
Nifty Next 50,20-11-2015,19446.7,19600.25,19413.45,19534.75,136.8,.71,69404644,2302.67,21.65,2.78,1.66
Nifty 100,20-11-2015,7966.5,8030.4,7945.8,7984.85,20.95,.26,226015077,9600.68,21.31,3.09,1.48
Nifty 200,20-11-2015,4131.1,4164.75,4122.5,4141.75,12.85,.31,510645555,12684.68,22.23,2.95,1.44
Nifty 500,20-11-2015,6599,6649.75,6586.7,6615.65,21.1,.32,681810101,14142.99,23.15,2.83,1.41
Nifty Midcap 50,20-11-2015,3286.8,3335.9,3286.8,3312.2,37,1.13,208902582,2224.82,20.47,1.3,2.34
Nifty Midcap 100,20-11-2015,13032.4,13142.95,13032.4,13089.9,86.15,.66,241623290,3845.48,26.49,2.23,1.49
Nifty Smallcap 100,20-11-2015,5383.25,5420,5369.1,5385.5,13.9,.26,180530815,943.24,23.33,1.04,1.42
Nifty50 Dividend Points,20-11-2015,-,-,-,95.23,0,-,-,-,-,-,-
Nifty Auto,20-11-2015,8308.05,8392.2,8287.65,8339.4,44.35,.53,28958499,1768.85,41.88,6.35,.78
Nifty Bank,20-11-2015,17022.7,17262.85,16931.3,17055.6,-16.3,-.1,56529641,1862.49,17.82,2.41,1.14
Nifty Energy,20-11-2015,8030.65,8171.95,8012.75,8126.35,96,1.2,25500971,956.38,12.24,1.46,1.87
Nifty Financial Services,20-11-2015,7003.35,7079.45,6962.1,6998.8,-15.8,-.23,47308996,1946.14,18.59,2.94,1.19
Nifty FMCG,20-11-2015,20690.85,20690.85,20409,20449.8,-192.8,-.93,12480842,628.86,37.95,12.03,1.41
Nifty IT,20-11-2015,11045.65,11195.75,11036.9,11118.85,85.95,.78,10781657,1071.38,19.35,6.04,2.38
Nifty Media,20-11-2015,2343.8,2372,2336.85,2355.2,16.65,.71,6890424,179.38,45.23,5.68,.79
Nifty Metal,20-11-2015,1729.4,1744.15,1723.65,1726.1,3.25,.19,68971840,731.12,13.49,.65,4.01
Nifty MNC,20-11-2015,9517.2,9602.85,9476.45,9568.2,78.8,.83,14647684,911.21,41.46,7.07,1.69
Nifty Pharma,20-11-2015,11690.45,11723.9,11599.4,11685.35,10.4,.09,10902088,1032.26,59.19,6.28,.52
Nifty PSU Bank,20-11-2015,3119.85,3177.15,3093.65,3122.2,2.7,.09,40859009,709.22,12.86,.96,1.84
Nifty Realty,20-11-2015,164.45,166,163.45,163.85,-.35,-.21,55929010,255.8,28.84,.76,.9
Nifty India Consumption,20-11-2015,3519.3,3547.6,3512.2,3534.2,21.4,.61,44109290,2397.37,30,4.91,1.09
Nifty Commodities,20-11-2015,2334.9,2358.55,2332,2349.85,15.8,.68,96456396,1778.61,14.55,1.4,2.6
Nifty Dividend Opportunities 50,20-11-2015,1883.2,1896.8,1879.1,1885.15,4.35,.23,86357536,1830.85,14.3,1.94,2.94
Nifty Infrastructure,20-11-2015,2730.5,2752.15,2716.95,2744.35,13.5,.49,97116116,1056.6,19.41,1.8,1.16
Nifty PSE,20-11-2015,3025.9,3063.05,3024.6,3047.6,23.7,.78,47443768,1032.95,11.49,1.62,3.24
Nifty Services Sector,20-11-2015,10086.45,10202.55,10058.4,10123.5,30.05,.3,108148438,4317.71,18.08,3.06,1.49
Nifty50 Shariah,20-11-2015,-,-,-,1791.25,20.19,1.14,31400485,2474.29,18.9,2.63,1.55
Nifty500 Shariah,20-11-2015,-,-,-,2129.76,21.19,1,140974155,5032.96,21.86,3.26,1.26
Nifty Low Volatility 50,20-11-2015,-,-,-,7335.71,50.94,.7,70305280,5220.02,24.21,4.21,1.8
Nifty Alpha 50,20-11-2015,-,-,-,9187.31,61.57,.67,65204057,1916.95,43.47,5.6,.88
Nifty High Beta 50,20-11-2015,-,-,-,1498.56,9.49,.64,286082347,3817.4,19.65,.71,1.65
Nifty50 USD,20-11-2015,-,-,-,4118.83,8.27,.2,-,-,-,-,-
Nifty100 Equal Weight,20-11-2015,-,-,-,10078.61,65.64,.66,226015077,9600.68,20.34,2.07,1.78
Nifty100 Liquid 15,20-11-2015,3128.55,3152.8,3111.95,3117.15,-11.35,-.36,73418529,2339.9,19.31,2.06,1.09
Nifty CPSE,20-11-2015,2016.15,2052.9,2014.3,2038.05,26.05,1.29,20463430,691.69,11.35,1.84,3.77
Nifty50 Value 20,20-11-2015,3491.4,3538.2,3488.7,3511.25,19.15,.55,78190395,3472.83,14.95,2.34,2.09
Nifty Midcap Liquid 15,20-11-2015,-,-,-,2871.23,36.64,1.29,56665407,717.75,10.99,1.37,2.11
Nifty Shariah 25,20-11-2015,-,-,-,3223.16,33.37,1.05,26907456,2462.18,26.67,4.66,1.15
India VIX,20-11-2015,15.84,16.1375,13.83,15.9,.06,.36,-,-,-,-,-
Nifty Growth Sectors 15,20-11-2015,5132.25,5175.5,5127.1,5145.65,23.7,.46,21869024,2446.51,25,7.89,1.66
Nifty50 TR 1x Inverse,20-11-2015,459.25,460.65,455.5,458.4,-.7,-.15,-,-,-,-,-
Nifty50 TR 2x Leverage,20-11-2015,3522.05,3579.85,3500.65,3535.2,11.75,.33,-,-,-,-,-
Nifty50 PR 1x Inverse,20-11-2015,496.65,498.15,492.55,495.7,-.8,-.16,-,-,-,-,-
Nifty50 PR 2x Leverage,20-11-2015,3012.35,3061.8,2994.05,3023.6,10.05,.33,-,-,-,-,-
Nifty Quality 30,20-11-2015,-,-,-,2064.24,4.28,.21,49007193,3440.58,29.56,6.9,1.61
Nifty 8-13 yr G-Sec,20-11-2015,-,-,-,1446.49,-2.33,-.16,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,20-11-2015,-,-,-,1386.73,-1.99,-.14,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),20-11-2015,-,-,-,936.25,-1.58,-.17,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,20-11-2015,-,-,-,1501.91,-1.8,-.12,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,20-11-2015,-,-,-,1497.11,-2.64,-.18,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,20-11-2015,-,-,-,1572.96,-4.8,-.3,-,-,-,-,-
