Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,16-11-2015,7732.95,7838.85,7714.15,7806.6,44.35,.57,154134885,6871.15,21.11,3.14,1.46
Nifty Next 50,16-11-2015,19232.65,19285.75,19104,19163.4,-105.5,-.55,72198080,2467.5,21.24,2.72,1.69
Nifty 100,16-11-2015,7859.6,7948.05,7835.65,7917.45,30.55,.39,226332965,9338.65,21.13,3.06,1.5
Nifty 200,16-11-2015,4072.85,4116.55,4059.95,4101.6,15.35,.38,466222578,11371.29,21.98,2.93,1.46
Nifty 500,16-11-2015,6506.6,6573.5,6487.45,6551.45,24.85,.38,621563178,12830.07,22.88,2.8,1.43
Nifty Midcap 50,16-11-2015,3212.9,3259,3212.9,3255.05,34.95,1.09,203224539,1578.53,19.6,1.28,2.38
Nifty Midcap 100,16-11-2015,12862.95,12917.3,12809.5,12883.85,-2.1,-.02,190432089,2948.63,25.79,2.2,1.52
Nifty Smallcap 100,16-11-2015,5244.75,5322.4,5239.35,5313.05,57.05,1.09,201131337,989.47,23.43,1.03,1.44
Nifty50 Dividend Points,16-11-2015,-,-,-,95.23,0,-,-,-,-,-,-
Nifty Auto,16-11-2015,8155.6,8236.55,8110.05,8190.35,12.05,.15,29977007,1512.71,41.13,6.23,.79
Nifty Bank,16-11-2015,16881.65,17230.5,16855.5,17184.9,252.05,1.49,50710286,1543.3,17.95,2.43,1.13
Nifty Energy,16-11-2015,7894.25,7974.75,7867.35,7943.6,11,.14,22973032,838.64,11.96,1.43,1.91
Nifty Financial Services,16-11-2015,6912.7,7027.15,6903.6,7000.75,59.1,.85,42595137,1698.69,18.59,2.94,1.19
Nifty FMCG,16-11-2015,19879.65,20063.5,19872.35,19986.55,90.35,.45,11578188,632.44,37.09,11.76,1.44
Nifty IT,16-11-2015,11011.5,11061.6,10911.1,11003.8,-98.65,-.89,8864946,917.27,19.15,5.98,2.41
Nifty Media,16-11-2015,2270.4,2298.05,2259.7,2284.65,10.65,.47,7302275,192.58,43.87,5.51,.81
Nifty Metal,16-11-2015,1696.95,1725.5,1682.8,1720.6,16.55,.97,58425173,717.24,13.06,.65,4.02
Nifty MNC,16-11-2015,9406.9,9432.65,9365.8,9394.75,-40.25,-.43,18461417,828.63,40.71,6.94,1.72
Nifty Pharma,16-11-2015,11688.45,11768.85,11601.75,11711,70.45,.61,11892444,1263.03,59.32,6.29,.52
Nifty PSU Bank,16-11-2015,3099.35,3202.45,3097.75,3194.35,87.2,2.81,40785428,693.27,13.16,.98,1.8
Nifty Realty,16-11-2015,165.25,167.6,164.8,166.55,0,0,49143958,188.54,28.86,.77,.89
Nifty India Consumption,16-11-2015,3437.2,3462.05,3429.45,3447.25,4.2,.12,43895748,2046.95,29.27,4.79,1.12
Nifty Commodities,16-11-2015,2302.85,2322.5,2288.35,2316.5,6.15,.27,97028583,2065.48,14.34,1.38,2.63
Nifty Dividend Opportunities 50,16-11-2015,1859.95,1871.7,1850.65,1865.75,1.85,.1,85634390,1799.42,14.16,1.92,2.97
Nifty Infrastructure,16-11-2015,2683.7,2720.15,2680.45,2714.95,27.6,1.03,123893964,1094.76,18.93,1.78,1.17
Nifty PSE,16-11-2015,2988.95,3000.45,2966.5,2990.85,-8.95,-.3,48405318,964.5,11.28,1.59,3.31
Nifty Services Sector,16-11-2015,10012.65,10137.55,9975.1,10097.7,30.3,.3,96961425,3604.57,18.04,3.05,1.49
Nifty50 Shariah,16-11-2015,-,-,-,1767.13,6.92,.39,32564874,2451.6,18.64,2.6,1.57
Nifty500 Shariah,16-11-2015,-,-,-,2089.17,1.98,.09,104732412,4411.49,21.45,3.2,1.28
Nifty Low Volatility 50,16-11-2015,-,-,-,7204.69,9.46,.13,60586607,4854.81,23.78,4.14,1.83
Nifty Alpha 50,16-11-2015,-,-,-,9016.8,-13.05,-.14,49857750,2003.94,42.77,5.49,.9
Nifty High Beta 50,16-11-2015,-,-,-,1495.02,26.15,1.78,287478188,3508.78,18.44,.71,1.66
Nifty50 USD,16-11-2015,-,-,-,4088.01,21.39,.53,-,-,-,-,-
Nifty100 Equal Weight,16-11-2015,-,-,-,9942.65,22.97,.23,226332965,9338.65,20.07,2.04,1.8
Nifty100 Liquid 15,16-11-2015,3110.15,3150.5,3094.5,3139.95,18.35,.59,70596177,2136.63,19.45,2.08,1.08
Nifty CPSE,16-11-2015,1993.95,1999.2,1970.05,1992.3,-11.55,-.58,18985197,574.55,11.09,1.8,3.86
Nifty50 Value 20,16-11-2015,3481.95,3522.7,3468.4,3506.9,4.6,.13,72081484,3114.55,14.93,2.34,2.1
Nifty Midcap Liquid 15,16-11-2015,-,-,-,2836.64,26.74,.95,49637004,474.86,10.86,1.35,2.14
Nifty Shariah 25,16-11-2015,-,-,-,3169.92,3.6,.11,21837554,2338.6,26.23,4.58,1.17
India VIX,16-11-2015,17.6525,18.6075,15.2875,17.88,.23,1.27,-,-,-,-,-
