Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,01-11-2013,6289.75,6332.6,6286.95,6307.2,8.05,.13,191639789,7371.92,18.2,3,1.46
CNX Nifty Junior,01-11-2013,12182.7,12326.1,12182.7,12291.8,82.4,.67,142236761,3137.16,14.65,2.22,1.45
CNX 100,01-11-2013,6156.85,6199.35,6156.85,6179.7,13,.21,333876550,10509.07,17.56,2.85,1.46
CNX 200,01-11-2013,3106.3,3129.15,3106.3,3121.05,10,.32,672716087,12774.01,17.43,2.63,1.48
CNX 500,01-11-2013,4798.4,4833.95,4798.4,4823,18.15,.38,818573210,13636.31,17.83,2.43,1.51
NIFTY Midcap 50,01-11-2013,2081.85,2127.7,2081.85,2125.3,40.85,1.96,264276836,2314.75,10.75,1.25,1.86
CNX Midcap,01-11-2013,7524.1,7636,7524.1,7627.2,92.4,1.23,304566629,3427.7,13.41,1.62,1.79
CNX Smallcap,01-11-2013,3074.1,3141.25,3074.1,3122.75,54.45,1.77,193496372,986.84,24.75,.85,2.03
CNX Nifty Dividend,01-11-2013,-,-,-,79.53,0,-,-,-,-,-,-
CNX Auto,01-11-2013,5172.55,5238.6,5172.55,5228.85,64.95,1.26,31062432,928.14,25.32,4.42,1.14
CNX Bank,01-11-2013,11472.2,11694.45,11443.6,11628.65,155.5,1.36,88547481,3922,13.06,2,1.58
CNX Energy,01-11-2013,8074.1,8130.55,8009.35,8029.35,-70.7,-.87,27359153,602,10.57,1.65,2.03
CNX Finance,01-11-2013,4814.4,4884.8,4794.7,4867.3,57,1.18,68387767,3070.99,15.09,2.42,1.53
CNX FMCG,01-11-2013,17529.6,17618.7,17353.2,17385.8,-231.2,-1.31,14525700,612.34,37.36,11.72,1.57
CNX IT,01-11-2013,8840.6,8909,8787.7,8799.55,-53.25,-.6,9064204,777.37,22.25,6.19,1.17
CNX Media,01-11-2013,1752.2,1785.8,1749.05,1780.9,24.6,1.4,8330339,150.71,30.88,4.82,1.05
CNX Metal,01-11-2013,2282.2,2319.05,2282.2,2311.6,27.45,1.2,33798936,722.83,14.39,1.2,1.91
CNX MNC,01-11-2013,6017.45,6069.4,6017.45,6058.95,43.8,.73,24148468,629.24,37.44,5.61,1.6
CNX Pharma,01-11-2013,7481.55,7529.1,7474.05,7502.8,6.85,.09,8590714,529.09,46.3,5.88,.67
CNX PSU Bank,01-11-2013,2480.75,2632.9,2480.5,2598.05,115.55,4.65,106875234,2804.68,6.27,.84,3.52
CNX Realty,01-11-2013,172.25,178.5,172.25,176.9,4.8,2.79,90459300,427.74,28.14,.83,.84
CNX Consumption,01-11-2013,2596.75,2616.65,2596.75,2613.7,7.75,.3,49427471,2036.83,28.19,4.38,1.23
CNX Commodities,01-11-2013,2244.05,2259.75,2244.05,2254.25,6.95,.31,71385207,1606.16,10.55,1.51,2.2
CNX Dividend Opportunities,01-11-2013,1589.35,1614.4,1589.35,1605.1,12.85,.81,179882415,3125.5,9.78,1.89,3.26
CNX Infrastructure,01-11-2013,2384.5,2410,2384.5,2404.25,10.95,.46,137899560,1528.26,16.37,1.82,1.5
CNX PSE,01-11-2013,2597.95,2605.7,2587.1,2596.4,-8.2,-.31,72858591,751.11,7.26,1.56,3.55
CNX Service Sector,01-11-2013,7665.75,7735.8,7657.4,7707.7,32.95,.43,146856767,5815.98,16.62,2.78,1.43
CNX Nifty Shariah,01-11-2013,-,-,-,1453.33,-1.65,-.11,26528277,1588.63,19.65,3.45,1.23
CNX 500 Shariah,01-11-2013,-,-,-,1507.72,-.94,-.06,93207767,2455.89,20.56,3.6,1.21
CNX Low Volatility,01-11-2013,-,-,-,4765.66,16.93,.36,46302061,2726.69,17.33,2.8,1.6
CNX Alpha Index,01-11-2013,-,-,-,4731.1,8.44,.18,52196253,2087.65,28.67,4.03,.64
CNX High Beta,01-11-2013,-,-,-,1282.07,41.4,3.34,454940265,5344.59,13.66,.74,2.32
CNX DEFTY,01-11-2013,-,-,-,3530.35,-23.88,-.67,-,-,-,-,-
CNX 100 Equal Weight,01-11-2013,-,-,-,7173.87,70.66,.99,333876550,10509.07,12,1.87,1.82
LIX 15,01-11-2013,2534.9,2583.9,2534.9,2576.4,45.15,1.78,110289370,3330.22,12.5,1.41,1.56
