Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,03-11-2013,6332.05,6342.95,6311.15,6317.35,10.15,.16,23856924,858.24,18.23,3,1.46
CNX Nifty Junior,03-11-2013,12336.75,12393.2,12336.75,12366.9,75.1,.61,15836578,381.5,14.74,2.24,1.44
CNX 100,03-11-2013,6203.75,6213.8,6187.7,6193.8,14.1,.23,39693502,1239.74,17.6,2.85,1.46
CNX 200,03-11-2013,3133.6,3138.65,3126.8,3129.65,8.6,.28,103946177,1650.02,17.48,2.63,1.48
CNX 500,03-11-2013,4843.2,4847.05,4836.15,4840.15,17.15,.36,154296117,1944.47,17.9,2.44,1.5
NIFTY Midcap 50,03-11-2013,2132.2,2142.1,2132.2,2136.6,11.3,.53,38541770,306.26,10.8,1.26,1.85
CNX Midcap,03-11-2013,7662.5,7692.1,7662.5,7680.25,53.05,.7,46651142,455.92,13.51,1.63,1.78
CNX Smallcap,03-11-2013,3145.7,3169.8,3145.7,3166.75,44,1.41,52286125,292.32,25.1,.86,2
CNX Nifty Dividend,03-11-2013,-,-,-,79.53,0,-,-,-,-,-,-
CNX Auto,03-11-2013,5256.35,5268.85,5246.1,5258.6,29.75,.57,8664220,143.26,25.47,4.44,1.13
CNX Bank,03-11-2013,11678.7,11691.2,11582.65,11614.05,-14.6,-.13,7221409,367.93,13.04,2,1.59
CNX Energy,03-11-2013,8055.05,8079.25,8045.7,8055.7,26.35,.33,4209878,92.65,10.6,1.65,2.02
CNX Finance,03-11-2013,4883.15,4887.2,4849.7,4857.9,-9.4,-.19,6066161,300.84,15.06,2.42,1.53
CNX FMCG,03-11-2013,17500.45,17539.35,17480.5,17496.45,110.65,.64,2278100,121.64,37.6,11.79,1.56
CNX IT,03-11-2013,8812.75,8837.85,8812.75,8823.5,23.95,.27,5416284,108.16,22.31,6.21,1.17
CNX Media,03-11-2013,1787.3,1804.95,1786.25,1800.05,19.15,1.08,4358624,24.65,31.21,4.87,1.04
CNX Metal,03-11-2013,2327.55,2332.25,2318.2,2322.2,10.6,.46,4993559,101.87,14.45,1.2,1.9
CNX MNC,03-11-2013,6071.8,6091.3,6071.8,6079.4,20.45,.34,7186583,113.12,37.57,5.63,1.59
CNX Pharma,03-11-2013,7557.05,7573.3,7543.95,7552.05,49.25,.66,1865461,97.52,46.6,5.92,.66
CNX PSU Bank,03-11-2013,2617.05,2633.05,2611.8,2619.2,21.15,.81,11097486,268.38,6.32,.85,3.49
CNX Realty,03-11-2013,178.6,179.1,177.2,177.55,.65,.37,9583010,46.82,28.24,.84,.83
CNX Consumption,03-11-2013,2625.1,2628.7,2617.55,2620.5,6.8,.26,6149149,249.27,28.26,4.39,1.23
CNX Commodities,03-11-2013,2263.95,2268.75,2260.5,2263.45,9.2,.41,11491877,224.71,10.59,1.51,2.19
CNX Dividend Opportunities,03-11-2013,1615.05,1617.55,1613.15,1615,9.9,.62,35376595,389.23,9.84,1.91,3.24
CNX Infrastructure,03-11-2013,2412.1,2419.25,2399.85,2404.1,-.15,-.01,19366014,189.88,16.37,1.82,1.5
CNX PSE,03-11-2013,2610.7,2619.15,2608.2,2612.8,16.4,.63,10726621,96.79,7.31,1.57,3.53
CNX Service Sector,03-11-2013,7729.05,7740.8,7697.35,7706.45,-1.25,-.02,14482852,543.07,16.62,2.78,1.43
CNX Nifty Shariah,03-11-2013,-,-,-,1454.39,1.05,.07,2930814,167.78,19.67,3.45,1.22
CNX 500 Shariah,03-11-2013,-,-,-,1511.98,4.26,.28,15841893,307.94,20.62,3.61,1.21
CNX Low Volatility,03-11-2013,-,-,-,4780.12,14.47,.3,4722904,269.3,17.38,2.81,1.6
CNX Alpha Index,03-11-2013,-,-,-,4761.63,30.53,.65,10373435,370.89,28.86,4.06,.64
CNX High Beta,03-11-2013,-,-,-,1289,6.93,.54,63153522,696.39,13.73,.74,2.31
CNX DEFTY,03-11-2013,-,-,-,3536.02,5.67,.16,-,-,-,-,-
CNX 100 Equal Weight,03-11-2013,-,-,-,7207.75,33.88,.47,39693502,1239.74,12.06,1.88,1.81
LIX 15,03-11-2013,2591.5,2600.6,2586.1,2591.4,15,.58,15528670,472.42,12.57,1.42,1.55
