Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,22-04-2013,5789.85,5844.85,5789.8,5834.4,51.3,.89,135095797,6073.25,17.76,3.07,1.42
CNX Nifty Junior,22-04-2013,11662.6,11835.55,11655.55,11818.05,178.45,1.53,129350719,2318.13,18.29,2.26,1.34
CNX 100,22-04-2013,5700.9,5758.95,5700.9,5749.6,56,.98,264446516,8391.38,17.83,2.92,1.41
CNX 200,22-04-2013,2913.25,2945.4,2913.25,2940.8,30.75,1.06,519881116,10147.1,17.55,2.71,1.42
CNX 500,22-04-2013,4531.75,4581.05,4531.75,4574.4,47.6,1.05,593373532,10757,17.49,2.53,1.44
NIFTY Midcap 50,22-04-2013,2047.45,2091.8,2036.5,2087.85,44.65,2.19,266599271,2212.54,12.61,1.28,1.6
CNX Midcap,22-04-2013,7623.5,7777.85,7623.5,7764.8,140.7,1.85,288158540,2686.56,17.1,1.75,1.52
CNX Smallcap,22-04-2013,3208.35,3248.45,3205.1,3244.15,36.35,1.13,99592493,592.43,26.56,1.16,1.53
CNX Nifty Dividend,22-04-2013,-,-,-,.16,0,-,-,-,-,-,-
CNX Auto,22-04-2013,4409.65,4438.35,4391.9,4423.6,25.85,.59,20136209,586.64,21.62,4.09,1.62
CNX Bank,22-04-2013,12317.4,12637.95,12317.4,12576.2,287.95,2.34,25782479,2093.52,15.04,2.57,1.17
CNX Energy,22-04-2013,7823.1,7884.8,7799.55,7857.35,48.2,.62,29767979,685.62,11.69,1.77,1.64
CNX Finance,22-04-2013,5010.8,5126.65,5010.8,5102.95,102.4,2.05,35416630,2218.99,17.09,3.01,1.2
CNX FMCG,22-04-2013,15680.2,15805.55,15673.55,15788.65,78.3,.5,12556687,633.08,35.19,12.3,1.27
CNX IT,22-04-2013,6217.15,6233.3,6106.9,6118.25,-114.35,-1.83,12868360,969.54,16.11,4.99,1.85
CNX Media,22-04-2013,1641.4,1685.7,1639.45,1682.55,44.9,2.74,16983112,292.24,39.87,5.1,.92
CNX Metal,22-04-2013,2186.95,2236.35,2186.95,2227.6,48.6,2.23,32411035,603.1,9.68,1.04,2.44
CNX MNC,22-04-2013,5316.9,5348.05,5308.35,5325.9,12.7,.24,12076726,315.62,26.57,5.29,1.56
CNX Pharma,22-04-2013,6355.95,6423.5,6337.4,6364,8.6,.14,4204034,316.41,34.64,5.51,.75
CNX PSU Bank,22-04-2013,3321.6,3385.8,3321.6,3372.25,63.15,1.91,19289842,765.97,7.47,1.27,2.27
CNX Realty,22-04-2013,240.15,250,238.15,248.2,8.75,3.65,118866572,657.33,27.07,1.03,.54
CNX Consumption,22-04-2013,2261.15,2275,2258.15,2274.05,18.75,.83,98369571,2103.77,25.35,4.01,1.16
CNX Commodities,22-04-2013,2246.1,2265.85,2243.45,2261.35,20.35,.91,72670958,1601.16,13.98,1.52,1.94
CNX Dividend Opportunities,22-04-2013,1624.85,1638.5,1624.85,1634.15,8.05,.5,58473258,1355.26,12.09,2.18,2.59
CNX Infrastructure,22-04-2013,2337.25,2397.35,2336.95,2393.35,60.3,2.58,148754797,1631.62,16.08,1.89,1.3
CNX PSE,22-04-2013,2853.75,2886.4,2853.75,2879.3,23.5,.82,35956295,735.63,10.4,1.9,2.76
CNX Service Sector,22-04-2013,7039.3,7138.85,7039.3,7119.6,86.4,1.23,141607207,4556.75,16.38,2.86,1.38
CNX Nifty Shariah,22-04-2013,-,-,-,1220.4,-4.53,-.37,38691413,2271.05,16.71,3.38,1.62
CNX 500 Shariah,22-04-2013,-,-,-,1301.76,.19,.01,70347366,2978.96,17.85,3.56,1.55
S&P ESG India,22-04-2013,-,-,-,3658.9,32.37,.89,-,-,-,-,-
CNX Low Volatility,22-04-2013,-,-,-,4492.54,27.64,.62,47225487,2899.57,19.95,3.84,1.52
CNX Alpha Index,22-04-2013,-,-,-,4567.31,48.45,1.07,50811085,2096.12,26.94,4.33,.55
CNX High Beta,22-04-2013,-,-,-,1421.25,37.05,2.68,363544581,4013.31,20.6,.79,1.35
CNX DEFTY,22-04-2013,-,-,-,3732.24,23.45,.63,-,-,-,-,-
