Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,05-09-2012,5243.9,5259.5,5215.7,5225.7,-48.3,-.92,126162071,4904.68,17.53,2.85,1.58
CNX Nifty Junior,05-09-2012,9975.05,9975.05,9903.25,9914.15,-62.45,-.63,72728983,1531.39,17.58,2.09,1.5
CNX 100,05-09-2012,5120.5,5132.15,5092.05,5100.75,-44.9,-.87,198891054,6436.07,17.54,2.7,1.57
CNX 200,05-09-2012,2635.2,2641.1,2620.35,2624.55,-22.35,-.84,350663415,7529.79,17.46,2.51,1.59
S&P CNX 500,05-09-2012,4131.6,4140.7,4110.9,4115.35,-32.95,-.79,439525800,8326.79,17.78,2.36,1.6
NIFTY Midcap 50,05-09-2012,2006.1,2006.1,1986.85,1990,-16.55,-.82,95618035,979.95,13.14,1.24,2.21
CNX Midcap,05-09-2012,7136.75,7144.85,7092.2,7098.6,-39.2,-.55,161584883,1375.74,18.8,1.62,1.93
CNX Smallcap,05-09-2012,3190,3203.5,3177.45,3190.55,.7,.02,51975582,525.47,21.21,1.31,1.66
S&P CNX Nifty Dividend,05-09-2012,-,-,-,64.5,0,-,-,-,-,-,-
CNX Auto,05-09-2012,3909.8,3922,3886.8,3893.1,-37.9,-.96,17416386,460.94,19.67,3.83,2.19
CNX Bank,05-09-2012,9965,9976.4,9814.05,9827.9,-192.75,-1.92,22501858,1797.06,12.53,1.98,1.52
CNX Energy,05-09-2012,7646.25,7679.15,7585.5,7628.45,-59.6,-.78,19612832,546.5,15.06,1.8,1.61
CNX Finance,05-09-2012,4202.6,4211.15,4156.45,4161.15,-59.8,-1.42,33098677,2076.25,15.22,2.48,1.48
CNX FMCG,05-09-2012,13673.3,13834.45,13673.3,13794.7,91.25,.67,15545409,742.56,33.85,12.58,1.38
CNX IT,05-09-2012,6062.5,6110.1,6031.95,6083.75,-.3,0,10822120,560.33,17.34,4.95,1.83
CNX Media,05-09-2012,1351.6,1368.05,1348.35,1366.2,14.7,1.09,14765539,132.09,40.63,3.91,1.06
CNX Metal,05-09-2012,2538.4,2542.25,2487.95,2497.6,-63.45,-2.48,35946755,785.46,11.98,1.18,1.84
CNX MNC,05-09-2012,5458.15,5484.9,5448.75,5465.25,-19.45,-.35,17578868,509.61,39.61,4.11,1.25
CNX Pharma,05-09-2012,5627.3,5644.9,5559.4,5578.15,-66.85,-1.18,4167965,254.59,53.34,5.09,.82
CNX PSU Bank,05-09-2012,2742.85,2746.8,2698.1,2702.15,-57.85,-2.1,8006571,487.16,6.04,1.03,2.84
CNX Realty,05-09-2012,200.65,201.9,198.2,199.15,-2.4,-1.19,35282317,249.08,20.71,.82,.75
CNX Consumption,05-09-2012,1947.45,1960.9,1946.1,1959.1,5.2,.27,50458575,1353.08,22.33,3.39,1.54
CNX Commodities,05-09-2012,2292.25,2296,2271.65,2276.95,-29.25,-1.27,66049809,1506.17,18.24,1.6,1.78
CNX Dividend Opportunities,05-09-2012,1501,1504.05,1494.8,1500.85,-6,-.4,36355198,906.81,12.54,2.4,2.74
CNX Infrastructure,05-09-2012,2243.75,2252.3,2227.4,2232,-28.95,-1.28,84245561,931.77,17.31,1.88,1.31
CNX PSE,05-09-2012,2848.2,2858.3,2826.7,2835.8,-29.5,-1.03,28336153,547.41,15.45,2.08,2.55
CNX Service Sector,05-09-2012,6181.7,6200.6,6153.45,6161.85,-48.45,-.78,73130148,2952.87,15.33,2.55,1.57
S&P CNX Nifty Shariah,05-09-2012,-,-,-,1166.17,-6.19,-.53,38712284,1743.42,17.66,3.38,1.63
S&P CNX 500 Shariah,05-09-2012,-,-,-,1247.96,-6.68,-.53,76133369,2519.36,18.67,3.57,1.53
S&P ESG India,05-09-2012,-,-,-,3284.04,-32.57,-.98,-,-,-,-,-
