Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,17-09-2012,5631.75,5652.2,5585.15,5610,32.35,.58,258912780,10924.57,18.85,3.06,1.47
CNX Nifty Junior,17-09-2012,10216.8,10375.75,10216.8,10363.15,152.45,1.49,124869425,2644.84,18.37,2.19,1.44
CNX 100,17-09-2012,5461.25,5482.35,5425.05,5454.35,38.55,.71,383782205,13569.41,18.78,2.89,1.47
CNX 200,17-09-2012,2800.4,2814.3,2785.75,2801.4,22.1,.8,762833764,16204.51,18.66,2.68,1.49
S&P CNX 500,17-09-2012,4378.9,4400.6,4359.25,4383.1,34.3,.79,892543719,17385.05,18.99,2.52,1.5
NIFTY Midcap 50,17-09-2012,2065.35,2120.25,2065.35,2116.1,52.55,2.55,258814617,1858.32,14.02,1.32,2.08
CNX Midcap,17-09-2012,7341.7,7471.75,7341.7,7465.15,125.15,1.71,375549918,3051.51,19.82,1.7,1.84
CNX Smallcap,17-09-2012,3358,3374.45,3333.55,3358.25,29.6,.89,118948752,1034.57,23.71,1.4,1.55
S&P CNX Nifty Dividend,17-09-2012,-,-,-,67.06,0,-,-,-,-,-,-
CNX Auto,17-09-2012,4241.65,4319.25,4241.65,4264.25,73.05,1.74,44658488,1231.79,21.55,4.19,2
CNX Bank,17-09-2012,10797.1,11045.45,10797.1,10981.65,338.75,3.18,45643563,3756.28,14.01,2.22,1.36
CNX Energy,17-09-2012,8114.2,8273.25,8114.2,8200.7,152.2,1.89,44316127,1499.09,16.15,1.93,1.5
CNX Finance,17-09-2012,4540.95,4618.6,4540.95,4600.45,118.4,2.64,59433552,3934.23,16.93,2.75,1.33
CNX FMCG,17-09-2012,13897.45,13921.75,13267.25,13329.4,-527.8,-3.81,33986413,1249.82,32.74,12.17,1.42
CNX IT,17-09-2012,6630.4,6630.4,6382.95,6398.2,-201.2,-3.05,17105590,1015.85,18.25,5.2,1.74
CNX Media,17-09-2012,1440.5,1451.5,1425.75,1445.1,34.25,2.43,25912145,215.71,45.18,4.34,.96
CNX Metal,17-09-2012,2768.3,2795.95,2738.75,2775.55,34.65,1.26,56407308,1342.92,13.31,1.31,1.66
CNX MNC,17-09-2012,5720.95,5728.05,5630.95,5641.95,-26.75,-.47,30509016,964.02,40.9,4.25,1.21
CNX Pharma,17-09-2012,5645.95,5673.75,5494.55,5530.4,-102.15,-1.81,13049832,803.62,52.88,5.04,.83
CNX PSU Bank,17-09-2012,2927.75,3075.75,2927.75,3060.9,164.8,5.69,31291459,1720.28,6.84,1.16,2.51
CNX Realty,17-09-2012,217.9,231.5,217.9,230.7,14.2,6.56,91182025,729.76,24,.95,.64
CNX Consumption,17-09-2012,2021.85,2030.15,2006.55,2012.3,4.35,.22,100217132,2767.41,22.95,3.47,1.5
CNX Commodities,17-09-2012,2445.8,2466.05,2434.55,2451.25,24.95,1.03,119877029,3147.17,19.7,1.72,1.65
CNX Dividend Opportunities,17-09-2012,1562.75,1573.1,1557,1563.85,6.8,.44,107162862,2402.46,13.01,2.49,2.64
CNX Infrastructure,17-09-2012,2365.45,2437.3,2365.45,2419.45,77.45,3.31,194536074,1909.2,18.83,2.03,1.21
CNX PSE,17-09-2012,2931.45,2947.6,2914.8,2918.75,4.6,.16,52685405,1060.14,15.91,2.15,2.48
CNX Service Sector,17-09-2012,6661.6,6688.25,6611.55,6659.45,68.45,1.04,112835983,5600.8,16.62,2.77,1.45
S&P CNX Nifty Shariah,17-09-2012,-,-,-,1236.4,-5.61,-.45,67187029,3811.81,18.71,3.58,1.54
S&P CNX 500 Shariah,17-09-2012,-,-,-,1309.48,-5.67,-.43,119654569,5042.33,19.59,3.74,1.45
S&P ESG India,17-09-2012,-,-,-,3551.7,68.15,1.96,-,-,-,-,-
