Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,07-09-2012,5309.45,5347.15,5309.2,5342.1,103.7,1.98,149584722,5590.04,17.92,2.91,1.55
CNX Nifty Junior,07-09-2012,9966.85,10078.75,9966.85,10057.9,97.25,.98,61288848,1617.28,17.83,2.12,1.48
CNX 100,07-09-2012,5174.3,5212.5,5174.3,5208.4,93.55,1.83,210873570,7207.31,17.91,2.76,1.54
CNX 200,07-09-2012,2658.5,2679.8,2658.5,2677.7,46.75,1.78,351309793,8330.16,17.81,2.56,1.56
S&P CNX 500,07-09-2012,4165.4,4198.1,4165.4,4195.75,69.8,1.69,440360340,9079.19,18.13,2.41,1.57
NIFTY Midcap 50,07-09-2012,2004.2,2035.9,2004.2,2033.7,31.4,1.57,90276952,881.19,13.43,1.27,2.16
CNX Midcap,07-09-2012,7128.85,7218.45,7128.85,7203.1,76.55,1.07,140596014,1299.43,19.08,1.64,1.9
CNX Smallcap,07-09-2012,3229.3,3249.7,3229.3,3239.75,35.15,1.1,64640896,564.89,22.33,1.33,1.63
S&P CNX Nifty Dividend,07-09-2012,-,-,-,65.73,0,-,-,-,-,-,-
CNX Auto,07-09-2012,3966.6,4001.7,3964.85,3994.85,79.05,2.02,26548918,751.55,20.19,3.93,2.13
CNX Bank,07-09-2012,10047.15,10134.75,10036.45,10122,228.85,2.31,21270702,1663.36,12.91,2.04,1.48
CNX Energy,07-09-2012,7730.95,7793.3,7721.45,7766.75,132.65,1.74,19117153,604.84,15.33,1.83,1.58
CNX Finance,07-09-2012,4238.25,4270.15,4236.5,4261.45,83.35,1.99,33657400,1987.12,15.6,2.54,1.45
CNX FMCG,07-09-2012,13653.35,13681.6,13585.9,13660.75,103.65,.76,18242056,899.75,33.52,12.46,1.39
CNX IT,07-09-2012,6299.55,6351.4,6299.55,6342.7,109.35,1.75,19068896,807.95,18.09,5.16,1.76
CNX Media,07-09-2012,1394.85,1404,1382.45,1387.55,-.5,-.04,14809129,126.28,41.26,3.97,1.05
CNX Metal,07-09-2012,2550.5,2578.35,2550.5,2575.75,67.15,2.68,33006779,693.12,12.36,1.22,1.79
CNX MNC,07-09-2012,5533.6,5566.9,5518.7,5564.3,82.55,1.51,20408222,609.09,40.33,4.19,1.23
CNX Pharma,07-09-2012,5634.8,5686.25,5634.8,5680.85,74.65,1.33,6243803,348.76,54.32,5.18,.81
CNX PSU Bank,07-09-2012,2748.05,2780.75,2748.05,2776.3,62.5,2.3,10243453,651.34,6.2,1.06,2.77
CNX Realty,07-09-2012,200.25,204.8,200.25,204.3,6,3.03,35856419,308.13,21.25,.84,.73
CNX Consumption,07-09-2012,1965.95,1974.4,1962.65,1972.15,19.7,1.01,44734181,1606.31,22.48,3.41,1.53
CNX Commodities,07-09-2012,2325,2337.3,2322,2332.7,36.45,1.59,61793106,1456.94,18.68,1.64,1.74
CNX Dividend Opportunities,07-09-2012,1509.55,1521.15,1509.55,1520.2,19.05,1.27,40130721,1020.81,12.7,2.43,2.71
CNX Infrastructure,07-09-2012,2244.4,2270.85,2244.4,2268.3,49,2.21,79632750,884.56,17.6,1.91,1.29
CNX PSE,07-09-2012,2866.45,2885.25,2853.7,2862.7,22.5,.79,24192245,525.95,15.6,2.1,2.52
CNX Service Sector,07-09-2012,6294.75,6331.9,6294.75,6324.65,110.15,1.77,62911670,2938.37,15.74,2.62,1.53
S&P CNX Nifty Shariah,07-09-2012,-,-,-,1196.74,21.48,1.83,35542401,1899.41,18.13,3.47,1.59
S&P CNX 500 Shariah,07-09-2012,-,-,-,1276.7,20.04,1.59,71003255,2706.46,19.1,3.65,1.49
S&P ESG India,07-09-2012,-,-,-,3353.1,62.01,1.88,-,-,-,-,-
