Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,28-09-2012,5684.8,5735.15,5683.45,5703.3,53.8,.95,163660805,6948.17,19.17,3.18,1.42
CNX Nifty Junior,28-09-2012,10895.05,11073.75,10895.05,11042.75,158,1.45,107563152,2597.06,19.99,2.19,1.47
CNX 100,28-09-2012,5557.45,5611.6,5557.45,5583.75,56.6,1.02,271223957,9545.23,19.29,2.98,1.42
CNX 200,28-09-2012,2861.2,2890.75,2861.2,2876.45,29.35,1.03,532285145,12023.91,18.93,2.77,1.44
S&P CNX 500,28-09-2012,4478.3,4524.4,4478.3,4504.35,46.2,1.04,684041797,13143.07,19.3,2.6,1.46
NIFTY Midcap 50,28-09-2012,2218.8,2270.3,2218.8,2252.45,35.55,1.6,180368125,1891.67,14.59,1.56,1.6
CNX Midcap,28-09-2012,7746.55,7875.05,7746.55,7840.55,95.85,1.24,262183298,2674.75,19.29,1.83,1.65
CNX Smallcap,28-09-2012,3435.75,3481.55,3435.75,3451.65,27.3,.8,110411146,751.15,49.34,1.3,1.4
S&P CNX Nifty Dividend,28-09-2012,-,-,-,67.24,0,-,-,-,-,-,-
CNX Auto,28-09-2012,4328.5,4407.95,4328.5,4369.55,71.95,1.67,28435148,901.97,22.08,4.29,1.95
CNX Bank,28-09-2012,11486.55,11536.85,11437.9,11456.8,37.35,.33,20066178,1729.7,14.61,2.31,1.31
CNX Energy,28-09-2012,8042.65,8118.25,8040.45,8071.65,106.85,1.34,34779268,902.15,15.9,1.9,1.51
CNX Finance,28-09-2012,4738.9,4769.7,4726.7,4735.7,23.6,.5,35311486,2152.13,17.43,2.83,1.29
CNX FMCG,28-09-2012,13930.35,14162.95,13930.35,14136,195.65,1.4,31451955,1473.06,34.72,12.9,1.34
CNX IT,28-09-2012,6313.95,6364.8,6304.25,6313.8,28.6,.46,13512732,873.17,18.19,5.28,1.72
CNX Media,28-09-2012,1514.3,1588.25,1514.3,1559.9,56.4,3.75,25678079,321.09,36.27,4.63,.94
CNX Metal,28-09-2012,2761.05,2810.35,2761.05,2768.4,34.15,1.25,34226366,855.99,12.17,1.3,1.61
CNX MNC,28-09-2012,5660,5727.75,5651.95,5704.85,66.6,1.18,20017332,827.15,40.63,5.26,1.17
CNX Pharma,28-09-2012,5551.3,5634.9,5530.95,5623,84.3,1.52,11113011,712.02,53.24,5.27,.8
CNX PSU Bank,28-09-2012,3373.65,3398.8,3358.3,3369.5,20.45,.61,14727052,843.03,7.53,1.28,2.28
CNX Realty,28-09-2012,247.85,253.05,244.7,245.4,-1.7,-.69,68215354,641.08,25.53,1,.59
CNX Consumption,28-09-2012,2099.65,2123.8,2099.65,2113.65,23.95,1.15,83576305,2750.17,24.18,3.86,1.39
CNX Commodities,28-09-2012,2481.95,2516.05,2481.95,2495.1,33.1,1.34,89706860,2198.72,19.57,1.78,1.58
CNX Dividend Opportunities,28-09-2012,1618.8,1641.6,1618.8,1638.5,25.05,1.55,72297324,1762.5,13.68,2.63,2.51
CNX Infrastructure,28-09-2012,2522,2548.05,2520.5,2525.95,22.4,.89,127287101,1402.92,19.46,2.16,1.1
CNX PSE,28-09-2012,2956.2,2983.35,2954.3,2971.6,35.3,1.2,45655346,797.49,16.19,2.17,2.4
CNX Service Sector,28-09-2012,6791.7,6835.85,6787.75,6797.2,48.15,.71,91397773,3620.64,16.97,2.81,1.42
S&P CNX Nifty Shariah,28-09-2012,-,-,-,1235.69,10.83,.88,50576560,2781.98,18.8,3.63,1.53
S&P CNX 500 Shariah,28-09-2012,-,-,-,1322.78,13.19,1.01,128434873,4215.72,19.8,3.76,1.44
S&P ESG India,28-09-2012,-,-,-,3691.37,41.28,1.13,-,-,-,-,-
