Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,06-09-2012,5217.65,5260.6,5217.65,5238.4,12.7,.24,134008569,4622.16,17.58,2.85,1.58
CNX Nifty Junior,06-09-2012,9912.6,9990.2,9911.2,9960.65,46.5,.47,60301678,1366.93,17.66,2.1,1.5
CNX 100,06-09-2012,5093.95,5134.95,5093.95,5114.85,14.1,.28,194310247,5989.08,17.59,2.71,1.57
CNX 200,06-09-2012,2621.35,2641.75,2621.35,2630.95,6.4,.24,324068644,6926.42,17.5,2.51,1.58
S&P CNX 500,06-09-2012,4110.8,4142.1,4110.8,4125.95,10.6,.26,415232750,7739.32,17.83,2.37,1.6
NIFTY Midcap 50,06-09-2012,1989.4,2011.65,1988.2,2002.3,12.3,.62,82149899,846.62,13.22,1.25,2.2
CNX Midcap,06-09-2012,7097.95,7154.7,7093.85,7126.55,27.95,.39,137297316,1256.72,18.87,1.63,1.92
CNX Smallcap,06-09-2012,3190.75,3217.2,3190.35,3204.6,14.05,.44,56819424,550.92,21.31,1.32,1.65
S&P CNX Nifty Dividend,06-09-2012,-,-,-,65.73,0,-,-,-,-,-,-
CNX Auto,06-09-2012,3879.75,3930.1,3867.7,3915.8,22.7,.58,18668293,529.54,19.79,3.85,2.17
CNX Bank,06-09-2012,9846.55,9947.45,9831.35,9893.15,65.25,.66,16506436,1253.34,12.61,2,1.51
CNX Energy,06-09-2012,7590.75,7684.4,7576.35,7634.1,5.65,.07,15241998,367.46,15.07,1.8,1.61
CNX Finance,06-09-2012,4166.05,4203.4,4157.6,4178.1,16.95,.41,32295017,1576.35,15.3,2.49,1.48
CNX FMCG,06-09-2012,13774.4,13783.15,13535.65,13557.1,-237.6,-1.72,14059626,573.69,33.27,12.36,1.4
CNX IT,06-09-2012,6094.55,6243.55,6092.45,6233.35,149.6,2.46,22135071,794.31,17.76,5.07,1.79
CNX Media,06-09-2012,1368.8,1397.15,1363.25,1388.05,21.85,1.6,15515591,159,41.28,3.97,1.05
CNX Metal,06-09-2012,2500.5,2526,2497.25,2508.6,11,.44,32315691,654.08,12.03,1.19,1.83
CNX MNC,06-09-2012,5455.35,5498.6,5455,5481.75,16.5,.3,21708500,579.25,39.73,4.13,1.25
CNX Pharma,06-09-2012,5561.55,5616,5547.5,5606.2,28.05,.5,4870826,272.24,53.61,5.11,.82
CNX PSU Bank,06-09-2012,2697.7,2733.3,2695,2713.8,11.65,.43,9161283,506.15,6.06,1.03,2.83
CNX Realty,06-09-2012,198.7,200.9,197.75,198.3,-.85,-.43,30288946,201.63,20.63,.81,.75
CNX Consumption,06-09-2012,1956.6,1958.35,1945.35,1952.45,-6.65,-.34,53141188,1409.76,22.26,3.38,1.54
CNX Commodities,06-09-2012,2272.9,2305.3,2272.9,2296.25,19.3,.85,61083674,1300.68,18.39,1.61,1.76
CNX Dividend Opportunities,06-09-2012,1498.6,1506.7,1494.25,1501.15,.3,.02,37536942,879.13,12.54,2.4,2.74
CNX Infrastructure,06-09-2012,2224,2234.9,2208.3,2219.3,-12.7,-.57,81531287,1021.96,17.21,1.87,1.32
CNX PSE,06-09-2012,2826.6,2853.15,2815.4,2840.2,4.4,.16,23653860,468.21,15.48,2.09,2.54
CNX Service Sector,06-09-2012,6165.45,6242.85,6164.15,6214.5,52.65,.85,73734751,2744.33,15.47,2.57,1.56
S&P CNX Nifty Shariah,06-09-2012,-,-,-,1175.26,9.08,.78,37710211,1734.32,17.8,3.41,1.62
S&P CNX 500 Shariah,06-09-2012,-,-,-,1256.66,8.7,.7,72605129,2434.5,18.8,3.59,1.52
S&P ESG India,06-09-2012,-,-,-,3291.09,7.05,.21,-,-,-,-,-
