Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,11-01-2013,6012.4,6018.85,5940.6,5951.3,-17.35,-.29,128022002,8228.71,18.82,3.16,1.39
CNX Nifty Junior,11-01-2013,12589.4,12629.35,12407.75,12429.1,-158.05,-1.26,81626765,1812.8,17.87,2.32,1.27
CNX 100,11-01-2013,5955.6,5960,5882.6,5892.7,-26.15,-.44,209648767,10041.51,18.67,2.99,1.37
CNX 200,11-01-2013,3083.95,3087.35,3043.7,3048.9,-17.95,-.59,508776087,12154.49,18.59,2.8,1.37
S&P CNX 500,11-01-2013,4833.6,4836,4770.55,4778.15,-31.05,-.65,644547668,13104.63,18.56,2.64,1.38
NIFTY Midcap 50,11-01-2013,2438,2449.1,2389.45,2395.2,-42.2,-1.73,203535913,1763.71,15.27,1.46,1.36
CNX Midcap,11-01-2013,8700.3,8734.75,8530.35,8544,-155.55,-1.79,310179202,2333.45,17.79,1.89,1.48
CNX Smallcap,11-01-2013,3875.85,3881.1,3798.2,3801.5,-56.95,-1.48,92145824,728.39,47.72,1.44,1.25
S&P CNX Nifty Dividend,11-01-2013,-,-,-,78.19,0,-,-,-,-,-,-
CNX Auto,11-01-2013,4980.5,4988.5,4893.25,4908.35,-62.55,-1.26,25215245,750.37,23.47,4.52,1.48
CNX Bank,11-01-2013,12832.45,12834.55,12582.65,12617.85,-184.4,-1.44,16288008,1341.71,15.5,2.55,1.18
CNX Energy,11-01-2013,8206.05,8210.8,8047.7,8069.45,-123.25,-1.5,23751256,617.79,12.61,1.83,1.56
CNX Finance,11-01-2013,5219.55,5220.35,5112.6,5125.3,-82.4,-1.58,21260589,1441.81,17.83,3,1.21
CNX FMCG,11-01-2013,14914.35,14935.15,14527.1,14582.75,-364.85,-2.44,17624488,711.76,33.95,11.35,1.37
CNX IT,11-01-2013,6370.4,6654.65,6370.4,6639.85,566.75,9.33,35533400,4176.11,18.1,5.35,1.67
CNX Media,11-01-2013,1819.4,1850.95,1819.4,1824.45,1.5,.08,22312478,256.12,43.62,5.33,.83
CNX Metal,11-01-2013,2907.5,2928.65,2852.2,2859.85,-47.2,-1.62,19322937,518.05,12.19,1.22,1.84
CNX MNC,11-01-2013,5830.1,5841.1,5712.3,5721.6,-101.6,-1.74,13069090,524.37,37.79,4.86,1.19
CNX Pharma,11-01-2013,6129.65,6130.75,6046.3,6056.1,-61,-1,3906427,301.51,44.9,5.26,.77
CNX PSU Bank,11-01-2013,3844.55,3851.2,3760.75,3771.5,-64.65,-1.69,13611545,637.39,8.29,1.41,2.05
CNX Realty,11-01-2013,293.4,294.55,285.85,287.1,-6.15,-2.1,80494226,517.99,30.49,1.14,.45
CNX Consumption,11-01-2013,2366.85,2368.05,2327.05,2332,-34.3,-1.45,58231536,1771.87,26.47,4.06,1.14
CNX Commodities,11-01-2013,2561.4,2563.7,2509.95,2514.75,-45.1,-1.76,67959738,1480.3,14.8,1.67,1.7
CNX Dividend Opportunities,11-01-2013,1772.9,1779.5,1739.45,1743.25,-29.75,-1.68,72103202,1596.76,12.28,2.35,2.43
CNX Infrastructure,11-01-2013,2589.65,2589.65,2543.45,2547.9,-41.5,-1.6,145764314,1190.09,19.3,2.06,1.14
CNX PSE,11-01-2013,3024.7,3028.85,2964.65,2970.25,-55.1,-1.82,39389255,701.14,9.85,1.96,2.67
CNX Service Sector,11-01-2013,7327.05,7348.75,7294.45,7311.45,84.2,1.17,76028631,5929.42,17.44,2.97,1.34
S&P CNX Nifty Shariah,11-01-2013,-,-,-,1268.94,22.02,1.77,51039691,5356.35,18.96,3.58,1.52
S&P CNX 500 Shariah,11-01-2013,-,-,-,1363.24,14.22,1.05,86883025,6207.61,19.64,3.73,1.46
S&P ESG India,11-01-2013,-,-,-,3905.79,-33.52,-.85,-,-,-,-,-
CNX Low Volatility,11-01-2013,-,-,-,4630.81,-33.71,-.72,69049260,5777.3,21,3.34,1.41
CNX Alpha Index,11-01-2013,-,-,-,4797.4,-66.52,-1.37,66431384,2825.63,23.67,4.38,.78
CNX High Beta,11-01-2013,-,-,-,1719.43,-42.03,-2.39,326828576,3112.65,22.04,1.09,1.15
