Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,30-08-2013,5407.45,5493.3,5360.2,5471.8,62.75,1.16,336401705,11431.52,15.77,2.71,1.54
CNX Nifty Junior,30-08-2013,10428.55,10544.7,10351.2,10494.4,103.85,1,119042888,2462.29,12.88,1.95,1.52
CNX 100,30-08-2013,5289.85,5366.05,5245.35,5348.4,60.1,1.14,455444593,13893.81,15.26,2.56,1.54
CNX 200,30-08-2013,2667.9,2704.5,2646.3,2696.3,29.15,1.09,653386027,15377.47,15.05,2.35,1.58
CNX 500,30-08-2013,4134.7,4187.35,4103.35,4175.85,43.05,1.04,724189635,16328.67,15.59,2.21,1.6
NIFTY Midcap 50,30-08-2013,1767.75,1791.8,1746.1,1769.55,3.6,.2,172723030,1513.9,12.31,1.15,1.86
CNX Midcap,30-08-2013,6562.75,6628.45,6510.2,6589.8,39.55,.6,222699616,2457.77,12.71,1.46,1.82
CNX Smallcap,30-08-2013,2617.95,2634.5,2593.55,2613.3,3.15,.12,61901155,255.43,40.19,.92,1.91
CNX Nifty Dividend,30-08-2013,-,-,-,64.36,0,-,-,-,-,-,-
CNX Auto,30-08-2013,4363.65,4363.65,4292.6,4345.6,-1.4,-.03,23261131,1130.66,21.09,4.05,1.6
CNX Bank,30-08-2013,8891.9,9135.55,8846.55,9049.2,144.6,1.62,79306095,4436.79,10.34,1.66,1.93
CNX Energy,30-08-2013,7338.9,7405.9,7196.9,7379.9,40.15,.55,36818913,954.67,9.97,1.59,1.76
CNX Finance,30-08-2013,3820.65,3913.1,3806.75,3890.05,74.1,1.94,155245178,5458.66,12.23,2.14,1.73
CNX FMCG,30-08-2013,16072.1,16391.65,15896.7,16283.05,223.8,1.39,20995005,901.8,34.77,12.21,1.23
CNX IT,30-08-2013,8225.65,8406.65,8196,8382.4,135.5,1.64,33968989,1704.81,21.63,5.98,1.21
CNX Media,30-08-2013,1522,1555.95,1513.45,1549.2,27.3,1.79,9601291,108.45,32.62,4.73,.99
CNX Metal,30-08-2013,1974.4,1988.5,1908.45,1932.55,-40.7,-2.06,65561402,1232.1,10.31,.88,2.65
CNX MNC,30-08-2013,5469.7,5620.2,5440.95,5591.95,97.55,1.78,32210490,819.14,31.16,4.91,1.36
CNX Pharma,30-08-2013,6857.15,7052.75,6794.6,6980.55,131.35,1.92,14717991,860.97,43.51,6.05,.68
CNX PSU Bank,30-08-2013,1947.8,2009.15,1940.3,1990.2,38.95,2,30810130,759.83,4.8,.69,4.29
CNX Realty,30-08-2013,150.35,153.4,146.8,149.55,-.2,-.13,53539200,225.61,26.89,.66,.92
CNX Consumption,30-08-2013,2275.7,2314.35,2254.25,2306,35.95,1.58,64104933,2528.93,25.31,4.04,1.16
CNX Commodities,30-08-2013,1941.2,1947.15,1899.7,1935.55,-8.05,-.41,115908740,2440.91,8.75,1.27,2.24
CNX Dividend Opportunities,30-08-2013,1388.6,1424,1381,1418,29.35,2.11,111909544,2653.25,8.32,1.63,3.24
CNX Infrastructure,30-08-2013,1957.05,1964.1,1922.15,1957.35,1.5,.08,144924554,1290.25,13.14,1.58,1.57
CNX PSE,30-08-2013,2246.95,2265.55,2205.2,2253.8,13.1,.58,56007357,832.17,6.36,1.47,3.53
CNX Service Sector,30-08-2013,6471.8,6608.1,6447.4,6583.7,105.9,1.63,197319390,7362.8,14.56,2.47,1.54
CNX Nifty Shariah,30-08-2013,-,-,-,1333.5,31.42,2.41,40687208,2873.11,18.34,3.27,1.18
CNX 500 Shariah,30-08-2013,-,-,-,1369.32,25.39,1.89,79105803,3686.13,18.97,3.26,1.22
S&P ESG India,30-08-2013,-,-,-,3333.43,27.6,.83,-,-,-,-,-
CNX Low Volatility,30-08-2013,-,-,-,4366.55,53.15,1.23,85651155,4887.64,17.58,3.34,1.56
CNX Alpha Index,30-08-2013,-,-,-,4019,33.39,.84,94779152,3061.14,25.28,3.54,.63
CNX High Beta,30-08-2013,-,-,-,966.32,-2.55,-.26,402518103,6209.88,14.46,.53,2.52
CNX DEFTY,30-08-2013,-,-,-,2847.92,79.72,2.88,-,-,-,-,-
CNX 100 Equal Weight,30-08-2013,-,-,-,6075.04,37.54,.62,455444593,13893.81,11.46,1.72,1.84
LIX 15,30-08-2013,2036.3,2065.5,1994.1,2016.6,-16.05,-.79,211858997,4496.3,10.32,1.19,1.74
