Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,13-08-2013,5600.25,5704.75,5578.9,5699.3,86.9,1.55,222997337,7073.34,16.84,2.82,1.48
CNX Nifty Junior,13-08-2013,10995.7,11245.3,10975.35,11228.9,219.35,1.99,100019621,2285.18,16.8,2.08,1.42
CNX 100,13-08-2013,5493.25,5598.05,5474.65,5593.35,88.95,1.62,323016958,9358.52,16.84,2.68,1.47
CNX 200,13-08-2013,2773.15,2824.55,2764.15,2822.4,44.3,1.59,516399996,10520.59,16.47,2.46,1.51
CNX 500,13-08-2013,4286.75,4363.7,4276.1,4360.65,67.45,1.57,585815376,11037.38,16.75,2.31,1.53
NIFTY Midcap 50,13-08-2013,1801.55,1842.55,1796,1840.65,38.5,2.14,150934371,1381.19,13.37,1.18,1.8
CNX Midcap,13-08-2013,6831.5,6935.25,6821.3,6930.75,103.15,1.51,194193686,1941.95,15.88,1.54,1.73
CNX Smallcap,13-08-2013,2681.65,2725.35,2679,2721.85,43.9,1.64,87561411,326.22,33.13,.96,1.84
CNX Nifty Dividend,13-08-2013,-,-,-,63.48,0,-,-,-,-,-,-
CNX Auto,13-08-2013,4390.25,4495.25,4384.5,4480.6,96.25,2.2,38121449,1120.21,22.03,4.18,1.56
CNX Bank,13-08-2013,9666.55,10007.6,9582.55,9985.65,274.25,2.82,41036174,2348.4,11.34,1.83,1.75
CNX Energy,13-08-2013,7433.75,7581.05,7416.2,7555.8,62.1,.83,27824607,652.39,10.78,1.63,1.72
CNX Finance,13-08-2013,4163.15,4302.8,4119.35,4293.85,119.8,2.87,40247181,2256.41,13.48,2.36,1.56
CNX FMCG,13-08-2013,17229.4,17351,17174.5,17325.35,126.4,.73,19422662,933.95,37.12,12.99,1.16
CNX IT,13-08-2013,7860.1,7989.25,7860.1,7976.25,134.8,1.72,12373892,1009.85,20.83,5.69,1.27
CNX Media,13-08-2013,1623.2,1659.85,1619.55,1659,37.5,2.31,21031253,141.72,35.04,5.07,.93
CNX Metal,13-08-2013,1792.15,1809.5,1777.65,1800.75,-2.15,-.12,50226752,696.54,9.54,.82,2.85
CNX MNC,13-08-2013,5554.05,5629.35,5545.2,5618.45,35.65,.64,26316409,649.97,32.05,4.93,1.35
CNX Pharma,13-08-2013,6994.1,7113.15,6957.7,7101.85,115.85,1.66,13569353,673.94,45.25,6.16,.67
CNX PSU Bank,13-08-2013,2184.05,2226.95,2161,2221.8,22.2,1.01,21645893,905.42,5.29,.77,3.84
CNX Realty,13-08-2013,162.45,169.1,160.9,167.85,8.05,5.04,52073395,327.75,24.31,.74,.82
CNX Consumption,13-08-2013,2400.15,2448.8,2400.05,2446.2,43.55,1.81,57330768,2242.59,27.07,4.28,1.1
CNX Commodities,13-08-2013,1954.25,1978.65,1947.05,1974.8,7.2,.37,96510128,1654.32,11.4,1.3,2.2
CNX Dividend Opportunities,13-08-2013,1475,1497.5,1474.85,1495.8,14.95,1.01,83501179,1433.83,9.92,1.72,3.07
CNX Infrastructure,13-08-2013,2072,2127.65,2063.35,2124.35,35.25,1.69,128448686,1262.42,14.23,1.71,1.45
CNX PSE,13-08-2013,2335.8,2381.45,2335.8,2379.2,18.95,.8,44415117,656.06,8.27,1.55,3.35
CNX Service Sector,13-08-2013,6738.55,6928.35,6705.3,6921.7,168.45,2.49,85285458,3889.92,15.35,2.6,1.46
CNX Nifty Shariah,13-08-2013,-,-,-,1331.5,14.17,1.08,33978329,1666.67,16.9,2.76,1.29
CNX 500 Shariah,13-08-2013,-,-,-,1385.67,16.54,1.21,78000108,2534.12,18.13,2.87,1.3
S&P ESG India,13-08-2013,-,-,-,3408.79,60.58,1.81,-,-,-,-,-
CNX Low Volatility,13-08-2013,-,-,-,4539.57,46.07,1.03,56600129,2971.59,18.14,3.47,1.5
CNX Alpha Index,13-08-2013,-,-,-,4231.17,84.85,2.05,70243770,2435.94,28.29,3.73,.59
CNX High Beta,13-08-2013,-,-,-,1032.36,29.75,2.97,315082023,3490.85,14.38,.57,2.36
CNX DEFTY,13-08-2013,-,-,-,3214.5,16.13,.5,-,-,-,-,-
CNX 100 Equal Weight,13-08-2013,-,-,-,6359.34,99.57,1.59,323016958,9358.52,14.33,1.8,1.76
LIX 15,13-08-2013,2087.45,2163.65,2077.15,2155.15,52.2,2.48,145363664,3275.85,11.14,1.27,1.62
