Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,17-07-2014,7612.7,7655.65,7612.7,7640.45,16.05,0.21,141612002,6753.11,20.62,3.49,1.28
CNX Nifty Junior,17-07-2014,16266.3,16478.9,16266.3,16458.35,178.35,1.1,117510097,3007.82,21.89,2.7,1.13
CNX 100,17-07-2014,7557.25,7606.9,7557.25,7593.95,25.9,0.34,259122099,9760.93,20.8,3.34,1.26
CNX 200,17-07-2014,3887.6,3915.75,3887.6,3910,17.25,0.44,564976009,12910.84,20.77,3.18,1.25
CNX 500,17-07-2014,6140.55,6185.95,6140.55,6179.45,31.55,0.51,760462984,15010.42,21.69,2.99,1.24
NIFTY Midcap 50,17-07-2014,3192.15,3249.05,3192.15,3244.9,49.9,1.56,259967296,3356.37,18.37,1.73,1.16
CNX Midcap,17-07-2014,10914.7,11058.65,10914.7,11048.7,131.95,1.21,276250534,4128.61,19.59,2.42,1.23
CNX Smallcap,17-07-2014,5155.85,5236.05,5147.1,5228.8,76.55,1.49,163037652,1661.49,20.43,1.39,1.31
CNX Nifty Dividend,17-07-2014,-,-,-,61.76,0,-,-,-,-,-,-
CNX Auto,17-07-2014,6935.05,6992.9,6923.95,6981.6,-7.9,-0.11,40819267,1269.39,33.14,5.8,0.91
CNX Bank,17-07-2014,15258.95,15301.95,15156,15269.05,3.6,0.02,26113242,1915.1,16.76,2.46,1.28
CNX Energy,17-07-2014,9636.1,9707.65,9592.9,9689.6,12,0.12,38472918,946.23,13.67,1.92,1.7
CNX Finance,17-07-2014,6257.15,6277.4,6223.15,6252.3,-10.7,-0.17,49897710,2477.79,18.27,2.91,1.27
CNX FMCG,17-07-2014,18046.8,18176.45,18039.45,18142.1,70.35,0.39,11367145,364.07,34.75,12.38,1.37
CNX IT,17-07-2014,9855.95,9982.35,9807.35,9819.75,10.75,0.11,10722355,856.54,20.4,6.11,1.41
CNX Media,17-07-2014,2087.9,2109.55,2080.4,2092.25,6.8,0.33,7223653,120.27,41.65,4.47,0.75
CNX Metal,17-07-2014,3282.5,3370.4,3271.25,3364.25,81.6,2.49,48351735,1316.44,16.84,1.72,1.46
CNX MNC,17-07-2014,7737.8,7819.35,7733.4,7813.9,84.45,1.09,13180168,505.86,43.71,7.33,0.98
CNX Pharma,17-07-2014,8755.1,8847.95,8755.1,8821.85,35.1,0.4,3093426,246.97,43.96,6.91,0.54
CNX PSU Bank,17-07-2014,3614.8,3688.1,3591,3668.35,34.25,0.94,29165325,1040.62,12.29,1.25,1.94
CNX Realty,17-07-2014,257.1,259.5,253.8,254.85,-1.5,-0.59,93453175,671.91,37.28,1.31,0.73
CNX Consumption,17-07-2014,2925.25,2946.55,2925.25,2941.4,5.65,0.19,37663866,1651.4,29.49,4.79,1.04
CNX Commodities,17-07-2014,2972.7,3033.75,2972.7,3029.35,50.3,1.69,97936367,2826.95,16.86,2,1.66
CNX Dividend Opportunities,17-07-2014,2003.45,2029.2,2003.45,2026.7,17.3,0.86,111873305,2412.19,14.52,2.3,2.51
CNX Infrastructure,17-07-2014,3271.6,3329.3,3271.6,3324.65,49.25,1.5,190528965,2692.52,22.47,2.54,1.08
CNX PSE,17-07-2014,3621.35,3669.55,3612.1,3663.55,24.7,0.68,73614530,1325.39,12.43,2.17,2.57
CNX Service Sector,17-07-2014,9259.65,9298,9244.1,9264.4,10.45,0.11,98460048,3973.38,18.32,3.15,1.32
CNX Nifty Shariah,17-07-2014,-,-,-,1659.17,0.14,0.01,16139952,1552.87,19.65,3.74,1.09
CNX 500 Shariah,17-07-2014,-,-,-,1830.89,8.88,0.49,92504914,3291.28,21.95,4.11,1.04
CNX Low Volatility,17-07-2014,-,-,-,5808.34,47.2,0.82,46047141,3088.31,22.25,4.34,1.41
CNX Alpha Index,17-07-2014,-,-,-,6611.52,111.07,1.71,42379537,1531.26,26.9,3.44,0.69
CNX High Beta,17-07-2014,-,-,-,995.41,10.23,1.04,344742067,5592.44,14.63,1.11,1.46
CNX DEFTY,17-07-2014,-,-,-,4402.08,12.92,0.29,-,-,-,-,-
CNX 100 Equal Weight,17-07-2014,-,-,-,9516.3,91.75,0.97,259122099,9760.93,20.26,2.72,1.32
LIX 15,17-07-2014,3573.1,3623.7,3553.85,3616.4,35.85,1,72717946,2747.3,20.6,2.22,0.87
CPSE,17-07-2014,2545.75,2573.95,2542.85,2568.1,8.65,0.34,22355352,788.74,11.31,2.63,2.58
NV 20,17-07-2014,-,-,-,3553.1,-6.1,-0.17,43685075,3314.2,15.76,2.58,1.72
LIX15 Midcap,17-07-2014,-,-,-,2889.68,44.43,1.56,133472512,1914.98,13.63,1.69,1.32
CNX Shariah25,17-07-2014,-,-,-,2653.66,11.41,0.43,17427032,1625.54,21.85,5.22,1.12
India VIX,17-07-2014,14.73,15.18,11.9425,14.97,0.24,1.6,-,-,-,-,-
NI15,17-07-2014,4163.35,4189.65,4160.05,4164.2,-8.25,-0.2,12976385,1511.48,26.32,8.15,1.28
Nifty TR 1X Inverse,17-07-2014,-,-,-,446.53,-0.97,-0.22,-,-,-,-,-
Nifty TR 2X Leverage,17-07-2014,-,-,-,3698.14,16.78,0.46,-,-,-,-,-
GSEC10 NSE Index,17-07-2014,-,-,-,1239.21,-0.22,-0.02,-,-,-,-,-
GSECBM NSE Index,17-07-2014,-,-,-,1193.63,-0.71,-0.06,-,-,-,-,-
