Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,24-02-2015,8772.9,8800.5,8726.75,8762.1,7.15,.08,154368611,7413.31,23.43,3.72,1.26
CNX Nifty Junior,24-02-2015,19573.2,19577.45,19407.2,19527.2,-14.25,-.07,83688346,3201.17,20.91,2.96,.97
CNX 100,24-02-2015,8766.55,8787.4,8718.45,8754.2,5.05,.06,238056957,10614.48,23,3.58,1.21
CNX 200,24-02-2015,4531.2,4539.9,4505.65,4523.05,1.25,.03,577397761,13918.33,23.43,3.43,1.26
CNX 500,24-02-2015,7162.55,7171.45,7123.2,7146.6,-.95,-.01,741277539,15717.58,24.56,3.27,1.25
NIFTY Midcap 50,24-02-2015,3405.5,3411.75,3372.7,3393.2,-8,-.24,184927344,2210.82,15.6,1.82,1.2
CNX Midcap,24-02-2015,13098.15,13101.9,12984,13022.95,-48,-.37,242124004,3755.02,21.24,2.52,1.5
CNX Smallcap,24-02-2015,5657.8,5681.35,5625.1,5644.35,6.6,.12,196807851,1860.49,75.31,1.49,1.49
CNX Nifty Dividend,24-02-2015,-,-,-,101.85,0,-,-,-,-,-,-
CNX Auto,24-02-2015,8830.85,8831.15,8727.7,8777.7,-26.45,-.3,32087371,1282.21,54.45,6.7,.8
CNX Bank,24-02-2015,18940.45,19022.15,18737.75,18883.8,-29.6,-.16,59152218,2395.76,19.53,2.93,.96
CNX Energy,24-02-2015,8571.25,8579.95,8432.5,8470,-81.45,-.95,34391374,1030.83,12.35,1.59,2.05
CNX Finance,24-02-2015,7778.95,7802.45,7714.8,7757.95,-9.05,-.12,60648966,2718.31,21.55,3.41,1
CNX FMCG,24-02-2015,21982.8,22278.05,21885.1,22231.85,328.9,1.5,20594141,639.78,38.62,14.23,1.31
CNX IT,24-02-2015,12572.25,12644.1,12514.65,12566.2,34.9,.28,14110110,1417.36,22.7,7.11,1.14
CNX Media,24-02-2015,2270.55,2301.9,2263.75,2295.6,28.7,1.27,8191867,110.42,54.88,5.44,.81
CNX Metal,24-02-2015,2609.2,2611.2,2563.9,2568.8,-32.4,-1.25,31103434,706.75,14.9,1.29,3.81
CNX MNC,24-02-2015,9935,9968.75,9893.7,9955.65,53.1,.54,7739362,667.47,41.89,7.03,.97
CNX Pharma,24-02-2015,11645.3,11703.95,11618.1,11663.85,23.05,.2,5580303,615.1,48.04,8.04,.56
CNX PSU Bank,24-02-2015,3810.3,3822.9,3737.85,3784.05,-22.1,-.58,51391854,1014.93,12.27,1.18,1.54
CNX Realty,24-02-2015,229.7,232.5,228.05,229.1,1,.44,95970066,532.07,31.04,1.12,.88
CNX Consumption,24-02-2015,3422.4,3434.05,3417.7,3430.25,13.7,.4,44873034,1818.15,28.93,5.08,1
CNX Commodities,24-02-2015,2765,2767.55,2725.05,2734.25,-26.05,-.94,74213885,2062.36,14.98,1.66,2.42
CNX Dividend Opportunities,24-02-2015,2118.65,2121.9,2106.2,2114.4,1.15,.05,103661949,2574.55,14.07,2.19,2.93
CNX Infrastructure,24-02-2015,3222.65,3245.4,3213.6,3239.15,20.3,.63,103931623,1598.95,20.62,2.27,1.09
CNX PSE,24-02-2015,3596.6,3604.1,3558.5,3572.8,-11.55,-.32,49747364,1270.42,12.71,2.04,3.38
CNX Service Sector,24-02-2015,11273.75,11316.4,11204.5,11256,-.45,0,114935368,4775,20.69,3.59,1.09
CNX Nifty Shariah,24-02-2015,-,-,-,1853.37,1.87,.1,28133170,2121.99,19.68,3.13,1.01
CNX 500 Shariah,24-02-2015,-,-,-,2145.29,-.52,-.02,88788634,4286.66,23.4,3.81,.92
CNX Low Volatility,24-02-2015,-,-,-,7302.83,1.97,.03,58555847,4676.46,25.45,4.65,1.27
CNX Alpha Index,24-02-2015,-,-,-,8706.57,-14.69,-.17,66392661,2421.55,27.94,4.79,1.81
CNX High Beta,24-02-2015,-,-,-,1847.05,-2.86,-.15,255882173,4212.67,14.87,.95,1.4
CNX DEFTY,24-02-2015,-,-,-,4875.19,-3.22,-.07,-,-,-,-,-
CNX 100 Equal Weight,24-02-2015,-,-,-,10762.4,-19.62,-.18,238056957,10614.48,19.54,2.49,1.32
LIX 15,24-02-2015,3973,3974,3923.75,3943.7,-23.1,-.58,71679982,2425.06,20.9,2.06,1
CPSE,24-02-2015,2454.5,2460.6,2413.35,2420.35,-24.15,-.99,20123200,809.63,13.24,2.44,3.94
NV 20,24-02-2015,-,-,-,3877.45,-4.81,-.12,78889367,3633.01,16.36,2.6,1.56
LIX15 Midcap,24-02-2015,-,-,-,3166.11,38.43,1.23,101379117,1162.9,11.9,1.7,1.4
CNX Shariah25,24-02-2015,-,-,-,3259.44,17.63,.54,24012705,2316.28,25.91,5.4,.96
India VIX,24-02-2015,21.6325,22.0675,20.9175,21.55,-.08,-.38,-,-,-,-,-
NI15,24-02-2015,5201.6,5242.35,5189.9,5222.05,28.8,.55,18113533,2060.38,30.94,9.57,1.08
NIFTY TR 1X Inverse,24-02-2015,401.55,403.65,400.3,402.05,-.25,-.06,-,-,-,-,-
NIFTY TR 2X Leverage,24-02-2015,4649.55,4678.3,4601.4,4638.1,6.55,.14,-,-,-,-,-
NIFTY PR 1X Inverse,24-02-2015,429.8,432.05,428.45,430.35,-.25,-.06,-,-,-,-,-
NIFTY PR 2x Leverage,24-02-2015,4061.35,4086.45,4019.25,4051.3,5.7,.14,-,-,-,-,-
GSEC10 NSE Index,24-02-2015,-,-,-,1383.56,-1.33,-.1,-,-,-,-,-
GSECBM NSE Index,24-02-2015,-,-,-,1325.09,-.97,-.07,-,-,-,-,-
