Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,17-12-2013,6178.2,6190.55,6133,6139.05,-15.65,-.25,154174701,5676.19,18.23,2.91,1.52
CNX Nifty Junior,17-12-2013,12345.8,12392.65,12303.55,12314.4,33.2,.27,58824916,1628.8,15.18,2.21,1.46
CNX 100,17-12-2013,6076.4,6089.6,6036.05,6041.4,-10.55,-.17,212999617,7304.99,17.68,2.78,1.51
CNX 200,17-12-2013,3076.8,3083.8,3056.5,3059.25,-5.2,-.17,389184984,9391.22,17.61,2.57,1.55
CNX 500,17-12-2013,4774.8,4786.25,4745.2,4748.5,-7.5,-.16,473504130,10121.29,18.36,2.39,1.55
NIFTY Midcap 50,17-12-2013,2177.8,2185.35,2154,2157.5,-7.7,-.36,141708004,1811.26,12.05,1.23,1.79
CNX Midcap,17-12-2013,7674.6,7698,7619.95,7626.8,-10.25,-.13,163190522,2511.37,14.02,1.62,1.82
CNX Smallcap,17-12-2013,3181.45,3208,3163.1,3166.8,-1.3,-.04,83300900,548.07,41.96,.89,1.9
CNX Nifty Dividend,17-12-2013,-,-,-,83.54,0,-,-,-,-,-,-
CNX Auto,17-12-2013,5180.55,5214,5132.35,5140.85,-9.85,-.19,50212283,960.19,27.23,4.37,1.26
CNX Bank,17-12-2013,11412.7,11418.1,11178,11208.65,-164.3,-1.44,25523667,1544.3,12.94,1.93,1.64
CNX Energy,17-12-2013,7669.1,7691.15,7584.25,7598,-58.1,-.76,31455729,572.03,10.99,1.56,2.14
CNX Finance,17-12-2013,4737.7,4739.85,4641.35,4649.1,-74.2,-1.57,33617059,1665.55,14.51,2.32,1.6
CNX FMCG,17-12-2013,16582.2,16631.65,16490.7,16612.2,110.35,.67,11970703,545.29,34.52,11.13,1.65
CNX IT,17-12-2013,9126.1,9197.35,9109.05,9119.35,9.1,.1,13732673,1329.84,22.67,6.37,1.13
CNX Media,17-12-2013,1747.1,1776.95,1735.1,1753.7,9.3,.53,6785436,108.01,32.16,4.01,1.07
CNX Metal,17-12-2013,2412.3,2422.9,2398.7,2402.65,1.6,.07,29051898,664.38,15,1.25,1.99
CNX MNC,17-12-2013,6001.15,6047.65,6001.15,6013.1,36.2,.61,23108934,687.64,37.95,5.57,1.61
CNX Pharma,17-12-2013,7357.4,7459.45,7350.9,7442.55,128.8,1.76,11606537,649.09,47.93,5.87,.67
CNX PSU Bank,17-12-2013,2470.5,2476.55,2415.1,2421.25,-24.7,-1.01,19165029,650.6,6.52,.79,3.77
CNX Realty,17-12-2013,173.4,174.45,170.8,171.25,-1,-.58,39573964,186.36,28.42,.81,.92
CNX Consumption,17-12-2013,2512.95,2532.75,2512.55,2519.95,15.7,.63,38080000,1398.08,26.8,4.21,1.33
CNX Commodities,17-12-2013,2236.55,2241.7,2218.8,2220.75,-9.05,-.41,58493181,1341.33,11.39,1.48,2.26
CNX Dividend Opportunities,17-12-2013,1562.45,1565.3,1549.3,1550.3,-5.65,-.36,59310250,1340.85,10.52,1.89,3.5
CNX Infrastructure,17-12-2013,2420.45,2438,2415.3,2419.45,11.55,.48,98946225,1081.79,16.82,1.85,1.49
CNX PSE,17-12-2013,2543.05,2551.8,2521.35,2523.8,-16.65,-.66,42918810,602.37,8.13,1.51,3.74
CNX Service Sector,17-12-2013,7613.45,7631.25,7533.5,7540.7,-53.7,-.71,84074356,3681.57,16.37,2.72,1.46
CNX Nifty Shariah,17-12-2013,-,-,-,1387.38,4.42,.32,23550471,1617.73,18.55,3.3,1.32
CNX 500 Shariah,17-12-2013,-,-,-,1470.2,4.56,.31,64327501,2706.21,19.59,3.52,1.29
CNX Low Volatility,17-12-2013,-,-,-,4628.45,-4.71,-.1,54778749,2559.47,18.57,2.71,1.67
CNX Alpha Index,17-12-2013,-,-,-,4766.09,6.49,.14,56098299,2704.96,28.07,4.04,.65
CNX High Beta,17-12-2013,-,-,-,1252.84,-7.04,-.56,197317227,2658.34,14.26,.72,2.33
CNX DEFTY,17-12-2013,-,-,-,3433.26,-.74,-.02,-,-,-,-,-
CNX 100 Equal Weight,17-12-2013,-,-,-,7096.22,2.12,.03,212999617,7304.99,12.95,1.84,1.87
LIX 15,17-12-2013,2592.15,2602.85,2565.05,2570.85,-1.85,-.07,68412984,1828.01,13.52,1.41,1.56
