Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,02-12-2013,6171.15,6228.7,6171.15,6217.85,41.75,.68,145948276,5294.15,18.51,2.95,1.5
CNX Nifty Junior,02-12-2013,12392.55,12490.35,12392.55,12453.65,90.25,.73,64295686,1605.75,15.19,2.23,1.44
CNX 100,02-12-2013,6074.05,6128.3,6074.05,6117.55,41.6,.68,210243962,6899.9,17.91,2.81,1.49
CNX 200,02-12-2013,3075.6,3102.85,3075.6,3097.55,21.65,.7,379757527,8166.69,17.85,2.6,1.53
CNX 500,02-12-2013,4770.85,4812.4,4770.85,4804.4,34.3,.72,498158889,9176.68,18.55,2.42,1.54
NIFTY Midcap 50,02-12-2013,2184.05,2200.1,2183,2192.2,14.3,.66,138685754,1288.02,12.06,1.24,1.76
CNX Midcap,02-12-2013,7703.95,7756,7703.95,7735,52.6,.68,142155006,1708.44,14.13,1.64,1.8
CNX Smallcap,02-12-2013,3194.6,3228.2,3194.6,3220.2,36.3,1.14,119615001,769.43,42.68,.9,1.87
CNX Nifty Dividend,02-12-2013,-,-,-,80.83,0,-,-,-,-,-,-
CNX Auto,02-12-2013,5269.7,5323.85,5269.7,5310.95,27.8,.53,21488771,733.87,28.17,4.51,1.22
CNX Bank,02-12-2013,11180.3,11347.45,11180.3,11284.35,130.4,1.17,25882581,1568.06,13.03,1.94,1.63
CNX Energy,02-12-2013,7758.65,7809.95,7758.65,7782.1,-16.95,-.22,28454237,584.69,11.26,1.6,2.09
CNX Finance,02-12-2013,4696.1,4763.7,4696.1,4738.9,46.6,.99,27277983,1506.89,14.71,2.36,1.57
CNX FMCG,02-12-2013,17036.35,17098.75,16949.15,17013.5,9.5,.06,8900581,459.29,35.34,11.39,1.61
CNX IT,02-12-2013,8804.9,8881.95,8804.9,8854,33.25,.38,8941068,716.28,21.96,6.18,1.17
CNX Media,02-12-2013,1694.2,1728.25,1694.05,1719.85,31.3,1.85,6865676,130.44,31.49,3.93,1.09
CNX Metal,02-12-2013,2345.85,2383.15,2345.85,2374.1,28.1,1.2,32302905,736.39,15.32,1.24,2.02
CNX MNC,02-12-2013,5971.05,5994.75,5944.1,5953.85,1.05,.02,19995467,617.93,40.06,5.51,1.63
CNX Pharma,02-12-2013,7363.45,7516.15,7363.45,7502.1,150.3,2.04,10656834,594.92,48.52,5.91,.67
CNX PSU Bank,02-12-2013,2515.7,2552.9,2508.5,2517.65,12.2,.49,21102414,729.08,6.77,.82,3.63
CNX Realty,02-12-2013,174.9,176.95,174.15,175.25,1,.57,57975155,248.12,29.08,.83,.9
CNX Consumption,02-12-2013,2542.3,2554.2,2541,2549.2,10.85,.43,29904182,1257.81,26.87,4.24,1.31
CNX Commodities,02-12-2013,2245.9,2262.9,2245.9,2255.05,5.65,.25,63064568,1455.66,11.65,1.5,2.23
CNX Dividend Opportunities,02-12-2013,1580.45,1592.65,1580.45,1585.15,2.35,.15,62084791,1256.22,10.69,1.92,3.43
CNX Infrastructure,02-12-2013,2426.7,2461.7,2426.7,2458.3,30.7,1.26,109279673,1242.57,17.11,1.85,1.46
CNX PSE,02-12-2013,2593.8,2614.9,2591.8,2609.65,-6.05,-.23,45589725,642,8.41,1.56,3.62
CNX Service Sector,02-12-2013,7494.9,7581.65,7494.9,7555,60.95,.81,71035486,2964.85,16.39,2.72,1.46
CNX Nifty Shariah,02-12-2013,-,-,-,1399.01,6.6,.47,22536713,1245.98,18.7,3.33,1.31
CNX 500 Shariah,02-12-2013,-,-,-,1479.72,7.41,.5,56876872,1964.38,19.72,3.55,1.29
CNX Low Volatility,02-12-2013,-,-,-,4709.97,15.53,.33,36316000,1841.72,18.93,2.76,1.64
CNX Alpha Index,02-12-2013,-,-,-,4798.43,56.79,1.2,39946803,1855.75,28.23,4.05,.64
CNX High Beta,02-12-2013,-,-,-,1302.51,18.84,1.47,243554466,3170.53,15.32,.75,2.25
CNX DEFTY,02-12-2013,-,-,-,3462.36,32.56,.95,-,-,-,-,-
CNX 100 Equal Weight,02-12-2013,-,-,-,7202.44,58.18,.81,210243962,6899.9,13.06,1.87,1.84
LIX 15,02-12-2013,2605.2,2638.15,2605.2,2628.6,24.95,.96,81305318,2273.47,13.68,1.43,1.53
