Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
S&P CNX Nifty,06-03-2012,5266,5382.05,5206.4,5222.4,-57.95,-1.1,290396014,9319.01,18.51,2.96,1.52
CNX Nifty Junior,06-03-2012,10234,10436.7,10137.6,10159.65,-73.9,-.72,131317669,2252.12,15.43,2.27,1.52
CNX 100,06-03-2012,5158.55,5269.55,5102.95,5116.7,-53.65,-1.04,421713683,11571.13,17.94,2.82,1.52
CNX 200,06-03-2012,2668.5,2724.65,2638.55,2645.35,-28.7,-1.07,688893355,13234.46,18.21,2.64,1.53
S&P CNX 500,06-03-2012,4187.6,4270.45,4140.85,4151.4,-44.05,-1.05,806155511,14293.37,18.06,2.51,1.55
NIFTY Midcap 50,06-03-2012,2269.9,2317.6,2234.9,2239.95,-30.35,-1.34,242231652,1709.99,17.82,1.48,1.59
CNX Midcap,06-03-2012,7527.95,7670.1,7453.25,7468,-61.5,-.82,334231736,2475.07,17.54,1.86,1.76
CNX Smallcap,06-03-2012,3319.2,3357.35,3273.6,3279.7,-37.7,-1.14,60115838,659.71,16.52,1.68,1.32
S&P CNX Nifty Dividend,06-03-2012,-,-,-,74.39,0,-,-,-,-,-,-
CNX Auto,06-03-2012,4081.85,4177.2,4049.2,4066.9,-22.9,-.56,28402894,926.66,20.18,3.91,2.02
CNX Bank,06-03-2012,10149.8,10438,10020.45,10058.15,-120.7,-1.19,26227151,2509.93,15.01,2.28,1.33
CNX Energy,06-03-2012,7995.5,8102,7824.75,7840.05,-153.1,-1.92,52667134,1367.43,15.27,1.95,1.48
CNX Finance,06-03-2012,4097.65,4204.8,4052.6,4064.1,-45.8,-1.11,55509824,3384.46,17.19,2.71,1.31
CNX FMCG,06-03-2012,10471.45,10673.4,10424.1,10574.9,80.35,.77,18510909,528.96,28.04,9.39,1.82
CNX IT,06-03-2012,6456.2,6594,6442.6,6511.7,40.3,.62,12514970,707.82,20.85,5.85,1.78
CNX Media,06-03-2012,1280.7,1295.6,1259.9,1263.15,-16.35,-1.28,11322028,84.35,49.65,3.7,1.26
CNX Metal,06-03-2012,3093.9,3159.65,2968.1,2981.1,-126.65,-4.08,60721202,1392.4,11.67,1.42,1.48
CNX MNC,06-03-2012,5091.8,5168.9,5051.65,5058.65,-49.35,-.97,22660766,554.27,33.16,3.87,1.2
CNX Pharma,06-03-2012,4838.95,4900.05,4808.8,4823,-12.75,-.26,5140169,241.49,46.86,4.23,1.27
CNX PSU Bank,06-03-2012,3463.45,3594.55,3411.05,3438.2,-44.15,-1.27,14962063,1233.85,9.2,1.54,2.18
CNX Realty,06-03-2012,238.4,249.55,234,236.6,-2.45,-1.02,80448056,803.12,18.86,1.08,.63
CNX Consumption,06-03-2012,1875.65,1904.1,1856.05,1859.5,-19.6,-1.04,79686171,2143.04,22.11,3.46,1.58
CNX Commodities,06-03-2012,2553.45,2592.5,2485.65,2491.75,-65.25,-2.55,139320488,3454.79,15.83,1.8,1.59
CNX Dividend Opportunities,06-03-2012,1518.1,1547.4,1506.1,1513.55,-6.35,-.42,63120353,1517.04,13.06,2.73,2.64
CNX Infrastructure,06-03-2012,2567.9,2630.35,2506.7,2513.3,-65.75,-2.55,242711492,2663.38,18.61,2.16,1.15
CNX PSE,06-03-2012,2983.5,3054.95,2957.95,2970.45,-16.05,-.54,39870101,841.75,16.17,2.17,2.39
CNX Service Sector,06-03-2012,6449.55,6593.1,6382.2,6408.3,-57.65,-.89,130710305,5301.26,17.9,2.91,1.42
S&P CNX Nifty Shariah,06-03-2012,-,-,-,1193,-9.13,-.76,60776619,2746.87,18.19,3.5,1.64
S&P CNX 500 Shariah,06-03-2012,-,-,-,1242.74,-7.64,-.61,99257786,3606.47,18.71,3.64,1.56
S&P ESG India,06-03-2012,-,-,-,3626.05,-65.26,-1.77,-,-,-,-,-
