Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,04-12-2015,7817.6,7821.4,7775.7,7781.9,-82.25,-1.05,157231681,7758.36,21.04,3.13,1.46
Nifty Next 50,04-12-2015,19594,19666.9,19513.2,19540,-158.05,-.8,127361679,2624.7,21.66,2.78,1.66
Nifty 100,04-12-2015,7955.8,7960.6,7916.8,7921.8,-80.5,-1.01,284593360,10383.06,21.14,3.06,1.5
Nifty 200,04-12-2015,4132.15,4135.35,4111.55,4113.95,-42.2,-1.02,634055956,12875.06,22.11,2.93,1.45
Nifty 500,04-12-2015,6612.8,6618.1,6581.9,6584.9,-64.6,-.97,803088567,14480.8,23.08,2.82,1.42
Nifty Midcap 50,04-12-2015,3374.95,3395.85,3349.85,3356,-35,-1.03,286944120,1929.4,21.3,1.32,2.3
Nifty Midcap 100,04-12-2015,13215.85,13276.8,13174.45,13190.9,-96.5,-.73,265268603,3499.76,26.93,2.25,1.48
Nifty Smallcap 100,04-12-2015,5548.55,5551.1,5465.9,5474,-95.9,-1.72,273275490,1281.95,23.66,1.07,1.38
Nifty50 Dividend Points,04-12-2015,-,-,-,95.23,0,-,-,-,-,-,-
Nifty Auto,04-12-2015,8286.1,8309.35,8228.85,8240.7,-93.95,-1.13,40924540,1524.07,41.4,6.27,.79
Nifty Bank,04-12-2015,17009.45,17009.45,16880.35,16897.3,-212.8,-1.24,47280436,1522.98,17.65,2.39,1.15
Nifty Energy,04-12-2015,8232.75,8262.15,8164.85,8171.7,-106.55,-1.29,17698869,655.71,12.31,1.47,1.86
Nifty Financial Services,04-12-2015,6962.8,6962.8,6890.85,6899.1,-106,-1.51,42124463,1772.8,18.32,2.89,1.2
Nifty FMCG,04-12-2015,20235.55,20249.25,20053.65,20087.85,-258.75,-1.27,14595596,694.86,37.27,11.82,1.43
Nifty IT,04-12-2015,11034.65,11037.95,10940.3,10969.05,-112.85,-1.02,10062731,975.55,19.09,5.96,2.42
Nifty Media,04-12-2015,2446.4,2448.8,2390.55,2394.9,-63.05,-2.57,21786231,295.88,45.99,5.78,.77
Nifty Metal,04-12-2015,1768.85,1791.1,1763.85,1776.95,-2.6,-.15,38449605,544.79,14.33,.67,3.89
Nifty MNC,04-12-2015,9395.1,9433.15,9372,9383.75,-41.35,-.44,12092379,678.39,40.66,6.93,1.72
Nifty Pharma,04-12-2015,11524.7,11812.7,11489.75,11645.05,57.75,.5,31236514,2492.72,58.99,6.26,.52
Nifty PSU Bank,04-12-2015,3093.1,3095.65,3064.5,3085.15,-25.5,-.82,35471844,596.68,12.61,.95,1.86
Nifty Realty,04-12-2015,173.15,173.95,171.85,172.15,-2.55,-1.46,37712027,172.93,30.29,.8,.86
Nifty India Consumption,04-12-2015,3524.9,3527.45,3504,3508,-35.5,-1,98472316,2356.03,29.78,4.87,1.1
Nifty Commodities,04-12-2015,2367.2,2379.3,2360.65,2362.45,-18.25,-.77,67735565,1571.17,14.72,1.41,2.58
Nifty Dividend Opportunities 50,04-12-2015,1888.55,1893.1,1879.5,1880.8,-18.1,-.95,78557321,1613.32,14.24,1.95,2.95
Nifty Infrastructure,04-12-2015,2712.85,2726.15,2694.05,2697.4,-31.85,-1.17,267196701,1636.43,19.15,1.77,1.17
Nifty PSE,04-12-2015,3059.1,3073.2,3039.95,3043.85,-32.5,-1.06,35819438,647.93,11.48,1.62,3.25
Nifty Services Sector,04-12-2015,10075.5,10075.5,9994,10002.7,-135.8,-1.34,140387575,3820.67,17.87,3.02,1.5
Nifty50 Shariah,04-12-2015,-,-,-,1779.99,-13.17,-.73,27801755,1923.76,18.78,2.61,1.56
Nifty500 Shariah,04-12-2015,-,-,-,2119.79,-14.09,-.66,100775830,3975.44,21.74,3.25,1.27
Nifty Low Volatility 50,04-12-2015,-,-,-,7325.49,-54.11,-.73,81339924,5888.04,24.18,4.21,1.8
Nifty Alpha 50,04-12-2015,-,-,-,9280.06,-62.91,-.67,72243706,1901.26,44.01,5.66,.87
Nifty High Beta 50,04-12-2015,-,-,-,1528.24,-26.99,-1.74,410409969,3970.32,20.5,.73,1.62
Nifty50 USD,04-12-2015,-,-,-,4034.35,-48.24,-1.18,-,-,-,-,-
