Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,23-12-2015,7830.45,7871.45,7826.1,7865.95,79.85,1.03,121480721,4663.45,21.27,3.15,1.47
Nifty Next 50,23-12-2015,19741.45,19793.5,19718.3,19769.5,101.2,.51,53632206,1508.67,21.91,2.81,1.64
Nifty 100,23-12-2015,7976.6,8012.8,7974.6,8008.65,74.6,.94,175112927,6172.11,21.38,3.09,1.5
Nifty 200,23-12-2015,4142.85,4160,4142.4,4157.95,37.15,.9,366888274,8202.68,22.37,2.96,1.45
Nifty 500,23-12-2015,6630.3,6656.45,6630.3,6652.75,56.9,.86,529647513,10042.13,23.34,2.84,1.42
Nifty Midcap 50,23-12-2015,3337.9,3349.15,3327.9,3337.1,17.8,.54,118775618,1219.71,21.18,1.29,2.31
Nifty Midcap 100,23-12-2015,13285.35,13317.55,13266.2,13282.55,54.4,.41,153288809,2454.14,27.12,2.24,1.47
Nifty Smallcap 100,23-12-2015,5558,5586.35,5545.55,5550.6,29.6,.54,148334510,1130.08,24.62,1.09,1.37
Nifty50 Dividend Points,23-12-2015,-,-,-,95.23,0,-,-,-,-,-,-
Nifty Auto,23-12-2015,8136.15,8148.4,8104.9,8111,11.35,.14,15413335,705.01,40.75,6.17,.8
Nifty Bank,23-12-2015,16828.35,16913.15,16812.5,16882.5,133.3,.8,37200425,1077.83,17.65,2.39,1.15
Nifty Energy,23-12-2015,8364,8465.4,8364,8458.45,132.95,1.6,18750785,735.18,12.74,1.52,1.79
Nifty Financial Services,23-12-2015,6982.1,7015.6,6978.5,7006.25,52.65,.76,30926471,1166.16,18.62,2.94,1.19
Nifty FMCG,23-12-2015,20008.3,20090.35,19939.9,19983.25,79.1,.4,8621382,381.77,37.09,11.76,1.44
Nifty IT,23-12-2015,11163.8,11206.4,11130.65,11195.65,100.2,.9,4638075,456.29,19.48,5.94,2.6
Nifty Media,23-12-2015,2526.9,2538.65,2513.3,2534.9,18.9,.75,21063363,207.29,48.68,6.12,.73
Nifty Metal,23-12-2015,1799.8,1824.35,1799.8,1820.75,39.15,2.2,42100944,572.07,14.68,.68,3.8
