Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,12-11-2023,19547.25,19547.25,19510.25,19525.55,100.2,.52,37311902,2482.27,21.05,3.43,1.4
Nifty Next 50,12-11-2023,46070.3,46090.1,45897.1,45942.95,218.75,.48,40475360,1082.48,22.31,3.71,1.63
Nifty 100,12-11-2023,19571.2,19571.2,19528.55,19544.45,99.65,.51,78027613,3575.48,21.37,3.49,1.41
Nifty 200,12-11-2023,10527.5,10527.95,10504.3,10512.75,55.2,.53,254030423,5692.89,21.56,3.46,1.34
Nifty 500,12-11-2023,17380.5,17384.15,17347.45,17361.1,104.5,.61,423507814,9366.9,22.11,3.49,1.3
Nifty Midcap 50,12-11-2023,11703.2,11710,11683.7,11691.15,77.4,.67,93283621,1165.46,19.56,3.16,1.16
NIFTY Midcap 100,12-11-2023,41048.35,41091.4,40951.8,40982.85,249.8,.61,176002810,2117.41,22.63,3.28,.95
NIFTY Smallcap 100,12-11-2023,13508.8,13560.05,13504.35,13517.7,152.5,1.14,90245030,1953.93,25.77,3.32,1.07
Nifty50 Dividend Points,12-11-2023,-,-,-,177.77,0.0,-,-,-,-,-,-
Nifty Auto,12-11-2023,16440.85,16440.85,16364.55,16377.05,90.35,.55,7184954,408.42,23.14,4.66,1.04
Nifty Bank,12-11-2023,44054.5,44056,43916.6,43996.65,176.55,.4,26541813,876.91,15.09,2.56,.84
Nifty Energy,12-11-2023,27999.75,28055,27916.45,27957.25,219.25,.79,26682523,809.19,10.14,1.82,3.06
Nifty Financial Services,12-11-2023,19676.05,19677.7,19625.55,19657.25,86.2,.44,17063464,1098.37,17.08,3.07,.84
Nifty FMCG,12-11-2023,52376.1,52397.55,52200.25,52258.5,182.45,.35,2638097,238.68,42.56,10.91,1.89
Nifty IT,12-11-2023,30852.15,30911.65,30820.95,30861.0,221.95,.72,2066938,246.37,25.98,6.72,2.62
Nifty Media,12-11-2023,2244.05,2257.3,2243.25,2248.2,15.75,.71,11031134,95.6,-,2.41,.42
Nifty Metal,12-11-2023,6707.35,6708.95,6682.1,6689.55,43.5,.65,36542737,751.38,30.61,2.01,3.18
Nifty MNC,12-11-2023,22224,22256.85,22165.6,22183.1,106.5,.48,6912436,357.25,39.34,7.85,2.28
Nifty Pharma,12-11-2023,15576.45,15599.75,15539.85,15562.65,46.15,.3,4094864,245.29,31.9,4.24,.84
Nifty PSU Bank,12-11-2023,5065.15,5065.2,5036.6,5044.7,19.2,.38,25733552,312.72,7.1,1.15,2.12
Nifty Realty,12-11-2023,668.25,669.35,664.8,666.15,4.05,.61,5084134,280.71,44.05,4.24,.32
Nifty India Consumption,12-11-2023,8627.25,8627.4,8593.7,8600.1,34.65,.4,7612420,682.8,40.56,7.38,1.13
Nifty Commodities,12-11-2023,6556.05,6557.1,6528.55,6538.05,35.5,.55,50174614,1333.68,13.43,1.9,2.43
Nifty Dividend Opportunities 50,12-11-2023,4667.95,4670.35,4660.25,4664.1,34.3,.74,82280868,2304.18,15.07,2.89,3.36
Nifty Infrastructure,12-11-2023,6351.2,6351.55,6334.7,6340.35,30.8,.49,24353240,867.09,17.26,2.51,1.38
Nifty PSE,12-11-2023,6350.1,6361.7,6330.75,6338.35,58.8,.94,60667556,1298.76,7.92,1.65,3.83
Nifty Services Sector,12-11-2023,24859.9,24872.05,24817.9,24842.45,126.95,.51,17417711,1260.24,20.25,3.65,1.38
Nifty50 Shariah,12-11-2023,-,-,-,4109.24,28.96,.71,20485541,883.29,26.17,4.39,2.32
Nifty500 Shariah,12-11-2023,-,-,-,5712.85,40.67,.72,127333152,3391.31,29.46,4.64,1.61
Nifty Low Volatility 50,12-11-2023,-,-,-,18611.68,73.73,.4,23783115,1625.08,23.52,4.06,1.67
Nifty Alpha 50,12-11-2023,37625.65,37678.35,37577.5,37615.85,329.2,.88,80962764,1378.72,15.64,2.34,1.26
Nifty High Beta 50,12-11-2023,-,-,-,2906.25,19.03,.66,100364695,1712.12,17.15,1.93,1.72
Nifty100 Equal Weight,12-11-2023,23444.45,23446.15,23359.65,23381.85,111.9,.48,78027613,3575.48,21.25,3.53,1.55
Nifty100 Liquid 15,12-11-2023,5295.3,5295.3,5274.7,5279.45,18.85,.36,10567018,806.98,23.26,3.01,.9
Nifty CPSE,12-11-2023,4090.2,4099,4067,4074.35,38.25,.95,31722465,639.21,9.76,1.73,4.79
Nifty50 Value 20,12-11-2023,10297.45,10303.65,10279.45,10288.1,68.5,.67,25435704,922.31,19.2,3.41,3.02
Nifty Midcap Liquid 15,12-11-2023,9720.7,9730.8,9701.95,9714.45,69.3,.72,23829330,487.25,18.1,2.79,.97
Nifty Shariah 25,12-11-2023,-,-,-,6695.85,41.12,.62,18863352,849.98,24.15,4.24,2.15
India VIX,12-11-2023,11.1075,11.54,9.7525,11.35,0.24,2.16,-,-,-,-,-
Nifty Growth Sectors 15,12-11-2023,9829.4,9837,9812.9,9824.4,59.55,.61,6176937,511.15,30.31,7.48,2.14
