Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,19-03-2013,5859.5,5863.6,5724.3,5745.95,-89.3,-1.53,182311867,8255.03,17.76,3.04,1.44
CNX Nifty Junior,19-03-2013,11635.9,11678.35,11375.65,11398.75,-236.9,-2.04,86815541,1805.38,17.1,2.13,1.39
CNX 100,19-03-2013,5757.3,5761.8,5632.75,5644.9,-92.15,-1.61,269127408,10060.41,17.66,2.86,1.43
CNX 200,19-03-2013,2946.35,2949.65,2883.9,2889.7,-47.25,-1.61,511523109,11660.84,17.45,2.65,1.45
CNX 500,19-03-2013,4586.1,4587.45,4492.2,4500.85,-71.8,-1.57,624037871,12655.94,17.33,2.48,1.46
NIFTY Midcap 50,19-03-2013,2063.75,2075.65,2010.15,2014.7,-48.95,-2.37,194411317,1519.94,12.22,1.22,1.67
CNX Midcap,19-03-2013,7701.6,7731.5,7576.45,7584.55,-116.25,-1.51,248152124,1831.99,17.07,1.69,1.65
CNX Smallcap,19-03-2013,3284.8,3300.9,3222.85,3225.15,-54.15,-1.65,83721079,657.32,32.89,1.22,1.44
CNX Nifty Dividend,19-03-2013,-,-,-,85.08,0,-,-,-,-,-,-
CNX Auto,19-03-2013,4456.75,4474.75,4351.6,4375.45,-63.1,-1.42,27174259,796.93,21.41,4,1.65
CNX Bank,19-03-2013,11796.2,11814.75,11416.75,11508.05,-227.45,-1.94,29131782,2691.07,13.75,2.35,1.28
CNX Energy,19-03-2013,7968.95,7988.45,7748.45,7851.4,-108.75,-1.37,32215776,902.43,12,1.77,1.64
CNX Finance,19-03-2013,4855.15,4856.75,4694.8,4721.95,-107.35,-2.22,49715229,3123.37,15.8,2.78,1.3
CNX FMCG,19-03-2013,15342.75,15342.75,15139.2,15200.65,-45.15,-.3,21677745,1068.34,33.88,11.84,1.32
CNX IT,19-03-2013,7213.25,7229.2,7140,7152.55,-46.1,-.64,12293899,1037.16,19.16,5.74,1.57
CNX Media,19-03-2013,1691.3,1697.95,1640.2,1652,-37.2,-2.2,17001273,141.29,39.13,5,.94
CNX Metal,19-03-2013,2330.2,2334.8,2256.45,2268.25,-59.95,-2.57,32796323,545.41,10.03,.97,2.32
CNX MNC,19-03-2013,5243.55,5252.55,5146.9,5154.05,-71.75,-1.37,11868852,501.74,26.99,4.36,1.37
CNX Pharma,19-03-2013,6043.2,6070.2,6008.55,6020.25,-9.3,-.15,8228970,547.11,32.77,5.23,.78
CNX PSU Bank,19-03-2013,3322.55,3334.65,3200.75,3218.25,-89.3,-2.7,18007757,1240.19,7.1,1.2,2.4
CNX Realty,19-03-2013,258.2,260.65,247,247.95,-9.4,-3.65,79209745,576.57,27.12,.98,.52
CNX Consumption,19-03-2013,2257.5,2260.85,2209.6,2214.3,-35.55,-1.58,71711806,2302.47,24.65,3.9,1.21
CNX Commodities,19-03-2013,2294.9,2298.6,2236.2,2243.8,-48.5,-2.12,93181292,1698.63,14.28,1.48,1.91
CNX Dividend Opportunities,19-03-2013,1635.6,1639.3,1601.85,1605,-27.35,-1.68,73731400,1663.87,11.9,2.15,2.62
CNX Infrastructure,19-03-2013,2373.4,2379.2,2297.6,2304.5,-63.6,-2.69,129889022,1656.65,15.48,1.82,1.35
CNX PSE,19-03-2013,2829.55,2837.8,2754.25,2775.25,-56.25,-1.99,65424836,986.18,10.04,1.82,2.87
CNX Service Sector,19-03-2013,7167.35,7173.9,6993.75,7012.1,-125.9,-1.76,104507750,5009.3,16.19,2.83,1.41
CNX Nifty Shariah,19-03-2013,-,-,-,1265.64,-13.57,-1.06,46936832,2920.17,18.09,3.57,1.53
CNX 500 Shariah,19-03-2013,-,-,-,1337.48,-12.55,-.93,95751018,3806.2,18.59,3.67,1.5
S&P ESG India,19-03-2013,-,-,-,3595.02,-71.52,-1.95,-,-,-,-,-
CNX Low Volatility,19-03-2013,-,-,-,4405.11,-39.94,-.9,77478529,3721.38,19.26,3.36,1.51
CNX Alpha Index,19-03-2013,-,-,-,4544.36,-56.01,-1.22,56039635,2369.25,21.92,2.99,.62
CNX High Beta,19-03-2013,-,-,-,1343.46,-53.37,-3.82,313219215,3710.09,22.03,.82,1.38
